variable,coefficient,type,prefix,width,edge,period
C_node1node13_timber_t0,109.0,B,C,timber,,0
C_node1node13_timber_t1,91.78,B,C,timber,,1
C_node1node13_timber_t2,65.06,B,C,timber,,2
C_node1node13_timber_t3,46.12,B,C,timber,,3
C_node1node13_timber_t4,32.7,B,C,timber,,4
C_node1node13_timber_t5,23.18,B,C,timber,,5
C_node1node13_wide_t0,164.0,B,C,wide,,0
C_node1node13_wide_t1,138.08,B,C,wide,,1
C_node1node13_wide_t2,97.89,B,C,wide,,2
C_node1node13_wide_t3,69.4,B,C,wide,,3
C_node1node13_wide_t4,49.2,B,C,wide,,4
C_node1node13_wide_t5,34.88,B,C,wide,,5
C_node1node15_timber_t0,3553.0,B,C,timber,,0
C_node1node15_timber_t1,2991.53,B,C,timber,,1
C_node1node15_timber_t2,2120.75,B,C,timber,,2
C_node1node15_timber_t3,1503.44,B,C,timber,,3
C_node1node15_timber_t4,1065.82,B,C,timber,,4
C_node1node15_timber_t5,755.58,B,C,timber,,5
C_node1node15_wide_t0,5332.0,B,C,wide,,0
C_node1node15_wide_t1,4489.4,B,C,wide,,1
C_node1node15_wide_t2,3182.62,B,C,wide,,2
C_node1node15_wide_t3,2256.22,B,C,wide,,3
C_node1node15_wide_t4,1599.48,B,C,wide,,4
C_node1node15_wide_t5,1133.9,B,C,wide,,5
C_node1node14_timber_t0,845.0,B,C,timber,,0
C_node1node14_timber_t1,711.47,B,C,timber,,1
C_node1node14_timber_t2,504.37,B,C,timber,,2
C_node1node14_timber_t3,357.56,B,C,timber,,3
C_node1node14_timber_t4,253.48,B,C,timber,,4
C_node1node14_timber_t5,179.7,B,C,timber,,5
C_node1node14_wide_t0,1269.0,B,C,wide,,0
C_node1node14_wide_t1,1068.46,B,C,wide,,1
C_node1node14_wide_t2,757.45,B,C,wide,,2
C_node1node14_wide_t3,536.97,B,C,wide,,3
C_node1node14_wide_t4,380.67,B,C,wide,,4
C_node1node14_wide_t5,269.86,B,C,wide,,5
C_node2node5_timber_t0,737.0,B,C,timber,,0
C_node2node5_timber_t1,620.53,B,C,timber,,1
C_node2node5_timber_t2,439.91,B,C,timber,,2
C_node2node5_timber_t3,311.86,B,C,timber,,3
C_node2node5_timber_t4,221.08,B,C,timber,,4
C_node2node5_timber_t5,156.73,B,C,timber,,5
C_node2node5_wide_t0,1104.0,B,C,wide,,0
C_node2node5_wide_t1,929.54,B,C,wide,,1
C_node2node5_wide_t2,658.97,B,C,wide,,2
C_node2node5_wide_t3,467.15,B,C,wide,,3
C_node2node5_wide_t4,331.17,B,C,wide,,4
C_node2node5_wide_t5,234.78,B,C,wide,,5
C_node2node4_timber_t0,939.0,B,C,timber,,0
C_node2node4_timber_t1,790.61,B,C,timber,,1
C_node2node4_timber_t2,560.48,B,C,timber,,2
C_node2node4_timber_t3,397.34,B,C,timber,,3
C_node2node4_timber_t4,281.68,B,C,timber,,4
C_node2node4_timber_t5,199.69,B,C,timber,,5
C_node2node4_wide_t0,1408.0,B,C,wide,,0
C_node2node4_wide_t1,1185.5,B,C,wide,,1
C_node2node4_wide_t2,840.42,B,C,wide,,2
C_node2node4_wide_t3,595.79,B,C,wide,,3
C_node2node4_wide_t4,422.37,B,C,wide,,4
C_node2node4_wide_t5,299.42,B,C,wide,,5
C_node2node8_timber_t0,3996.0,B,C,timber,,0
C_node2node8_timber_t1,3364.52,B,C,timber,,1
C_node2node8_timber_t2,2385.17,B,C,timber,,2
C_node2node8_timber_t3,1690.9,B,C,timber,,3
C_node2node8_timber_t4,1198.71,B,C,timber,,4
C_node2node8_timber_t5,849.79,B,C,timber,,5
C_node2node8_wide_t0,5993.0,B,C,wide,,0
C_node2node8_wide_t1,5045.95,B,C,wide,,1
C_node2node8_wide_t2,3577.17,B,C,wide,,2
C_node2node8_wide_t3,2535.92,B,C,wide,,3
C_node2node8_wide_t4,1797.76,B,C,wide,,4
C_node2node8_wide_t5,1274.47,B,C,wide,,5
C_node2node16_timber_t0,0.0,B,C,timber,,0
C_node2node16_timber_t1,0.0,B,C,timber,,1
C_node2node16_timber_t2,0.0,B,C,timber,,2
C_node2node16_timber_t3,0.0,B,C,timber,,3
C_node2node16_timber_t4,0.0,B,C,timber,,4
C_node2node16_timber_t5,0.0,B,C,timber,,5
C_node2node16_wide_t0,0.0,B,C,wide,,0
C_node2node16_wide_t1,0.0,B,C,wide,,1
C_node2node16_wide_t2,0.0,B,C,wide,,2
C_node2node16_wide_t3,0.0,B,C,wide,,3
C_node2node16_wide_t4,0.0,B,C,wide,,4
C_node2node16_wide_t5,0.0,B,C,wide,,5
C_node3node7_timber_t0,1247.0,B,C,timber,,0
C_node3node7_timber_t1,1049.94,B,C,timber,,1
C_node3node7_timber_t2,744.32,B,C,timber,,2
C_node3node7_timber_t3,527.66,B,C,timber,,3
C_node3node7_timber_t4,374.07,B,C,timber,,4
C_node3node7_timber_t5,265.19,B,C,timber,,5
C_node3node7_wide_t0,1869.0,B,C,wide,,0
C_node3node7_wide_t1,1573.65,B,C,wide,,1
C_node3node7_wide_t2,1115.59,B,C,wide,,2
C_node3node7_wide_t3,790.86,B,C,wide,,3
C_node3node7_wide_t4,560.66,B,C,wide,,4
C_node3node7_wide_t5,397.46,B,C,wide,,5
C_node3node5_timber_t0,2610.0,B,C,timber,,0
C_node3node5_timber_t1,2197.55,B,C,timber,,1
C_node3node5_timber_t2,1557.88,B,C,timber,,2
C_node3node5_timber_t3,1104.41,B,C,timber,,3
C_node3node5_timber_t4,782.94,B,C,timber,,4
C_node3node5_timber_t5,555.04,B,C,timber,,5
C_node3node5_wide_t0,3916.0,B,C,wide,,0
C_node3node5_wide_t1,3297.17,B,C,wide,,1
C_node3node5_wide_t2,2337.42,B,C,wide,,2
C_node3node5_wide_t3,1657.04,B,C,wide,,3
C_node3node5_wide_t4,1174.71,B,C,wide,,4
C_node3node5_wide_t5,832.77,B,C,wide,,5
C_node3node6_timber_t0,1910.0,B,C,timber,,0
C_node3node6_timber_t1,1608.17,B,C,timber,,1
C_node3node6_timber_t2,1140.06,B,C,timber,,2
C_node3node6_timber_t3,808.21,B,C,timber,,3
C_node3node6_timber_t4,572.96,B,C,timber,,4
C_node3node6_timber_t5,406.18,B,C,timber,,5
C_node3node6_wide_t0,2866.0,B,C,wide,,0
C_node3node6_wide_t1,2413.1,B,C,wide,,1
C_node3node6_wide_t2,1710.69,B,C,wide,,2
C_node3node6_wide_t3,1212.74,B,C,wide,,3
C_node3node6_wide_t4,859.73,B,C,wide,,4
C_node3node6_wide_t5,609.48,B,C,wide,,5
C_node3node9_timber_t0,3334.0,B,C,timber,,0
C_node3node9_timber_t1,2807.14,B,C,timber,,1
C_node3node9_timber_t2,1990.03,B,C,timber,,2
C_node3node9_timber_t3,1410.77,B,C,timber,,3
C_node3node9_timber_t4,1000.12,B,C,timber,,4
C_node3node9_timber_t5,709.01,B,C,timber,,5
C_node3node9_wide_t0,4999.0,B,C,wide,,0
C_node3node9_wide_t1,4209.02,B,C,wide,,1
C_node3node9_wide_t2,2983.86,B,C,wide,,2
C_node3node9_wide_t3,2115.31,B,C,wide,,3
C_node3node9_wide_t4,1499.58,B,C,wide,,4
C_node3node9_wide_t5,1063.08,B,C,wide,,5
C_node3node17_timber_t0,0.0,B,C,timber,,0
C_node3node17_timber_t1,0.0,B,C,timber,,1
C_node3node17_timber_t2,0.0,B,C,timber,,2
C_node3node17_timber_t3,0.0,B,C,timber,,3
C_node3node17_timber_t4,0.0,B,C,timber,,4
C_node3node17_timber_t5,0.0,B,C,timber,,5
C_node3node17_wide_t0,0.0,B,C,wide,,0
C_node3node17_wide_t1,0.0,B,C,wide,,1
