variable,value,node_type_info,action,road_type,edge,period
C_node6node37_timber_t1,1.0,node6transit_node37source,C,timber,node6node37,1.0
C_node8node13_timber_t1,1.0,node8transit_node13transit,C,timber,node8node13,1.0
C_node8node34_timber_t1,1.0,node8transit_node34source,C,timber,node8node34,1.0
C_node8node35_timber_t1,1.0,node8transit_node35source,C,timber,node8node35,1.0
C_node9node34_timber_t1,1.0,node9transit_node34source,C,timber,node9node34,1.0
C_node9node35_timber_t1,1.0,node9transit_node35source,C,timber,node9node35,1.0
C_node10node34_timber_t1,1.0,node10transit_node34source,C,timber,node10node34,1.0
C_node10node35_timber_t1,1.0,node10transit_node35source,C,timber,node10node35,1.0
C_node13node23_timber_t1,1.0,node13transit_node23exit,C,timber,node13node23,1.0
C_node14node34_timber_t1,1.0,node14transit_node34source,C,timber,node14node34,1.0
C_node15node24_timber_t1,1.0,node15transit_node24exit,C,timber,node15node24,1.0
C_node15node37_timber_t1,1.0,node15transit_node37source,C,timber,node15node37,1.0
C_node16node37_timber_t1,1.0,node16transit_node37source,C,timber,node16node37,1.0
M_node6node37_wide_t3,1.0,node6transit_node37source,M,wide,node6node37,3.0
M_node6node37_wide_t4,1.0,node6transit_node37source,M,wide,node6node37,4.0
M_node6node37_wide_t5,1.0,node6transit_node37source,M,wide,node6node37,5.0
M_node8node13_timber_t2,1.0,node8transit_node13transit,M,timber,node8node13,2.0
M_node8node13_timber_t3,1.0,node8transit_node13transit,M,timber,node8node13,3.0
M_node8node13_wide_t5,1.0,node8transit_node13transit,M,wide,node8node13,5.0
M_node8node34_timber_t2,1.0,node8transit_node34source,M,timber,node8node34,2.0
M_node8node34_timber_t3,1.0,node8transit_node34source,M,timber,node8node34,3.0
M_node8node34_timber_t4,1.0,node8transit_node34source,M,timber,node8node34,4.0
M_node8node34_timber_t5,1.0,node8transit_node34source,M,timber,node8node34,5.0
M_node8node35_timber_t2,1.0,node8transit_node35source,M,timber,node8node35,2.0
M_node8node35_wide_t4,1.0,node8transit_node35source,M,wide,node8node35,4.0
M_node8node35_wide_t5,1.0,node8transit_node35source,M,wide,node8node35,5.0
M_node9node34_timber_t2,1.0,node9transit_node34source,M,timber,node9node34,2.0
M_node9node34_timber_t3,1.0,node9transit_node34source,M,timber,node9node34,3.0
M_node9node34_timber_t4,1.0,node9transit_node34source,M,timber,node9node34,4.0
M_node9node34_timber_t5,1.0,node9transit_node34source,M,timber,node9node34,5.0
M_node9node35_wide_t3,1.0,node9transit_node35source,M,wide,node9node35,3.0
M_node9node35_wide_t4,1.0,node9transit_node35source,M,wide,node9node35,4.0
M_node9node35_wide_t5,1.0,node9transit_node35source,M,wide,node9node35,5.0
M_node10node34_timber_t2,1.0,node10transit_node34source,M,timber,node10node34,2.0
M_node10node34_timber_t3,1.0,node10transit_node34source,M,timber,node10node34,3.0
M_node10node34_timber_t4,1.0,node10transit_node34source,M,timber,node10node34,4.0
M_node10node35_timber_t2,1.0,node10transit_node35source,M,timber,node10node35,2.0
M_node10node35_timber_t3,1.0,node10transit_node35source,M,timber,node10node35,3.0
M_node10node35_wide_t5,1.0,node10transit_node35source,M,wide,node10node35,5.0
M_node13node23_timber_t2,1.0,node13transit_node23exit,M,timber,node13node23,2.0
M_node13node23_timber_t3,1.0,node13transit_node23exit,M,timber,node13node23,3.0
M_node13node23_wide_t5,1.0,node13transit_node23exit,M,wide,node13node23,5.0
M_node14node34_timber_t2,1.0,node14transit_node34source,M,timber,node14node34,2.0
M_node14node34_wide_t4,1.0,node14transit_node34source,M,wide,node14node34,4.0
M_node14node34_wide_t5,1.0,node14transit_node34source,M,wide,node14node34,5.0
M_node15node24_timber_t2,1.0,node15transit_node24exit,M,timber,node15node24,2.0
M_node15node24_wide_t4,1.0,node15transit_node24exit,M,wide,node15node24,4.0
M_node15node24_wide_t5,1.0,node15transit_node24exit,M,wide,node15node24,5.0
M_node15node37_wide_t3,1.0,node15transit_node37source,M,wide,node15node37,3.0
M_node15node37_wide_t4,1.0,node15transit_node37source,M,wide,node15node37,4.0
M_node15node37_wide_t5,1.0,node15transit_node37source,M,wide,node15node37,5.0
M_node16node37_wide_t3,1.0,node16transit_node37source,M,wide,node16node37,3.0
M_node16node37_wide_t4,1.0,node16transit_node37source,M,wide,node16node37,4.0
M_node16node37_wide_t5,1.0,node16transit_node37source,M,wide,node16node37,5.0
U_node6node37_t2,1.0,node6transit_node37source,U,,node6node37,2.0
U_node8node13_t4,1.0,node8transit_node13transit,U,,node8node13,4.0
U_node8node35_t3,1.0,node8transit_node35source,U,,node8node35,3.0
U_node9node35_t2,1.0,node9transit_node35source,U,,node9node35,2.0
U_node10node34_t5,1.0,node10transit_node34source,U,,node10node34,5.0
U_node10node35_t4,1.0,node10transit_node35source,U,,node10node35,4.0
U_node13node23_t4,1.0,node13transit_node23exit,U,,node13node23,4.0
U_node14node34_t3,1.0,node14transit_node34source,U,,node14node34,3.0
U_node15node24_t3,1.0,node15transit_node24exit,U,,node15node24,3.0
U_node15node37_t2,1.0,node15transit_node37source,U,,node15node37,2.0
U_node16node37_t2,1.0,node16transit_node37source,U,,node16node37,2.0
flow_timber_node15node24_t1,1.0,node15transit_node24exit,flow,timber,node15node24,1.0
flow_timber_node15node24_t2,1.0,node15transit_node24exit,flow,timber,node15node24,2.0
flow_timber_node15node24_t3,1.0,node15transit_node24exit,flow,timber,node15node24,3.0
flow_timber_node15node24_t4,1.0,node15transit_node24exit,flow,timber,node15node24,4.0
flow_timber_node15node24_t5,1.0,node15transit_node24exit,flow,timber,node15node24,5.0
flow_wide_node15node24_t3,1.0,node15transit_node24exit,flow,wide,node15node24,3.0
flow_timber_node37node15_t1,1.0,node37source_node15transit,flow,timber,node37node15,1.0
flow_timber_node37node15_t2,1.0,node37source_node15transit,flow,timber,node37node15,2.0
flow_timber_node37node15_t3,1.0,node37source_node15transit,flow,timber,node37node15,3.0
flow_timber_node37node15_t4,1.0,node37source_node15transit,flow,timber,node37node15,4.0
flow_timber_node37node15_t5,1.0,node37source_node15transit,flow,timber,node37node15,5.0
flow_wide_node37node15_t3,1.0,node37source_node15transit,flow,wide,node37node15,3.0
flow_timber_node8node13_t1,2.0,node8transit_node13transit,flow,timber,node8node13,1.0
flow_timber_node8node13_t2,2.0,node8transit_node13transit,flow,timber,node8node13,2.0
flow_timber_node8node13_t3,2.0,node8transit_node13transit,flow,timber,node8node13,3.0
flow_timber_node8node13_t4,2.0,node8transit_node13transit,flow,timber,node8node13,4.0
flow_timber_node8node13_t5,2.0,node8transit_node13transit,flow,timber,node8node13,5.0
flow_wide_node8node13_t4,1.0,node8transit_node13transit,flow,wide,node8node13,4.0
flow_timber_node13node23_t1,2.0,node13transit_node23exit,flow,timber,node13node23,1.0
flow_timber_node13node23_t2,2.0,node13transit_node23exit,flow,timber,node13node23,2.0
flow_timber_node13node23_t3,2.0,node13transit_node23exit,flow,timber,node13node23,3.0
flow_timber_node13node23_t4,2.0,node13transit_node23exit,flow,timber,node13node23,4.0
flow_timber_node13node23_t5,2.0,node13transit_node23exit,flow,timber,node13node23,5.0
flow_wide_node13node23_t4,1.0,node13transit_node23exit,flow,wide,node13node23,4.0
flow_timber_node34node8_t1,1.0,node34source_node8transit,flow,timber,node34node8,1.0
flow_timber_node34node8_t2,1.0,node34source_node8transit,flow,timber,node34node8,2.0
flow_timber_node34node8_t3,1.0,node34source_node8transit,flow,timber,node34node8,3.0
flow_timber_node34node8_t4,1.0,node34source_node8transit,flow,timber,node34node8,4.0
flow_timber_node34node8_t5,1.0,node34source_node8transit,flow,timber,node34node8,5.0
flow_timber_node35node8_t1,1.0,node35source_node8transit,flow,timber,node35node8,1.0
flow_timber_node35node8_t2,1.0,node35source_node8transit,flow,timber,node35node8,2.0
flow_timber_node35node8_t3,1.0,node35source_node8transit,flow,timber,node35node8,3.0
flow_timber_node35node8_t4,1.0,node35source_node8transit,flow,timber,node35node8,4.0
flow_timber_node35node8_t5,1.0,node35source_node8transit,flow,timber,node35node8,5.0
flow_wide_node35node8_t4,1.0,node35source_node8transit,flow,wide,node35node8,4.0
