variable,lb,ub,type,var_type_letter,road_type,edge,period,discounted_cost
C_node1node14_timber_t0,0.0,0.0,B,C,timber,node1node14,0,1705.0
C_node1node14_timber_t1,0.0,1.0,B,C,timber,node1node14,1,1435.56
C_node1node14_timber_t2,0.0,1.0,B,C,timber,node1node14,2,1017.7
C_node1node14_timber_t3,0.0,1.0,B,C,timber,node1node14,3,721.47
C_node1node14_timber_t4,0.0,1.0,B,C,timber,node1node14,4,511.46
C_node1node14_timber_t5,0.0,1.0,B,C,timber,node1node14,5,362.58
C_node1node14_wide_t0,0.0,0.0,B,C,wide,node1node14,0,2556.0
C_node1node14_wide_t1,0.0,1.0,B,C,wide,node1node14,1,2152.08
C_node1node14_wide_t2,0.0,1.0,B,C,wide,node1node14,2,1525.65
C_node1node14_wide_t3,0.0,1.0,B,C,wide,node1node14,3,1081.56
C_node1node14_wide_t4,0.0,1.0,B,C,wide,node1node14,4,766.74
C_node1node14_wide_t5,0.0,1.0,B,C,wide,node1node14,5,543.56
C_node1node64_timber_t0,0.0,0.0,B,C,timber,node1node64,0,2075.0
C_node1node64_timber_t1,0.0,1.0,B,C,timber,node1node64,1,1747.09
C_node1node64_timber_t2,0.0,1.0,B,C,timber,node1node64,2,1238.55
C_node1node64_timber_t3,0.0,1.0,B,C,timber,node1node64,3,878.03
C_node1node64_timber_t4,0.0,1.0,B,C,timber,node1node64,4,622.45
C_node1node64_timber_t5,0.0,1.0,B,C,timber,node1node64,5,441.27
C_node1node64_wide_t0,0.0,0.0,B,C,wide,node1node64,0,3113.0
C_node1node64_wide_t1,0.0,1.0,B,C,wide,node1node64,1,2621.06
C_node1node64_wide_t2,0.0,1.0,B,C,wide,node1node64,2,1858.12
C_node1node64_wide_t3,0.0,1.0,B,C,wide,node1node64,3,1317.26
C_node1node64_wide_t4,0.0,1.0,B,C,wide,node1node64,4,933.83
C_node1node64_wide_t5,0.0,1.0,B,C,wide,node1node64,5,662.01
C_node1node121_timber_t0,0.0,0.0,B,C,timber,node1node121,0,9961.0
C_node1node121_timber_t1,0.0,1.0,B,C,timber,node1node121,1,8386.89
C_node1node121_timber_t2,0.0,1.0,B,C,timber,node1node121,2,5945.63
C_node1node121_timber_t3,0.0,1.0,B,C,timber,node1node121,3,4214.97
C_node1node121_timber_t4,0.0,1.0,B,C,timber,node1node121,4,2988.07
C_node1node121_timber_t5,0.0,1.0,B,C,timber,node1node121,5,2118.3
C_node1node121_wide_t0,0.0,0.0,B,C,wide,node1node121,0,14941.0
C_node1node121_wide_t1,0.0,1.0,B,C,wide,node1node121,1,12579.92
C_node1node121_wide_t2,0.0,1.0,B,C,wide,node1node121,2,8918.14
C_node1node121_wide_t3,0.0,1.0,B,C,wide,node1node121,3,6322.24
C_node1node121_wide_t4,0.0,1.0,B,C,wide,node1node121,4,4481.95
C_node1node121_wide_t5,0.0,1.0,B,C,wide,node1node121,5,3177.34
C_node1node170_timber_t0,0.0,0.0,B,C,timber,node1node170,0,0.0
C_node1node170_timber_t1,0.0,1.0,B,C,timber,node1node170,1,0.0
C_node1node170_timber_t2,0.0,1.0,B,C,timber,node1node170,2,0.0
C_node1node170_timber_t3,0.0,1.0,B,C,timber,node1node170,3,0.0
C_node1node170_timber_t4,0.0,1.0,B,C,timber,node1node170,4,0.0
C_node1node170_timber_t5,0.0,1.0,B,C,timber,node1node170,5,0.0
C_node1node170_wide_t0,0.0,0.0,B,C,wide,node1node170,0,0.0
C_node1node170_wide_t1,0.0,1.0,B,C,wide,node1node170,1,0.0
C_node1node170_wide_t2,0.0,1.0,B,C,wide,node1node170,2,0.0
C_node1node170_wide_t3,0.0,1.0,B,C,wide,node1node170,3,0.0
C_node1node170_wide_t4,0.0,1.0,B,C,wide,node1node170,4,0.0
C_node1node170_wide_t5,0.0,1.0,B,C,wide,node1node170,5,0.0
C_node1node184_timber_t0,0.0,0.0,B,C,timber,node1node184,0,0.0
C_node1node184_timber_t1,0.0,1.0,B,C,timber,node1node184,1,0.0
C_node1node184_timber_t2,0.0,1.0,B,C,timber,node1node184,2,0.0
C_node1node184_timber_t3,0.0,1.0,B,C,timber,node1node184,3,0.0
C_node1node184_timber_t4,0.0,1.0,B,C,timber,node1node184,4,0.0
C_node1node184_timber_t5,0.0,1.0,B,C,timber,node1node184,5,0.0
C_node1node184_wide_t0,0.0,0.0,B,C,wide,node1node184,0,0.0
C_node1node184_wide_t1,0.0,1.0,B,C,wide,node1node184,1,0.0
C_node1node184_wide_t2,0.0,1.0,B,C,wide,node1node184,2,0.0
C_node1node184_wide_t3,0.0,1.0,B,C,wide,node1node184,3,0.0
C_node1node184_wide_t4,0.0,1.0,B,C,wide,node1node184,4,0.0
C_node1node184_wide_t5,0.0,1.0,B,C,wide,node1node184,5,0.0
C_node2node92_timber_t0,0.0,0.0,B,C,timber,node2node92,0,2615.0
C_node2node92_timber_t1,0.0,1.0,B,C,timber,node2node92,1,2201.76
C_node2node92_timber_t2,0.0,1.0,B,C,timber,node2node92,2,1560.87
C_node2node92_timber_t3,0.0,1.0,B,C,timber,node2node92,3,1106.53
C_node2node92_timber_t4,0.0,1.0,B,C,timber,node2node92,4,784.44
C_node2node92_timber_t5,0.0,1.0,B,C,timber,node2node92,5,556.1
C_node2node92_wide_t0,0.0,0.0,B,C,wide,node2node92,0,3922.0
C_node2node92_wide_t1,0.0,1.0,B,C,wide,node2node92,1,3302.22
C_node2node92_wide_t2,0.0,1.0,B,C,wide,node2node92,2,2341.01
C_node2node92_wide_t3,0.0,1.0,B,C,wide,node2node92,3,1659.58
C_node2node92_wide_t4,0.0,1.0,B,C,wide,node2node92,4,1176.51
C_node2node92_wide_t5,0.0,1.0,B,C,wide,node2node92,5,834.05
C_node2node106_timber_t0,0.0,0.0,B,C,timber,node2node106,0,1615.0
C_node2node106_timber_t1,0.0,1.0,B,C,timber,node2node106,1,1359.79
C_node2node106_timber_t2,0.0,1.0,B,C,timber,node2node106,2,963.98
C_node2node106_timber_t3,0.0,1.0,B,C,timber,node2node106,3,683.38
C_node2node106_timber_t4,0.0,1.0,B,C,timber,node2node106,4,484.46
C_node2node106_timber_t5,0.0,1.0,B,C,timber,node2node106,5,343.44
C_node2node106_wide_t0,0.0,0.0,B,C,wide,node2node106,0,2421.0
C_node2node106_wide_t1,0.0,1.0,B,C,wide,node2node106,1,2038.42
C_node2node106_wide_t2,0.0,1.0,B,C,wide,node2node106,2,1445.07
C_node2node106_wide_t3,0.0,1.0,B,C,wide,node2node106,3,1024.44
C_node2node106_wide_t4,0.0,1.0,B,C,wide,node2node106,4,726.24
C_node2node106_wide_t5,0.0,1.0,B,C,wide,node2node106,5,514.85
C_node2node43_timber_t0,0.0,0.0,B,C,timber,node2node43,0,1948.0
C_node2node43_timber_t1,0.0,1.0,B,C,timber,node2node43,1,1640.16
C_node2node43_timber_t2,0.0,1.0,B,C,timber,node2node43,2,1162.74
C_node2node43_timber_t3,0.0,1.0,B,C,timber,node2node43,3,824.29
C_node2node43_timber_t4,0.0,1.0,B,C,timber,node2node43,4,584.35
C_node2node43_timber_t5,0.0,1.0,B,C,timber,node2node43,5,414.26
C_node2node43_wide_t0,0.0,0.0,B,C,wide,node2node43,0,2922.0
C_node2node43_wide_t1,0.0,1.0,B,C,wide,node2node43,1,2460.25
C_node2node43_wide_t2,0.0,1.0,B,C,wide,node2node43,2,1744.11
C_node2node43_wide_t3,0.0,1.0,B,C,wide,node2node43,3,1236.44
C_node2node43_wide_t4,0.0,1.0,B,C,wide,node2node43,4,876.53
C_node2node43_wide_t5,0.0,1.0,B,C,wide,node2node43,5,621.39
C_node2node174_timber_t0,0.0,0.0,B,C,timber,node2node174,0,0.0
C_node2node174_timber_t1,0.0,1.0,B,C,timber,node2node174,1,0.0
C_node2node174_timber_t2,0.0,1.0,B,C,timber,node2node174,2,0.0
C_node2node174_timber_t3,0.0,1.0,B,C,timber,node2node174,3,0.0
C_node2node174_timber_t4,0.0,1.0,B,C,timber,node2node174,4,0.0
C_node2node174_timber_t5,0.0,1.0,B,C,timber,node2node174,5,0.0
C_node2node174_wide_t0,0.0,0.0,B,C,wide,node2node174,0,0.0
C_node2node174_wide_t1,0.0,1.0,B,C,wide,node2node174,1,0.0
C_node2node174_wide_t2,0.0,1.0,B,C,wide,node2node174,2,0.0
C_node2node174_wide_t3,0.0,1.0,B,C,wide,node2node174,3,0.0
C_node2node174_wide_t4,0.0,1.0,B,C,wide,node2node174,4,0.0
C_node2node174_wide_t5,0.0,1.0,B,C,wide,node2node174,5,0.0
C_node2node185_timber_t0,0.0,0.0,B,C,timber,node2node185,0,0.0
C_node2node185_timber_t1,0.0,1.0,B,C,timber,node2node185,1,0.0
C_node2node185_timber_t2,0.0,1.0,B,C,timber,node2node185,2,0.0
C_node2node185_timber_t3,0.0,1.0,B,C,timber,node2node185,3,0.0
C_node2node185_timber_t4,0.0,1.0,B,C,timber,node2node185,4,0.0
C_node2node185_timber_t5,0.0,1.0,B,C,timber,node2node185,5,0.0
C_node2node185_wide_t0,0.0,0.0,B,C,wide,node2node185,0,0.0
C_node2node185_wide_t1,0.0,1.0,B,C,wide,node2node185,1,0.0
C_node2node185_wide_t2,0.0,1.0,B,C,wide,node2node185,2,0.0
C_node2node185_wide_t3,0.0,1.0,B,C,wide,node2node185,3,0.0
C_node2node185_wide_t4,0.0,1.0,B,C,wide,node2node185,4,0.0
C_node2node185_wide_t5,0.0,1.0,B,C,wide,node2node185,5,0.0
C_node2node192_timber_t0,0.0,0.0,B,C,timber,node2node192,0,0.0
C_node2node192_timber_t1,0.0,1.0,B,C,timber,node2node192,1,0.0
C_node2node192_timber_t2,0.0,1.0,B,C,timber,node2node192,2,0.0
C_node2node192_timber_t3,0.0,1.0,B,C,timber,node2node192,3,0.0
C_node2node192_timber_t4,0.0,1.0,B,C,timber,node2node192,4,0.0
C_node2node192_timber_t5,0.0,1.0,B,C,timber,node2node192,5,0.0
C_node2node192_wide_t0,0.0,0.0,B,C,wide,node2node192,0,0.0
C_node2node192_wide_t1,0.0,1.0,B,C,wide,node2node192,1,0.0
C_node2node192_wide_t2,0.0,1.0,B,C,wide,node2node192,2,0.0
