variable,coefficient,type,prefix,width,edge,period
C_node1node14_timber_t0,1705.0,B,C,timber,,0
C_node1node14_timber_t1,1435.56,B,C,timber,,1
C_node1node14_timber_t2,1017.7,B,C,timber,,2
C_node1node14_timber_t3,721.47,B,C,timber,,3
C_node1node14_timber_t4,511.46,B,C,timber,,4
C_node1node14_timber_t5,362.58,B,C,timber,,5
C_node1node14_wide_t0,2556.0,B,C,wide,,0
C_node1node14_wide_t1,2152.08,B,C,wide,,1
C_node1node14_wide_t2,1525.65,B,C,wide,,2
C_node1node14_wide_t3,1081.56,B,C,wide,,3
C_node1node14_wide_t4,766.74,B,C,wide,,4
C_node1node14_wide_t5,543.56,B,C,wide,,5
C_node1node64_timber_t0,2075.0,B,C,timber,,0
C_node1node64_timber_t1,1747.09,B,C,timber,,1
C_node1node64_timber_t2,1238.55,B,C,timber,,2
C_node1node64_timber_t3,878.03,B,C,timber,,3
C_node1node64_timber_t4,622.45,B,C,timber,,4
C_node1node64_timber_t5,441.27,B,C,timber,,5
C_node1node64_wide_t0,3113.0,B,C,wide,,0
C_node1node64_wide_t1,2621.06,B,C,wide,,1
C_node1node64_wide_t2,1858.12,B,C,wide,,2
C_node1node64_wide_t3,1317.26,B,C,wide,,3
C_node1node64_wide_t4,933.83,B,C,wide,,4
C_node1node64_wide_t5,662.01,B,C,wide,,5
C_node1node121_timber_t0,9961.0,B,C,timber,,0
C_node1node121_timber_t1,8386.89,B,C,timber,,1
C_node1node121_timber_t2,5945.63,B,C,timber,,2
C_node1node121_timber_t3,4214.97,B,C,timber,,3
C_node1node121_timber_t4,2988.07,B,C,timber,,4
C_node1node121_timber_t5,2118.3,B,C,timber,,5
C_node1node121_wide_t0,14941.0,B,C,wide,,0
C_node1node121_wide_t1,12579.92,B,C,wide,,1
C_node1node121_wide_t2,8918.14,B,C,wide,,2
C_node1node121_wide_t3,6322.24,B,C,wide,,3
C_node1node121_wide_t4,4481.95,B,C,wide,,4
C_node1node121_wide_t5,3177.34,B,C,wide,,5
C_node1node170_timber_t0,0.0,B,C,timber,,0
C_node1node170_timber_t1,0.0,B,C,timber,,1
C_node1node170_timber_t2,0.0,B,C,timber,,2
C_node1node170_timber_t3,0.0,B,C,timber,,3
C_node1node170_timber_t4,0.0,B,C,timber,,4
C_node1node170_timber_t5,0.0,B,C,timber,,5
C_node1node170_wide_t0,0.0,B,C,wide,,0
C_node1node170_wide_t1,0.0,B,C,wide,,1
C_node1node170_wide_t2,0.0,B,C,wide,,2
C_node1node170_wide_t3,0.0,B,C,wide,,3
C_node1node170_wide_t4,0.0,B,C,wide,,4
C_node1node170_wide_t5,0.0,B,C,wide,,5
C_node1node184_timber_t0,0.0,B,C,timber,,0
C_node1node184_timber_t1,0.0,B,C,timber,,1
C_node1node184_timber_t2,0.0,B,C,timber,,2
C_node1node184_timber_t3,0.0,B,C,timber,,3
C_node1node184_timber_t4,0.0,B,C,timber,,4
C_node1node184_timber_t5,0.0,B,C,timber,,5
C_node1node184_wide_t0,0.0,B,C,wide,,0
C_node1node184_wide_t1,0.0,B,C,wide,,1
C_node1node184_wide_t2,0.0,B,C,wide,,2
C_node1node184_wide_t3,0.0,B,C,wide,,3
C_node1node184_wide_t4,0.0,B,C,wide,,4
C_node1node184_wide_t5,0.0,B,C,wide,,5
C_node2node92_timber_t0,2615.0,B,C,timber,,0
C_node2node92_timber_t1,2201.76,B,C,timber,,1
C_node2node92_timber_t2,1560.87,B,C,timber,,2
C_node2node92_timber_t3,1106.53,B,C,timber,,3
C_node2node92_timber_t4,784.44,B,C,timber,,4
C_node2node92_timber_t5,556.1,B,C,timber,,5
C_node2node92_wide_t0,3922.0,B,C,wide,,0
C_node2node92_wide_t1,3302.22,B,C,wide,,1
C_node2node92_wide_t2,2341.01,B,C,wide,,2
C_node2node92_wide_t3,1659.58,B,C,wide,,3
C_node2node92_wide_t4,1176.51,B,C,wide,,4
C_node2node92_wide_t5,834.05,B,C,wide,,5
C_node2node106_timber_t0,1615.0,B,C,timber,,0
C_node2node106_timber_t1,1359.79,B,C,timber,,1
C_node2node106_timber_t2,963.98,B,C,timber,,2
C_node2node106_timber_t3,683.38,B,C,timber,,3
C_node2node106_timber_t4,484.46,B,C,timber,,4
C_node2node106_timber_t5,343.44,B,C,timber,,5
C_node2node106_wide_t0,2421.0,B,C,wide,,0
C_node2node106_wide_t1,2038.42,B,C,wide,,1
C_node2node106_wide_t2,1445.07,B,C,wide,,2
C_node2node106_wide_t3,1024.44,B,C,wide,,3
C_node2node106_wide_t4,726.24,B,C,wide,,4
C_node2node106_wide_t5,514.85,B,C,wide,,5
C_node2node43_timber_t0,1948.0,B,C,timber,,0
C_node2node43_timber_t1,1640.16,B,C,timber,,1
C_node2node43_timber_t2,1162.74,B,C,timber,,2
C_node2node43_timber_t3,824.29,B,C,timber,,3
C_node2node43_timber_t4,584.35,B,C,timber,,4
C_node2node43_timber_t5,414.26,B,C,timber,,5
C_node2node43_wide_t0,2922.0,B,C,wide,,0
