1705.0 * C_node1node30_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
1435.56 * C_node1node30_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
1017.7 * C_node1node30_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
721.47 * C_node1node30_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
511.46 * C_node1node30_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
362.58 * C_node1node30_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
2556.0 * C_node1node30_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
2152.08 * C_node1node30_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
1525.65 * C_node1node30_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
1081.56 * C_node1node30_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
766.74 * C_node1node30_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
543.56 * C_node1node30_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
3228.0 * C_node1node109_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
2717.89 * C_node1node109_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
1926.76 * C_node1node109_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
1365.92 * C_node1node109_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
968.33 * C_node1node109_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
686.46 * C_node1node109_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
4842.0 * C_node1node109_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
4076.83 * C_node1node109_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
2890.14 * C_node1node109_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
2048.88 * C_node1node109_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
1452.49 * C_node1node109_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
1029.7 * C_node1node109_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
6403.0 * C_node1node223_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
5391.15 * C_node1node223_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
3821.89 * C_node1node223_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
2709.41 * C_node1node223_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
