variable,value,node_type_info
C_node1node404_timber_t1,1.0,node1transit_node404source
C_node1node420_timber_t1,1.0,node1transit_node420source
C_node2node377_timber_t1,1.0,node2transit_node377source
C_node2node378_timber_t1,1.0,node2transit_node378source
C_node2node380_timber_t1,1.0,node2transit_node380source
C_node4node366_timber_t1,1.0,node4transit_node366source
C_node4node368_timber_t1,1.0,node4transit_node368source
C_node5node347_timber_t3,1.0,node5transit_node347exit
C_node5node114_timber_t3,1.0,node5transit_node114transit
C_node5node438_timber_t2,1.0,node5transit_node438source
C_node8node366_timber_t1,1.0,node8exit_node366source
C_node8node368_timber_t1,1.0,node8exit_node368source
C_node9node366_timber_t1,1.0,node9transit_node366source
C_node10node387_timber_t1,1.0,node10transit_node387source
C_node13node404_timber_t1,1.0,node13transit_node404source
C_node13node431_timber_t1,1.0,node13transit_node431source
C_node17node378_timber_t1,1.0,node17transit_node378source
C_node19node389_timber_t1,1.0,node19transit_node389source
C_node21node400_timber_t1,1.0,node21transit_node400source
C_node22node363_timber_t1,1.0,node22transit_node363source
C_node22node363_timber_t3,1.0,node22transit_node363source
C_node24node408_timber_t1,1.0,node24transit_node408source
C_node24node408_timber_t4,1.0,node24transit_node408source
C_node25node366_timber_t1,1.0,node25transit_node366source
C_node26node363_timber_t1,1.0,node26exit_node363source
C_node26node363_timber_t3,1.0,node26exit_node363source
C_node28node408_timber_t1,1.0,node28transit_node408source
C_node28node408_timber_t4,1.0,node28transit_node408source
C_node28node409_timber_t1,1.0,node28transit_node409source
C_node28node409_timber_t4,1.0,node28transit_node409source
C_node30node404_timber_t1,1.0,node30transit_node404source
C_node30node433_timber_t3,1.0,node30transit_node433source
C_node33node423_wide_t1,1.0,node33transit_node423source
C_node33node435_wide_t3,1.0,node33transit_node435source
C_node37node366_timber_t1,1.0,node37transit_node366source
C_node40node400_timber_t1,1.0,node40transit_node400source
C_node43node405_timber_t1,1.0,node43transit_node405source
C_node43node406_timber_t1,1.0,node43transit_node406source
C_node46node368_timber_t1,1.0,node46transit_node368source
C_node46node370_timber_t1,1.0,node46transit_node370source
C_node47node419_timber_t1,1.0,node47transit_node419source
C_node47node419_timber_t3,1.0,node47transit_node419source
C_node48node404_timber_t1,1.0,node48transit_node404source
C_node48node433_timber_t2,1.0,node48transit_node433source
C_node49node378_timber_t1,1.0,node49exit_node378source
C_node49node387_timber_t1,1.0,node49exit_node387source
C_node49node388_timber_t4,1.0,node49exit_node388source
C_node50node378_timber_t1,1.0,node50transit_node378source
C_node50node382_timber_t1,1.0,node50transit_node382source
C_node52node404_timber_t1,1.0,node52transit_node404source
C_node52node405_timber_t2,1.0,node52transit_node405source
C_node55node388_timber_t4,1.0,node55transit_node388source
C_node56node400_timber_t1,1.0,node56transit_node400source
C_node57node413_timber_t1,1.0,node57transit_node413source
C_node57node419_timber_t1,1.0,node57transit_node419source
C_node59node384_timber_t1,1.0,node59transit_node384source
C_node64node406_timber_t1,1.0,node64transit_node406source
C_node64node419_timber_t1,1.0,node64transit_node419source
C_node65node378_timber_t1,1.0,node65transit_node378source
C_node68node368_timber_t1,1.0,node68exit_node368source
C_node68node370_timber_t1,1.0,node68exit_node370source
C_node69node387_timber_t1,1.0,node69transit_node387source
C_node71node366_timber_t1,1.0,node71transit_node366source
C_node72node363_timber_t1,1.0,node72transit_node363source
C_node72node363_timber_t3,1.0,node72transit_node363source
C_node73node378_timber_t1,1.0,node73transit_node378source
C_node73node381_timber_t1,1.0,node73transit_node381source
C_node73node382_timber_t1,1.0,node73transit_node382source
C_node75node378_timber_t1,1.0,node75transit_node378source
C_node75node387_timber_t1,1.0,node75transit_node387source
C_node76node397_timber_t1,1.0,node76transit_node397source
C_node78node378_timber_t1,1.0,node78transit_node378source
C_node78node380_timber_t1,1.0,node78transit_node380source
C_node78node388_timber_t4,1.0,node78transit_node388source
C_node80node195_timber_t3,1.0,node80transit_node195exit
C_node80node435_timber_t1,1.0,node80transit_node435source
C_node81node419_timber_t1,1.0,node81transit_node419source
C_node82node198_timber_t1,1.0,node82transit_node198transit
C_node82node297_timber_t1,1.0,node82transit_node297exit
C_node84node372_timber_t1,1.0,node84transit_node372source
C_node84node379_timber_t1,1.0,node84transit_node379source
C_node85node380_timber_t1,1.0,node85transit_node380source
C_node85node388_timber_t3,1.0,node85transit_node388source
C_node88node143_timber_t1,1.0,node88transit_node143exit
C_node88node423_timber_t1,1.0,node88transit_node423source
C_node89node107_timber_t1,1.0,node89exit_node107transit
C_node89node368_timber_t1,1.0,node89exit_node368source
C_node91node190_timber_t3,1.0,node91transit_node190exit
C_node91node433_timber_t1,1.0,node91transit_node433source
C_node94node437_wide_t3,1.0,node94transit_node437source
C_node94node438_timber_t3,1.0,node94transit_node438source
C_node95node371_timber_t1,1.0,node95transit_node371source
C_node96node368_timber_t1,1.0,node96transit_node368source
C_node96node370_timber_t1,1.0,node96transit_node370source
C_node100node435_timber_t2,1.0,node100transit_node435source
