arc,type
node13node37,source_in_transit_out
node8node37,source_in_transit_out
node6node37,source_in_transit_out
node26node37,source_in_transit_out
node22node37,source_in_transit_out
node26node38,source_in_transit_out
node20node38,source_in_transit_out
node13node38,source_in_transit_out
node16node38,source_in_transit_out
node20node39,source_in_transit_out
node22node39,source_in_transit_out
node26node39,source_in_transit_out
node12node39,source_in_transit_out
node21node40,source_in_transit_out
node17node40,source_in_transit_out
node18node40,source_in_transit_out
node2node40,source_in_transit_out
node10node41,source_in_transit_out
node30node41,source_in_transit_out
node11node41,source_in_transit_out
node21node41,source_in_transit_out
node17node41,source_in_transit_out
node28node41,source_in_transit_out
node37node26,source_out_transit_in
node37node6,source_out_transit_in
node37node13,source_out_transit_in
node37node8,source_out_transit_in
node37node22,source_out_transit_in
node38node13,source_out_transit_in
node38node20,source_out_transit_in
node38node16,source_out_transit_in
node38node26,source_out_transit_in
node39node26,source_out_transit_in
node39node12,source_out_transit_in
node39node20,source_out_transit_in
node39node22,source_out_transit_in
node40node21,source_out_transit_in
node40node18,source_out_transit_in
node40node2,source_out_transit_in
node40node17,source_out_transit_in
node41node30,source_out_transit_in
node41node28,source_out_transit_in
node41node21,source_out_transit_in
node41node10,source_out_transit_in
node41node11,source_out_transit_in
node41node17,source_out_transit_in
node4node1,exit_in_transit_out
node7node1,exit_in_transit_out
node19node3,exit_in_transit_out
node24node3,exit_in_transit_out
node2node15,exit_in_transit_out
node33node15,exit_in_exit_out
node17node27,exit_in_transit_out
node33node27,exit_in_exit_out
node14node27,exit_in_transit_out
node25node29,exit_in_transit_out
node14node29,exit_in_transit_out
node9node31,exit_in_transit_out
node14node31,exit_in_transit_out
node25node32,exit_in_transit_out
node14node32,exit_in_transit_out
node27node33,exit_in_exit_out
node15node33,exit_in_exit_out
node35node34,exit_in_exit_out
node19node34,exit_in_transit_out
node18node35,exit_in_transit_out
node34node35,exit_in_exit_out
node12node36,exit_in_transit_out
node5node36,exit_in_transit_out
node1node7,exit_out_transit_in
node1node4,exit_out_transit_in
node3node19,exit_out_transit_in
node3node24,exit_out_transit_in
node15node2,exit_out_transit_in
node27node14,exit_out_transit_in
node27node17,exit_out_transit_in
node29node25,exit_out_transit_in
node29node14,exit_out_transit_in
node31node9,exit_out_transit_in
node31node14,exit_out_transit_in
node32node25,exit_out_transit_in
node32node14,exit_out_transit_in
node34node19,exit_out_transit_in
node35node18,exit_out_transit_in
node36node5,exit_out_transit_in
node36node12,exit_out_transit_in
node4node24,transit_in_transit_out
node5node24,transit_in_transit_out
node30node25,transit_in_transit_out
node22node12,transit_in_transit_out
node20node12,transit_in_transit_out
node17node21,transit_in_transit_out
node18node21,transit_in_transit_out
node11node21,transit_in_transit_out
node23node4,transit_in_transit_out
node24node4,transit_in_transit_out
node21node18,transit_in_transit_out
node2node18,transit_in_transit_out
node10node28,transit_in_transit_out
node30node28,transit_in_transit_out
node9node28,transit_in_transit_out
node25node30,transit_in_transit_out
node28node30,transit_in_transit_out
node17node30,transit_in_transit_out
node26node20,transit_in_transit_out
node16node20,transit_in_transit_out
node12node20,transit_in_transit_out
node6node7,transit_in_transit_out
node8node7,transit_in_transit_out
node13node6,transit_in_transit_out
node8node6,transit_in_transit_out
node7node6,transit_in_transit_out
node11node10,transit_in_transit_out
node23node10,transit_in_transit_out
node28node10,transit_in_transit_out
node10node23,transit_in_transit_out
node4node23,transit_in_transit_out
node9node23,transit_in_transit_out
node12node22,transit_in_transit_out
node8node22,transit_in_transit_out
node26node22,transit_in_transit_out
node18node2,transit_in_transit_out
node17node2,transit_in_transit_out
node24node5,transit_in_transit_out
node16node5,transit_in_transit_out
node19node11,transit_in_transit_out
node21node11,transit_in_transit_out
node10node11,transit_in_transit_out
node22node26,transit_in_transit_out
node13node26,transit_in_transit_out
node20node26,transit_in_transit_out
node30node17,transit_in_transit_out
node21node17,transit_in_transit_out
node2node17,transit_in_transit_out
node6node8,transit_in_transit_out
node7node8,transit_in_transit_out
node22node8,transit_in_transit_out
node23node9,transit_in_transit_out
node28node9,transit_in_transit_out
node13node16,transit_in_transit_out
node5node16,transit_in_transit_out
node20node16,transit_in_transit_out
node11node19,transit_in_transit_out
node6node13,transit_in_transit_out
node26node13,transit_in_transit_out
node16node13,transit_in_transit_out
