variable,lb,ub,type,edge,period,road_type
flow_timber_node1node2_t1,0.0,9.0,I,node1node2,1,timber
flow_timber_node1node2_t2,0.0,9.0,I,node1node2,2,timber
flow_timber_node1node2_t3,0.0,9.0,I,node1node2,3,timber
flow_timber_node1node2_t4,0.0,9.0,I,node1node2,4,timber
flow_timber_node1node2_t5,0.0,9.0,I,node1node2,5,timber
flow_wide_node1node2_t1,0.0,9.0,I,node1node2,1,wide
flow_wide_node1node2_t2,0.0,9.0,I,node1node2,2,wide
flow_wide_node1node2_t3,0.0,9.0,I,node1node2,3,wide
flow_wide_node1node2_t4,0.0,9.0,I,node1node2,4,wide
flow_wide_node1node2_t5,0.0,9.0,I,node1node2,5,wide
flow_timber_node1node7_t1,0.0,9.0,I,node1node7,1,timber
flow_timber_node1node7_t2,0.0,9.0,I,node1node7,2,timber
flow_timber_node1node7_t3,0.0,9.0,I,node1node7,3,timber
flow_timber_node1node7_t4,0.0,9.0,I,node1node7,4,timber
flow_timber_node1node7_t5,0.0,9.0,I,node1node7,5,timber
flow_wide_node1node7_t1,0.0,9.0,I,node1node7,1,wide
flow_wide_node1node7_t2,0.0,9.0,I,node1node7,2,wide
flow_wide_node1node7_t3,0.0,9.0,I,node1node7,3,wide
flow_wide_node1node7_t4,0.0,9.0,I,node1node7,4,wide
flow_wide_node1node7_t5,0.0,9.0,I,node1node7,5,wide
flow_timber_node1node8_t1,0.0,9.0,I,node1node8,1,timber
flow_timber_node1node8_t2,0.0,9.0,I,node1node8,2,timber
flow_timber_node1node8_t3,0.0,9.0,I,node1node8,3,timber
flow_timber_node1node8_t4,0.0,9.0,I,node1node8,4,timber
flow_timber_node1node8_t5,0.0,9.0,I,node1node8,5,timber
flow_wide_node1node8_t1,0.0,9.0,I,node1node8,1,wide
flow_wide_node1node8_t2,0.0,9.0,I,node1node8,2,wide
flow_wide_node1node8_t3,0.0,9.0,I,node1node8,3,wide
flow_wide_node1node8_t4,0.0,9.0,I,node1node8,4,wide
flow_wide_node1node8_t5,0.0,9.0,I,node1node8,5,wide
flow_timber_node1node12_t1,0.0,9.0,I,node1node12,1,timber
flow_timber_node1node12_t2,0.0,9.0,I,node1node12,2,timber
flow_timber_node1node12_t3,0.0,9.0,I,node1node12,3,timber
flow_timber_node1node12_t4,0.0,9.0,I,node1node12,4,timber
flow_timber_node1node12_t5,0.0,9.0,I,node1node12,5,timber
flow_wide_node1node12_t1,0.0,9.0,I,node1node12,1,wide
flow_wide_node1node12_t2,0.0,9.0,I,node1node12,2,wide
flow_wide_node1node12_t3,0.0,9.0,I,node1node12,3,wide
flow_wide_node1node12_t4,0.0,9.0,I,node1node12,4,wide
flow_wide_node1node12_t5,0.0,9.0,I,node1node12,5,wide
flow_timber_node1node13_t1,0.0,9.0,I,node1node13,1,timber
flow_timber_node1node13_t2,0.0,9.0,I,node1node13,2,timber
flow_timber_node1node13_t3,0.0,9.0,I,node1node13,3,timber
flow_timber_node1node13_t4,0.0,9.0,I,node1node13,4,timber
flow_timber_node1node13_t5,0.0,9.0,I,node1node13,5,timber
flow_wide_node1node13_t1,0.0,9.0,I,node1node13,1,wide
flow_wide_node1node13_t2,0.0,9.0,I,node1node13,2,wide
flow_wide_node1node13_t3,0.0,9.0,I,node1node13,3,wide
flow_wide_node1node13_t4,0.0,9.0,I,node1node13,4,wide
flow_wide_node1node13_t5,0.0,9.0,I,node1node13,5,wide
flow_timber_node2node1_t1,0.0,9.0,I,node2node1,1,timber
flow_timber_node2node1_t2,0.0,9.0,I,node2node1,2,timber
flow_timber_node2node1_t3,0.0,9.0,I,node2node1,3,timber
flow_timber_node2node1_t4,0.0,9.0,I,node2node1,4,timber
flow_timber_node2node1_t5,0.0,9.0,I,node2node1,5,timber
flow_wide_node2node1_t1,0.0,9.0,I,node2node1,1,wide
flow_wide_node2node1_t2,0.0,9.0,I,node2node1,2,wide
flow_wide_node2node1_t3,0.0,9.0,I,node2node1,3,wide
flow_wide_node2node1_t4,0.0,9.0,I,node2node1,4,wide
flow_wide_node2node1_t5,0.0,9.0,I,node2node1,5,wide
flow_timber_node2node5_t1,0.0,9.0,I,node2node5,1,timber
flow_timber_node2node5_t2,0.0,9.0,I,node2node5,2,timber
flow_timber_node2node5_t3,0.0,9.0,I,node2node5,3,timber
flow_timber_node2node5_t4,0.0,9.0,I,node2node5,4,timber
flow_timber_node2node5_t5,0.0,9.0,I,node2node5,5,timber
flow_wide_node2node5_t1,0.0,9.0,I,node2node5,1,wide
flow_wide_node2node5_t2,0.0,9.0,I,node2node5,2,wide
flow_wide_node2node5_t3,0.0,9.0,I,node2node5,3,wide
flow_wide_node2node5_t4,0.0,9.0,I,node2node5,4,wide
flow_wide_node2node5_t5,0.0,9.0,I,node2node5,5,wide
flow_timber_node2node4_t1,0.0,9.0,I,node2node4,1,timber
flow_timber_node2node4_t2,0.0,9.0,I,node2node4,2,timber
flow_timber_node2node4_t3,0.0,9.0,I,node2node4,3,timber
flow_timber_node2node4_t4,0.0,9.0,I,node2node4,4,timber
flow_timber_node2node4_t5,0.0,9.0,I,node2node4,5,timber
flow_wide_node2node4_t1,0.0,9.0,I,node2node4,1,wide
flow_wide_node2node4_t2,0.0,9.0,I,node2node4,2,wide
flow_wide_node2node4_t3,0.0,9.0,I,node2node4,3,wide
flow_wide_node2node4_t4,0.0,9.0,I,node2node4,4,wide
flow_wide_node2node4_t5,0.0,9.0,I,node2node4,5,wide
flow_timber_node2node12_t1,0.0,9.0,I,node2node12,1,timber
flow_timber_node2node12_t2,0.0,9.0,I,node2node12,2,timber
flow_timber_node2node12_t3,0.0,9.0,I,node2node12,3,timber
flow_timber_node2node12_t4,0.0,9.0,I,node2node12,4,timber
flow_timber_node2node12_t5,0.0,9.0,I,node2node12,5,timber
flow_wide_node2node12_t1,0.0,9.0,I,node2node12,1,wide
flow_wide_node2node12_t2,0.0,9.0,I,node2node12,2,wide
flow_wide_node2node12_t3,0.0,9.0,I,node2node12,3,wide
flow_wide_node2node12_t4,0.0,9.0,I,node2node12,4,wide
flow_wide_node2node12_t5,0.0,9.0,I,node2node12,5,wide
flow_timber_node7node1_t1,0.0,9.0,I,node7node1,1,timber
flow_timber_node7node1_t2,0.0,9.0,I,node7node1,2,timber
flow_timber_node7node1_t3,0.0,9.0,I,node7node1,3,timber
flow_timber_node7node1_t4,0.0,9.0,I,node7node1,4,timber
flow_timber_node7node1_t5,0.0,9.0,I,node7node1,5,timber
flow_wide_node7node1_t1,0.0,9.0,I,node7node1,1,wide
flow_wide_node7node1_t2,0.0,9.0,I,node7node1,2,wide
flow_wide_node7node1_t3,0.0,9.0,I,node7node1,3,wide
flow_wide_node7node1_t4,0.0,9.0,I,node7node1,4,wide
flow_wide_node7node1_t5,0.0,9.0,I,node7node1,5,wide
flow_timber_node7node8_t1,0.0,9.0,I,node7node8,1,timber
flow_timber_node7node8_t2,0.0,9.0,I,node7node8,2,timber
flow_timber_node7node8_t3,0.0,9.0,I,node7node8,3,timber
flow_timber_node7node8_t4,0.0,9.0,I,node7node8,4,timber
flow_timber_node7node8_t5,0.0,9.0,I,node7node8,5,timber
flow_wide_node7node8_t1,0.0,9.0,I,node7node8,1,wide
flow_wide_node7node8_t2,0.0,9.0,I,node7node8,2,wide
flow_wide_node7node8_t3,0.0,9.0,I,node7node8,3,wide
flow_wide_node7node8_t4,0.0,9.0,I,node7node8,4,wide
flow_wide_node7node8_t5,0.0,9.0,I,node7node8,5,wide
flow_timber_node7node13_t1,0.0,9.0,I,node7node13,1,timber
flow_timber_node7node13_t2,0.0,9.0,I,node7node13,2,timber
flow_timber_node7node13_t3,0.0,9.0,I,node7node13,3,timber
flow_timber_node7node13_t4,0.0,9.0,I,node7node13,4,timber
flow_timber_node7node13_t5,0.0,9.0,I,node7node13,5,timber
flow_wide_node7node13_t1,0.0,9.0,I,node7node13,1,wide
flow_wide_node7node13_t2,0.0,9.0,I,node7node13,2,wide
flow_wide_node7node13_t3,0.0,9.0,I,node7node13,3,wide
