flow_timber_node1node2_t1: lb=0.0, ub=9.0, type=I
flow_timber_node1node2_t2: lb=0.0, ub=9.0, type=I
flow_timber_node1node2_t3: lb=0.0, ub=9.0, type=I
flow_timber_node1node2_t4: lb=0.0, ub=9.0, type=I
flow_timber_node1node2_t5: lb=0.0, ub=9.0, type=I
flow_wide_node1node2_t1: lb=0.0, ub=9.0, type=I
flow_wide_node1node2_t2: lb=0.0, ub=9.0, type=I
flow_wide_node1node2_t3: lb=0.0, ub=9.0, type=I
flow_wide_node1node2_t4: lb=0.0, ub=9.0, type=I
flow_wide_node1node2_t5: lb=0.0, ub=9.0, type=I
flow_timber_node1node9_t1: lb=0.0, ub=9.0, type=I
flow_timber_node1node9_t2: lb=0.0, ub=9.0, type=I
flow_timber_node1node9_t3: lb=0.0, ub=9.0, type=I
flow_timber_node1node9_t4: lb=0.0, ub=9.0, type=I
flow_timber_node1node9_t5: lb=0.0, ub=9.0, type=I
flow_wide_node1node9_t1: lb=0.0, ub=9.0, type=I
flow_wide_node1node9_t2: lb=0.0, ub=9.0, type=I
flow_wide_node1node9_t3: lb=0.0, ub=9.0, type=I
flow_wide_node1node9_t4: lb=0.0, ub=9.0, type=I
flow_wide_node1node9_t5: lb=0.0, ub=9.0, type=I
flow_timber_node1node8_t1: lb=0.0, ub=9.0, type=I
flow_timber_node1node8_t2: lb=0.0, ub=9.0, type=I
flow_timber_node1node8_t3: lb=0.0, ub=9.0, type=I
flow_timber_node1node8_t4: lb=0.0, ub=9.0, type=I
flow_timber_node1node8_t5: lb=0.0, ub=9.0, type=I
flow_wide_node1node8_t1: lb=0.0, ub=9.0, type=I
flow_wide_node1node8_t2: lb=0.0, ub=9.0, type=I
flow_wide_node1node8_t3: lb=0.0, ub=9.0, type=I
flow_wide_node1node8_t4: lb=0.0, ub=9.0, type=I
flow_wide_node1node8_t5: lb=0.0, ub=9.0, type=I
flow_timber_node1node13_t1: lb=0.0, ub=9.0, type=I
flow_timber_node1node13_t2: lb=0.0, ub=9.0, type=I
flow_timber_node1node13_t3: lb=0.0, ub=9.0, type=I
flow_timber_node1node13_t4: lb=0.0, ub=9.0, type=I
flow_timber_node1node13_t5: lb=0.0, ub=9.0, type=I
flow_wide_node1node13_t1: lb=0.0, ub=9.0, type=I
flow_wide_node1node13_t2: lb=0.0, ub=9.0, type=I
flow_wide_node1node13_t3: lb=0.0, ub=9.0, type=I
flow_wide_node1node13_t4: lb=0.0, ub=9.0, type=I
flow_wide_node1node13_t5: lb=0.0, ub=9.0, type=I
