1535.0 * C_node1node4_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
1292.43 * C_node1node4_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
916.23 * C_node1node4_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
649.53 * C_node1node4_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
460.46 * C_node1node4_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
326.43 * C_node1node4_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
2303.0 * C_node1node4_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
1939.06 * C_node1node4_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
1374.64 * C_node1node4_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
974.51 * C_node1node4_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
690.85 * C_node1node4_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
489.75 * C_node1node4_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
2150.0 * C_node1node5_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
1810.24 * C_node1node5_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
1283.31 * C_node1node5_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
909.77 * C_node1node5_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
644.95 * C_node1node5_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
457.22 * C_node1node5_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
3225.0 * C_node1node5_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
2715.36 * C_node1node5_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
1924.97 * C_node1node5_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
1364.65 * C_node1node5_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
967.43 * C_node1node5_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
685.83 * C_node1node5_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
494.0 * C_node1node6_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
415.93 * C_node1node6_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
294.86 * C_node1node6_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
209.03 * C_node1node6_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
148.19 * C_node1node6_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
105.05 * C_node1node6_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
742.0 * C_node1node6_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
624.74 * C_node1node6_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
442.89 * C_node1node6_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
313.98 * C_node1node6_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
