variable,value
C_timber_node1node8_t0,0.0
C_timber_node1node8_t1,1.0
C_timber_node1node8_t2,1.0
C_timber_node1node8_t3,1.0
C_timber_node1node8_t4,1.0
C_timber_node1node8_t5,1.0
C_wide_node1node8_t0,0.0
C_wide_node1node8_t1,1.0
C_wide_node1node8_t2,1.0
C_wide_node1node8_t3,1.0
C_wide_node1node8_t4,1.0
C_wide_node1node8_t5,1.0
C_timber_node1node99_t0,0.0
C_timber_node1node99_t1,1.0
C_timber_node1node99_t2,1.0
C_timber_node1node99_t3,1.0
C_timber_node1node99_t4,1.0
C_timber_node1node99_t5,1.0
C_wide_node1node99_t0,0.0
C_wide_node1node99_t1,1.0
C_wide_node1node99_t2,1.0
C_wide_node1node99_t3,1.0
C_wide_node1node99_t4,1.0
C_wide_node1node99_t5,1.0
C_timber_node1node152_t0,0.0
C_timber_node1node152_t1,1.0
C_timber_node1node152_t2,1.0
C_timber_node1node152_t3,1.0
C_timber_node1node152_t4,1.0
C_timber_node1node152_t5,1.0
C_wide_node1node152_t0,0.0
C_wide_node1node152_t1,1.0
C_wide_node1node152_t2,1.0
C_wide_node1node152_t3,1.0
C_wide_node1node152_t4,1.0
C_wide_node1node152_t5,1.0
C_timber_node2node67_t0,0.0
C_timber_node2node67_t1,1.0
C_timber_node2node67_t2,1.0
C_timber_node2node67_t3,1.0
C_timber_node2node67_t4,1.0
C_timber_node2node67_t5,1.0
C_wide_node2node67_t0,0.0
C_wide_node2node67_t1,1.0
C_wide_node2node67_t2,1.0
C_wide_node2node67_t3,1.0
C_wide_node2node67_t4,1.0
C_wide_node2node67_t5,1.0
C_timber_node2node50_t0,0.0
C_timber_node2node50_t1,1.0
C_timber_node2node50_t2,1.0
C_timber_node2node50_t3,1.0
C_timber_node2node50_t4,1.0
C_timber_node2node50_t5,1.0
C_wide_node2node50_t0,0.0
C_wide_node2node50_t1,1.0
C_wide_node2node50_t2,1.0
C_wide_node2node50_t3,1.0
C_wide_node2node50_t4,1.0
C_wide_node2node50_t5,1.0
C_timber_node2node95_t0,0.0
C_timber_node2node95_t1,1.0
C_timber_node2node95_t2,1.0
C_timber_node2node95_t3,1.0
C_timber_node2node95_t4,1.0
C_timber_node2node95_t5,1.0
C_wide_node2node95_t0,0.0
C_wide_node2node95_t1,1.0
C_wide_node2node95_t2,1.0
C_wide_node2node95_t3,1.0
C_wide_node2node95_t4,1.0
C_wide_node2node95_t5,1.0
C_timber_node2node173_t0,0.0
C_timber_node2node173_t1,1.0
C_timber_node2node173_t2,1.0
C_timber_node2node173_t3,1.0
C_timber_node2node173_t4,1.0
C_timber_node2node173_t5,1.0
C_wide_node2node173_t0,0.0
C_wide_node2node173_t1,1.0
C_wide_node2node173_t2,1.0
C_wide_node2node173_t3,1.0
C_wide_node2node173_t4,1.0
C_wide_node2node173_t5,1.0
C_timber_node2node176_t0,0.0
C_timber_node2node176_t1,1.0
C_timber_node2node176_t2,1.0
C_timber_node2node176_t3,1.0
C_timber_node2node176_t4,1.0
C_timber_node2node176_t5,1.0
C_wide_node2node176_t0,0.0
C_wide_node2node176_t1,1.0
C_wide_node2node176_t2,1.0
C_wide_node2node176_t3,1.0
C_wide_node2node176_t4,1.0
C_wide_node2node176_t5,1.0
C_timber_node3node45_t0,0.0
C_timber_node3node45_t1,1.0
C_timber_node3node45_t2,1.0
C_timber_node3node45_t3,1.0
C_timber_node3node45_t4,1.0
C_timber_node3node45_t5,1.0
C_wide_node3node45_t0,0.0
C_wide_node3node45_t1,1.0
C_wide_node3node45_t2,1.0
C_wide_node3node45_t3,1.0
C_wide_node3node45_t4,1.0
C_wide_node3node45_t5,1.0
C_timber_node3node61_t0,0.0
C_timber_node3node61_t1,1.0
C_timber_node3node61_t2,1.0
C_timber_node3node61_t3,1.0
C_timber_node3node61_t4,1.0
C_timber_node3node61_t5,1.0
C_wide_node3node61_t0,0.0
C_wide_node3node61_t1,1.0
C_wide_node3node61_t2,1.0
C_wide_node3node61_t3,1.0
C_wide_node3node61_t4,1.0
C_wide_node3node61_t5,1.0
C_timber_node3node34_t0,0.0
C_timber_node3node34_t1,1.0
C_timber_node3node34_t2,1.0
C_timber_node3node34_t3,1.0
C_timber_node3node34_t4,1.0
C_timber_node3node34_t5,1.0
C_wide_node3node34_t0,0.0
C_wide_node3node34_t1,1.0
C_wide_node3node34_t2,1.0
C_wide_node3node34_t3,1.0
C_wide_node3node34_t4,1.0
C_wide_node3node34_t5,1.0
C_timber_node3node156_t0,0.0
C_timber_node3node156_t1,1.0
C_timber_node3node156_t2,1.0
C_timber_node3node156_t3,1.0
C_timber_node3node156_t4,1.0
C_timber_node3node156_t5,1.0
C_wide_node3node156_t0,0.0
C_wide_node3node156_t1,1.0
C_wide_node3node156_t2,1.0
