variable,lb,ub,type,var_type_letter,road_type,edge,period,discounted_cost
C_node1node4_timber_t0,0.0,0.0,B,C,timber,node1node4,0,1878.0
C_node1node4_timber_t1,0.0,1.0,B,C,timber,node1node4,1,1581.23
C_node1node4_timber_t2,0.0,1.0,B,C,timber,node1node4,2,1120.96
C_node1node4_timber_t3,0.0,1.0,B,C,timber,node1node4,3,794.67
C_node1node4_timber_t4,0.0,1.0,B,C,timber,node1node4,4,563.36
C_node1node4_timber_t5,0.0,1.0,B,C,timber,node1node4,5,399.37
C_node1node4_wide_t0,0.0,0.0,B,C,wide,node1node4,0,2816.0
C_node1node4_wide_t1,0.0,1.0,B,C,wide,node1node4,1,2371.0
C_node1node4_wide_t2,0.0,1.0,B,C,wide,node1node4,2,1680.84
C_node1node4_wide_t3,0.0,1.0,B,C,wide,node1node4,3,1191.58
C_node1node4_wide_t4,0.0,1.0,B,C,wide,node1node4,4,844.73
C_node1node4_wide_t5,0.0,1.0,B,C,wide,node1node4,5,598.85
C_node1node18_timber_t0,0.0,0.0,B,C,timber,node1node18,0,5153.0
C_node1node18_timber_t1,0.0,1.0,B,C,timber,node1node18,1,4338.69
C_node1node18_timber_t2,0.0,1.0,B,C,timber,node1node18,2,3075.78
C_node1node18_timber_t3,0.0,1.0,B,C,timber,node1node18,3,2180.48
C_node1node18_timber_t4,0.0,1.0,B,C,timber,node1node18,4,1545.78
C_node1node18_timber_t5,0.0,1.0,B,C,timber,node1node18,5,1095.83
C_node1node18_wide_t0,0.0,0.0,B,C,wide,node1node18,0,7732.0
C_node1node18_wide_t1,0.0,1.0,B,C,wide,node1node18,1,6510.14
C_node1node18_wide_t2,0.0,1.0,B,C,wide,node1node18,2,4615.16
C_node1node18_wide_t3,0.0,1.0,B,C,wide,node1node18,3,3271.77
C_node1node18_wide_t4,0.0,1.0,B,C,wide,node1node18,4,2319.42
C_node1node18_wide_t5,0.0,1.0,B,C,wide,node1node18,5,1644.28
C_node1node20_timber_t0,0.0,0.0,B,C,timber,node1node20,0,4904.0
C_node1node20_timber_t1,0.0,1.0,B,C,timber,node1node20,1,4129.04
C_node1node20_timber_t2,0.0,1.0,B,C,timber,node1node20,2,2927.15
C_node1node20_timber_t3,0.0,1.0,B,C,timber,node1node20,3,2075.11
C_node1node20_timber_t4,0.0,1.0,B,C,timber,node1node20,4,1471.09
C_node1node20_timber_t5,0.0,1.0,B,C,timber,node1node20,5,1042.88
C_node1node20_wide_t0,0.0,0.0,B,C,wide,node1node20,0,7358.0
C_node1node20_wide_t1,0.0,1.0,B,C,wide,node1node20,1,6195.24
C_node1node20_wide_t2,0.0,1.0,B,C,wide,node1node20,2,4391.92
C_node1node20_wide_t3,0.0,1.0,B,C,wide,node1node20,3,3113.52
C_node1node20_wide_t4,0.0,1.0,B,C,wide,node1node20,4,2207.23
C_node1node20_wide_t5,0.0,1.0,B,C,wide,node1node20,5,1564.75
C_node1node28_timber_t0,0.0,0.0,B,C,timber,node1node28,0,0.0
