arc,type
node3node21,source_in_transit_out
node10node21,source_in_transit_out
node6node21,source_in_transit_out
node2node22,source_in_transit_out
node8node22,source_in_transit_out
node6node22,source_in_transit_out
node3node22,source_in_transit_out
node1node23,source_in_transit_out
node2node23,source_in_transit_out
node7node23,source_in_transit_out
node14node23,exit_out_source_in
node15node23,exit_out_source_in
node5node23,source_in_transit_out
node11node23,source_in_transit_out
node8node23,source_in_transit_out
node13node23,source_in_transit_out
node4node24,exit_out_source_in
node20node24,exit_out_source_in
node1node24,source_in_transit_out
node16node24,exit_out_source_in
node15node24,exit_out_source_in
node9node24,exit_out_source_in
node7node24,source_in_transit_out
node5node24,source_in_transit_out
node12node24,exit_out_source_in
node18node24,exit_out_source_in
node11node24,source_in_transit_out
node17node24,exit_out_source_in
node19node24,exit_out_source_in
node21node10,source_out_transit_in
node21node3,source_out_transit_in
node21node6,source_out_transit_in
node22node6,source_out_transit_in
node22node3,source_out_transit_in
node22node2,source_out_transit_in
node22node8,source_out_transit_in
node23node15,exit_in_source_out
node23node7,source_out_transit_in
node23node1,source_out_transit_in
node23node11,source_out_transit_in
node23node13,source_out_transit_in
node23node5,source_out_transit_in
node23node8,source_out_transit_in
node23node14,exit_in_source_out
node23node2,source_out_transit_in
node24node20,exit_in_source_out
node24node5,source_out_transit_in
node24node16,exit_in_source_out
node24node4,exit_in_source_out
node24node11,source_out_transit_in
node24node15,exit_in_source_out
node24node19,exit_in_source_out
node24node18,exit_in_source_out
node24node12,exit_in_source_out
node24node7,source_out_transit_in
node24node1,source_out_transit_in
node24node9,exit_in_source_out
node24node17,exit_in_source_out
node7node4,exit_in_transit_out
node16node4,exit_in_exit_out
node19node9,exit_in_exit_out
node12node9,exit_in_exit_out
node16node12,exit_in_exit_out
node9node12,exit_in_exit_out
node2node14,exit_in_transit_out
node1node14,exit_in_transit_out
node7node15,exit_in_transit_out
node5node15,exit_in_transit_out
node4node16,exit_in_exit_out
node12node16,exit_in_exit_out
node20node17,exit_in_exit_out
node1node17,exit_in_transit_out
node20node18,exit_in_exit_out
node19node18,exit_in_exit_out
node18node19,exit_in_exit_out
node9node19,exit_in_exit_out
node18node20,exit_in_exit_out
node17node20,exit_in_exit_out
node4node7,exit_out_transit_in
node14node1,exit_out_transit_in
node14node2,exit_out_transit_in
node15node7,exit_out_transit_in
node15node5,exit_out_transit_in
node17node1,exit_out_transit_in
node11node1,transit_in_transit_out
node11node13,transit_in_transit_out
node5node13,transit_in_transit_out
node6node10,transit_in_transit_out
node3node10,transit_in_transit_out
node11node5,transit_in_transit_out
node13node5,transit_in_transit_out
node3node6,transit_in_transit_out
node8node6,transit_in_transit_out
node10node6,transit_in_transit_out
node2node3,transit_in_transit_out
node10node3,transit_in_transit_out
node6node3,transit_in_transit_out
node3node2,transit_in_transit_out
node8node2,transit_in_transit_out
node2node8,transit_in_transit_out
node7node8,transit_in_transit_out
node6node8,transit_in_transit_out
node5node11,transit_in_transit_out
node13node11,transit_in_transit_out
node1node11,transit_in_transit_out
node8node7,transit_in_transit_out
