302.0 * C_node1node28_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
254.28 * C_node1node28_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
180.26 * C_node1node28_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
127.79 * C_node1node28_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
90.59 * C_node1node28_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
64.22 * C_node1node28_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
453.0 * C_node1node28_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
381.41 * C_node1node28_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
270.39 * C_node1node28_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
191.69 * C_node1node28_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
135.89 * C_node1node28_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
96.33 * C_node1node28_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
957.0 * C_node1node47_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
805.77 * C_node1node47_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
571.22 * C_node1node47_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
404.95 * C_node1node47_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
287.08 * C_node1node47_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
203.51 * C_node1node47_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
1432.0 * C_node1node47_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
1205.71 * C_node1node47_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
854.75 * C_node1node47_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
605.95 * C_node1node47_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
429.57 * C_node1node47_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
304.53 * C_node1node47_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node1node68_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node1node68_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node1node68_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node1node68_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node1node68_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node1node68_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node1node68_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
