variable,value,node_type_info,action,road_type,edge,period
C_node1node9_timber_t0,0.0,node1transit_node9transit,C,timber,node1node9,0.0
C_node1node9_timber_t1,0.0,node1transit_node9transit,C,timber,node1node9,1.0
C_node1node9_timber_t2,0.0,node1transit_node9transit,C,timber,node1node9,2.0
C_node1node9_timber_t3,0.0,node1transit_node9transit,C,timber,node1node9,3.0
C_node1node9_timber_t4,0.0,node1transit_node9transit,C,timber,node1node9,4.0
C_node1node9_timber_t5,0.0,node1transit_node9transit,C,timber,node1node9,5.0
C_node1node9_wide_t0,0.0,node1transit_node9transit,C,wide,node1node9,0.0
C_node1node9_wide_t1,0.0,node1transit_node9transit,C,wide,node1node9,1.0
C_node1node9_wide_t2,0.0,node1transit_node9transit,C,wide,node1node9,2.0
C_node1node9_wide_t3,0.0,node1transit_node9transit,C,wide,node1node9,3.0
C_node1node9_wide_t4,0.0,node1transit_node9transit,C,wide,node1node9,4.0
C_node1node9_wide_t5,0.0,node1transit_node9transit,C,wide,node1node9,5.0
C_node1node17_timber_t0,0.0,node1transit_node17exit,C,timber,node1node17,0.0
C_node1node17_timber_t1,0.0,node1transit_node17exit,C,timber,node1node17,1.0
C_node1node17_timber_t2,0.0,node1transit_node17exit,C,timber,node1node17,2.0
C_node1node17_timber_t3,0.0,node1transit_node17exit,C,timber,node1node17,3.0
C_node1node17_timber_t4,0.0,node1transit_node17exit,C,timber,node1node17,4.0
C_node1node17_timber_t5,0.0,node1transit_node17exit,C,timber,node1node17,5.0
C_node1node17_wide_t0,0.0,node1transit_node17exit,C,wide,node1node17,0.0
C_node1node17_wide_t1,0.0,node1transit_node17exit,C,wide,node1node17,1.0
C_node1node17_wide_t2,0.0,node1transit_node17exit,C,wide,node1node17,2.0
C_node1node17_wide_t3,0.0,node1transit_node17exit,C,wide,node1node17,3.0
C_node1node17_wide_t4,0.0,node1transit_node17exit,C,wide,node1node17,4.0
C_node1node17_wide_t5,0.0,node1transit_node17exit,C,wide,node1node17,5.0
C_node1node5_timber_t0,0.0,node1transit_node5transit,C,timber,node1node5,0.0
C_node1node5_timber_t1,0.0,node1transit_node5transit,C,timber,node1node5,1.0
C_node1node5_timber_t2,0.0,node1transit_node5transit,C,timber,node1node5,2.0
C_node1node5_timber_t3,0.0,node1transit_node5transit,C,timber,node1node5,3.0
C_node1node5_timber_t4,0.0,node1transit_node5transit,C,timber,node1node5,4.0
C_node1node5_timber_t5,0.0,node1transit_node5transit,C,timber,node1node5,5.0
C_node1node5_wide_t0,0.0,node1transit_node5transit,C,wide,node1node5,0.0
C_node1node5_wide_t1,0.0,node1transit_node5transit,C,wide,node1node5,1.0
C_node1node5_wide_t2,0.0,node1transit_node5transit,C,wide,node1node5,2.0
C_node1node5_wide_t3,0.0,node1transit_node5transit,C,wide,node1node5,3.0
C_node1node5_wide_t4,0.0,node1transit_node5transit,C,wide,node1node5,4.0
C_node1node5_wide_t5,0.0,node1transit_node5transit,C,wide,node1node5,5.0
C_node1node19_timber_t0,0.0,node1transit_node19source,C,timber,node1node19,0.0
C_node1node19_timber_t1,0.0,node1transit_node19source,C,timber,node1node19,1.0
C_node1node19_timber_t2,1.0,node1transit_node19source,C,timber,node1node19,2.0
C_node1node19_timber_t3,0.0,node1transit_node19source,C,timber,node1node19,3.0
C_node1node19_timber_t4,0.0,node1transit_node19source,C,timber,node1node19,4.0
C_node1node19_timber_t5,0.0,node1transit_node19source,C,timber,node1node19,5.0
C_node1node19_wide_t0,0.0,node1transit_node19source,C,wide,node1node19,0.0
C_node1node19_wide_t1,0.0,node1transit_node19source,C,wide,node1node19,1.0
C_node1node19_wide_t2,0.0,node1transit_node19source,C,wide,node1node19,2.0
C_node1node19_wide_t3,0.0,node1transit_node19source,C,wide,node1node19,3.0
C_node1node19_wide_t4,0.0,node1transit_node19source,C,wide,node1node19,4.0
C_node1node19_wide_t5,0.0,node1transit_node19source,C,wide,node1node19,5.0
C_node2node3_timber_t0,0.0,node2transit_node3exit,C,timber,node2node3,0.0
C_node2node3_timber_t1,0.0,node2transit_node3exit,C,timber,node2node3,1.0
