variable,value
C_timber_node1node28_t1,1.0
C_timber_node1node28_t2,1.0
C_timber_node1node28_t3,1.0
C_timber_node1node28_t4,1.0
C_timber_node1node28_t5,1.0
C_wide_node1node28_t1,1.0
C_wide_node1node28_t2,1.0
C_wide_node1node28_t3,1.0
C_wide_node1node28_t4,1.0
C_wide_node1node28_t5,1.0
C_timber_node1node47_t1,1.0
C_timber_node1node47_t2,1.0
C_timber_node1node47_t3,1.0
C_timber_node1node47_t4,1.0
C_timber_node1node47_t5,1.0
C_wide_node1node47_t1,1.0
C_wide_node1node47_t2,1.0
C_wide_node1node47_t3,1.0
C_wide_node1node47_t4,1.0
C_wide_node1node47_t5,1.0
C_timber_node1node68_t1,1.0
C_timber_node1node68_t2,1.0
C_timber_node1node68_t3,1.0
C_timber_node1node68_t4,1.0
C_timber_node1node68_t5,1.0
C_wide_node1node68_t1,1.0
C_wide_node1node68_t2,1.0
C_wide_node1node68_t3,1.0
C_wide_node1node68_t4,1.0
C_wide_node1node68_t5,1.0
C_timber_node1node72_t1,1.0
C_timber_node1node72_t2,1.0
C_timber_node1node72_t3,1.0
C_timber_node1node72_t4,1.0
C_timber_node1node72_t5,1.0
C_wide_node1node72_t1,1.0
C_wide_node1node72_t2,1.0
C_wide_node1node72_t3,1.0
C_wide_node1node72_t4,1.0
C_wide_node1node72_t5,1.0
C_timber_node2node50_t1,1.0
C_timber_node2node50_t2,1.0
C_timber_node2node50_t3,1.0
C_timber_node2node50_t4,1.0
C_timber_node2node50_t5,1.0
C_wide_node2node50_t1,1.0
C_wide_node2node50_t2,1.0
C_wide_node2node50_t3,1.0
C_wide_node2node50_t4,1.0
C_wide_node2node50_t5,1.0
C_timber_node2node49_t1,1.0
C_timber_node2node49_t2,1.0
C_timber_node2node49_t3,1.0
C_timber_node2node49_t4,1.0
C_timber_node2node49_t5,1.0
C_wide_node2node49_t1,1.0
C_wide_node2node49_t2,1.0
C_wide_node2node49_t3,1.0
C_wide_node2node49_t4,1.0
C_wide_node2node49_t5,1.0
C_timber_node2node8_t1,1.0
C_timber_node2node8_t2,1.0
C_timber_node2node8_t3,1.0
C_timber_node2node8_t4,1.0
C_timber_node2node8_t5,1.0
C_wide_node2node8_t1,1.0
C_wide_node2node8_t2,1.0
C_wide_node2node8_t3,1.0
C_wide_node2node8_t4,1.0
C_wide_node2node8_t5,1.0
C_timber_node2node69_t1,1.0
C_timber_node2node69_t2,1.0
C_timber_node2node69_t3,1.0
C_timber_node2node69_t4,1.0
C_timber_node2node69_t5,1.0
C_wide_node2node69_t1,1.0
C_wide_node2node69_t2,1.0
C_wide_node2node69_t3,1.0
C_wide_node2node69_t4,1.0
C_wide_node2node69_t5,1.0
C_timber_node2node70_t1,1.0
C_timber_node2node70_t2,1.0
C_timber_node2node70_t3,1.0
C_timber_node2node70_t4,1.0
C_timber_node2node70_t5,1.0
C_wide_node2node70_t1,1.0
C_wide_node2node70_t2,1.0
C_wide_node2node70_t3,1.0
C_wide_node2node70_t4,1.0
C_wide_node2node70_t5,1.0
C_timber_node2node71_t1,1.0
C_timber_node2node71_t2,1.0
C_timber_node2node71_t3,1.0
C_timber_node2node71_t4,1.0
C_timber_node2node71_t5,1.0
C_wide_node2node71_t1,1.0
C_wide_node2node71_t2,1.0
C_wide_node2node71_t3,1.0
C_wide_node2node71_t4,1.0
C_wide_node2node71_t5,1.0
C_timber_node3node61_t1,1.0
C_timber_node3node61_t2,1.0
C_timber_node3node61_t3,1.0
C_timber_node3node61_t4,1.0
C_timber_node3node61_t5,1.0
C_wide_node3node61_t1,1.0
C_wide_node3node61_t2,1.0
C_wide_node3node61_t3,1.0
C_wide_node3node61_t4,1.0
