C_timber_node1node19_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node1node19_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node1node19_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node1node19_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node1node19_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node1node19_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node1node19_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node1node19_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node1node19_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node1node19_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node1node19_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node1node19_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node1node16_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node1node16_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node1node16_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node1node16_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node1node16_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node1node16_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node1node16_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node1node16_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node1node16_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node1node16_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node1node16_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node1node16_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node1node88_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node1node88_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node1node88_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node1node88_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node1node88_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node1node88_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node1node88_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node1node88_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node1node88_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node1node88_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node1node88_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node1node88_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node1node90_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node1node90_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node1node90_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node1node90_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node1node90_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node1node90_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node1node90_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node1node90_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node1node90_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node1node90_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node1node90_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node1node90_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node71_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node2node71_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node71_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node71_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node71_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node71_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node71_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node2node71_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node71_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node71_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node71_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node71_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node74_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node2node74_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node74_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node74_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node74_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node74_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node74_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node2node74_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node74_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node74_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node74_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node74_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node47_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node2node47_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node47_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node47_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node47_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node47_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node47_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node2node47_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node47_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node47_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node47_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node47_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node92_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node2node92_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node92_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node92_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node92_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node92_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node92_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node2node92_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node92_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node92_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node92_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node92_t5: lb=0.0, ub=1.0, type=B, cost=N/A
