variable,lb,ub,type,var_type_letter,road_type,edge,period,discounted_cost
C_node1node15_timber_t0,0.0,0.0,B,C,timber,node1node15,0,6192.0
C_node1node15_timber_t1,0.0,1.0,B,C,timber,node1node15,1,5213.5
C_node1node15_timber_t2,0.0,1.0,B,C,timber,node1node15,2,3695.95
C_node1node15_timber_t3,0.0,1.0,B,C,timber,node1node15,3,2620.13
C_node1node15_timber_t4,0.0,1.0,B,C,timber,node1node15,4,1857.46
C_node1node15_timber_t5,0.0,1.0,B,C,timber,node1node15,5,1316.79
C_node1node15_wide_t0,0.0,0.0,B,C,wide,node1node15,0,9287.0
C_node1node15_wide_t1,0.0,1.0,B,C,wide,node1node15,1,7819.4
C_node1node15_wide_t2,0.0,1.0,B,C,wide,node1node15,2,5543.32
C_node1node15_wide_t3,0.0,1.0,B,C,wide,node1node15,3,3929.77
C_node1node15_wide_t4,0.0,1.0,B,C,wide,node1node15,4,2785.89
C_node1node15_wide_t5,0.0,1.0,B,C,wide,node1node15,5,1974.97
C_node1node17_timber_t0,0.0,0.0,B,C,timber,node1node17,0,2807.0
C_node1node17_timber_t1,0.0,1.0,B,C,timber,node1node17,1,2363.42
C_node1node17_timber_t2,0.0,1.0,B,C,timber,node1node17,2,1675.47
C_node1node17_timber_t3,0.0,1.0,B,C,timber,node1node17,3,1187.77
C_node1node17_timber_t4,0.0,1.0,B,C,timber,node1node17,4,842.04
C_node1node17_timber_t5,0.0,1.0,B,C,timber,node1node17,5,596.93
C_node1node17_wide_t0,0.0,0.0,B,C,wide,node1node17,0,4209.0
C_node1node17_wide_t1,0.0,1.0,B,C,wide,node1node17,1,3543.87
C_node1node17_wide_t2,0.0,1.0,B,C,wide,node1node17,2,2512.31
C_node1node17_wide_t3,0.0,1.0,B,C,wide,node1node17,3,1781.03
C_node1node17_wide_t4,0.0,1.0,B,C,wide,node1node17,4,1262.6
C_node1node17_wide_t5,0.0,1.0,B,C,wide,node1node17,5,895.08
C_node1node4_timber_t0,0.0,0.0,B,C,timber,node1node4,0,6282.0
C_node1node4_timber_t1,0.0,1.0,B,C,timber,node1node4,1,5289.28
C_node1node4_timber_t2,0.0,1.0,B,C,timber,node1node4,2,3749.67
C_node1node4_timber_t3,0.0,1.0,B,C,timber,node1node4,3,2658.21
C_node1node4_timber_t4,0.0,1.0,B,C,timber,node1node4,4,1884.45
C_node1node4_timber_t5,0.0,1.0,B,C,timber,node1node4,5,1335.93
