variable,value,node_type_info,action,road_type,edge,period
C_node1node8_timber_t0,0.0,node1transit_node8exit,C,timber,node1node8,0.0
C_node1node8_timber_t1,0.0,node1transit_node8exit,C,timber,node1node8,1.0
C_node1node8_timber_t2,0.0,node1transit_node8exit,C,timber,node1node8,2.0
C_node1node8_timber_t3,0.0,node1transit_node8exit,C,timber,node1node8,3.0
C_node1node8_timber_t4,0.0,node1transit_node8exit,C,timber,node1node8,4.0
C_node1node8_timber_t5,0.0,node1transit_node8exit,C,timber,node1node8,5.0
C_node1node8_wide_t0,0.0,node1transit_node8exit,C,wide,node1node8,0.0
C_node1node8_wide_t1,0.0,node1transit_node8exit,C,wide,node1node8,1.0
C_node1node8_wide_t2,0.0,node1transit_node8exit,C,wide,node1node8,2.0
C_node1node8_wide_t3,0.0,node1transit_node8exit,C,wide,node1node8,3.0
C_node1node8_wide_t4,0.0,node1transit_node8exit,C,wide,node1node8,4.0
C_node1node8_wide_t5,0.0,node1transit_node8exit,C,wide,node1node8,5.0
C_node1node29_timber_t0,0.0,node1transit_node29transit,C,timber,node1node29,0.0
C_node1node29_timber_t1,0.0,node1transit_node29transit,C,timber,node1node29,1.0
C_node1node29_timber_t2,0.0,node1transit_node29transit,C,timber,node1node29,2.0
C_node1node29_timber_t3,0.0,node1transit_node29transit,C,timber,node1node29,3.0
C_node1node29_timber_t4,0.0,node1transit_node29transit,C,timber,node1node29,4.0
C_node1node29_timber_t5,0.0,node1transit_node29transit,C,timber,node1node29,5.0
C_node1node29_wide_t0,0.0,node1transit_node29transit,C,wide,node1node29,0.0
C_node1node29_wide_t1,0.0,node1transit_node29transit,C,wide,node1node29,1.0
C_node1node29_wide_t2,0.0,node1transit_node29transit,C,wide,node1node29,2.0
C_node1node29_wide_t3,0.0,node1transit_node29transit,C,wide,node1node29,3.0
C_node1node29_wide_t4,0.0,node1transit_node29transit,C,wide,node1node29,4.0
C_node1node29_wide_t5,0.0,node1transit_node29transit,C,wide,node1node29,5.0
C_node1node24_timber_t0,0.0,node1transit_node24transit,C,timber,node1node24,0.0
C_node1node24_timber_t1,0.0,node1transit_node24transit,C,timber,node1node24,1.0
C_node1node24_timber_t2,0.0,node1transit_node24transit,C,timber,node1node24,2.0
C_node1node24_timber_t3,0.0,node1transit_node24transit,C,timber,node1node24,3.0
C_node1node24_timber_t4,0.0,node1transit_node24transit,C,timber,node1node24,4.0
C_node1node24_timber_t5,0.0,node1transit_node24transit,C,timber,node1node24,5.0
C_node1node24_wide_t0,0.0,node1transit_node24transit,C,wide,node1node24,0.0
C_node1node24_wide_t1,0.0,node1transit_node24transit,C,wide,node1node24,1.0
C_node1node24_wide_t2,0.0,node1transit_node24transit,C,wide,node1node24,2.0
C_node1node24_wide_t3,0.0,node1transit_node24transit,C,wide,node1node24,3.0
C_node1node24_wide_t4,0.0,node1transit_node24transit,C,wide,node1node24,4.0
C_node1node24_wide_t5,0.0,node1transit_node24transit,C,wide,node1node24,5.0
C_node1node113_timber_t0,0.0,node1transit_node113source,C,timber,node1node113,0.0
C_node1node113_timber_t1,0.0,node1transit_node113source,C,timber,node1node113,1.0
C_node1node113_timber_t2,0.0,node1transit_node113source,C,timber,node1node113,2.0
C_node1node113_timber_t3,0.0,node1transit_node113source,C,timber,node1node113,3.0
C_node1node113_timber_t4,0.0,node1transit_node113source,C,timber,node1node113,4.0
C_node1node113_timber_t5,0.0,node1transit_node113source,C,timber,node1node113,5.0
C_node1node113_wide_t0,0.0,node1transit_node113source,C,wide,node1node113,0.0
C_node1node113_wide_t1,0.0,node1transit_node113source,C,wide,node1node113,1.0
C_node1node113_wide_t2,0.0,node1transit_node113source,C,wide,node1node113,2.0
C_node1node113_wide_t3,0.0,node1transit_node113source,C,wide,node1node113,3.0
C_node1node113_wide_t4,0.0,node1transit_node113source,C,wide,node1node113,4.0
C_node1node113_wide_t5,0.0,node1transit_node113source,C,wide,node1node113,5.0
C_node1node114_timber_t0,0.0,node1transit_node114source,C,timber,node1node114,0.0
C_node1node114_timber_t1,0.0,node1transit_node114source,C,timber,node1node114,1.0
C_node1node114_timber_t2,0.0,node1transit_node114source,C,timber,node1node114,2.0
C_node1node114_timber_t3,0.0,node1transit_node114source,C,timber,node1node114,3.0
C_node1node114_timber_t4,0.0,node1transit_node114source,C,timber,node1node114,4.0
C_node1node114_timber_t5,0.0,node1transit_node114source,C,timber,node1node114,5.0
C_node1node114_wide_t0,0.0,node1transit_node114source,C,wide,node1node114,0.0
C_node1node114_wide_t1,0.0,node1transit_node114source,C,wide,node1node114,1.0
C_node1node114_wide_t2,0.0,node1transit_node114source,C,wide,node1node114,2.0
C_node1node114_wide_t3,0.0,node1transit_node114source,C,wide,node1node114,3.0
C_node1node114_wide_t4,0.0,node1transit_node114source,C,wide,node1node114,4.0
C_node1node114_wide_t5,0.0,node1transit_node114source,C,wide,node1node114,5.0
C_node1node115_timber_t0,0.0,node1transit_node115source,C,timber,node1node115,0.0
C_node1node115_timber_t1,0.0,node1transit_node115source,C,timber,node1node115,1.0
C_node1node115_timber_t2,0.0,node1transit_node115source,C,timber,node1node115,2.0
C_node1node115_timber_t3,0.0,node1transit_node115source,C,timber,node1node115,3.0
C_node1node115_timber_t4,0.0,node1transit_node115source,C,timber,node1node115,4.0
C_node1node115_timber_t5,0.0,node1transit_node115source,C,timber,node1node115,5.0
C_node1node115_wide_t0,0.0,node1transit_node115source,C,wide,node1node115,0.0
C_node1node115_wide_t1,0.0,node1transit_node115source,C,wide,node1node115,1.0
C_node1node115_wide_t2,0.0,node1transit_node115source,C,wide,node1node115,2.0
C_node1node115_wide_t3,0.0,node1transit_node115source,C,wide,node1node115,3.0
C_node1node115_wide_t4,0.0,node1transit_node115source,C,wide,node1node115,4.0
C_node1node115_wide_t5,0.0,node1transit_node115source,C,wide,node1node115,5.0
C_node2node38_timber_t0,0.0,node2transit_node38transit,C,timber,node2node38,0.0
C_node2node38_timber_t1,0.0,node2transit_node38transit,C,timber,node2node38,1.0
C_node2node38_timber_t2,0.0,node2transit_node38transit,C,timber,node2node38,2.0
C_node2node38_timber_t3,0.0,node2transit_node38transit,C,timber,node2node38,3.0
C_node2node38_timber_t4,0.0,node2transit_node38transit,C,timber,node2node38,4.0
C_node2node38_timber_t5,0.0,node2transit_node38transit,C,timber,node2node38,5.0
C_node2node38_wide_t0,0.0,node2transit_node38transit,C,wide,node2node38,0.0
C_node2node38_wide_t1,0.0,node2transit_node38transit,C,wide,node2node38,1.0
C_node2node38_wide_t2,0.0,node2transit_node38transit,C,wide,node2node38,2.0
C_node2node38_wide_t3,0.0,node2transit_node38transit,C,wide,node2node38,3.0
C_node2node38_wide_t4,0.0,node2transit_node38transit,C,wide,node2node38,4.0
