variable,lb,ub,type,var_type_letter,road_type,edge,period,discounted_cost
C_node1node245_timber_t0,0.0,0.0,B,C,timber,node1node245,0,760.0
C_node1node245_timber_t1,0.0,1.0,B,C,timber,node1node245,1,639.9
C_node1node245_timber_t2,0.0,1.0,B,C,timber,node1node245,2,453.64
C_node1node245_timber_t3,0.0,1.0,B,C,timber,node1node245,3,321.59
C_node1node245_timber_t4,0.0,1.0,B,C,timber,node1node245,4,227.98
C_node1node245_timber_t5,0.0,1.0,B,C,timber,node1node245,5,161.62
C_node1node245_wide_t0,0.0,0.0,B,C,wide,node1node245,0,1140.0
C_node1node245_wide_t1,0.0,1.0,B,C,wide,node1node245,1,959.85
C_node1node245_wide_t2,0.0,1.0,B,C,wide,node1node245,2,680.46
C_node1node245_wide_t3,0.0,1.0,B,C,wide,node1node245,3,482.39
C_node1node245_wide_t4,0.0,1.0,B,C,wide,node1node245,4,341.97
C_node1node245_wide_t5,0.0,1.0,B,C,wide,node1node245,5,242.43
C_node1node105_timber_t0,0.0,0.0,B,C,timber,node1node105,0,1462.0
C_node1node105_timber_t1,0.0,1.0,B,C,timber,node1node105,1,1230.96
C_node1node105_timber_t2,0.0,1.0,B,C,timber,node1node105,2,872.65
C_node1node105_timber_t3,0.0,1.0,B,C,timber,node1node105,3,618.64
C_node1node105_timber_t4,0.0,1.0,B,C,timber,node1node105,4,438.57
C_node1node105_timber_t5,0.0,1.0,B,C,timber,node1node105,5,310.91
C_node1node105_wide_t0,0.0,0.0,B,C,wide,node1node105,0,2194.0
C_node1node105_wide_t1,0.0,1.0,B,C,wide,node1node105,1,1847.29
C_node1node105_wide_t2,0.0,1.0,B,C,wide,node1node105,2,1309.58
C_node1node105_wide_t3,0.0,1.0,B,C,wide,node1node105,3,928.38
C_node1node105_wide_t4,0.0,1.0,B,C,wide,node1node105,4,658.15
C_node1node105_wide_t5,0.0,1.0,B,C,wide,node1node105,5,466.57
C_node1node132_timber_t0,0.0,0.0,B,C,timber,node1node132,0,7482.0
C_node1node132_timber_t1,0.0,1.0,B,C,timber,node1node132,1,6299.64
C_node1node132_timber_t2,0.0,1.0,B,C,timber,node1node132,2,4465.94
C_node1node132_timber_t3,0.0,1.0,B,C,timber,node1node132,3,3165.99
C_node1node132_timber_t4,0.0,1.0,B,C,timber,node1node132,4,2244.43
C_node1node132_timber_t5,0.0,1.0,B,C,timber,node1node132,5,1591.12
C_node1node132_wide_t0,0.0,0.0,B,C,wide,node1node132,0,11220.0
C_node1node132_wide_t1,0.0,1.0,B,C,wide,node1node132,1,9446.94
C_node1node132_wide_t2,0.0,1.0,B,C,wide,node1node132,2,6697.11
C_node1node132_wide_t3,0.0,1.0,B,C,wide,node1node132,3,4747.71
C_node1node132_wide_t4,0.0,1.0,B,C,wide,node1node132,4,3365.74
C_node1node132_wide_t5,0.0,1.0,B,C,wide,node1node132,5,2386.04
C_node1node318_timber_t0,0.0,0.0,B,C,timber,node1node318,0,0.0
C_node1node318_timber_t1,0.0,1.0,B,C,timber,node1node318,1,0.0
C_node1node318_timber_t2,0.0,1.0,B,C,timber,node1node318,2,0.0
C_node1node318_timber_t3,0.0,1.0,B,C,timber,node1node318,3,0.0
C_node1node318_timber_t4,0.0,1.0,B,C,timber,node1node318,4,0.0
C_node1node318_timber_t5,0.0,1.0,B,C,timber,node1node318,5,0.0
C_node1node318_wide_t0,0.0,0.0,B,C,wide,node1node318,0,0.0
C_node1node318_wide_t1,0.0,1.0,B,C,wide,node1node318,1,0.0
C_node1node318_wide_t2,0.0,1.0,B,C,wide,node1node318,2,0.0
C_node1node318_wide_t3,0.0,1.0,B,C,wide,node1node318,3,0.0
C_node1node318_wide_t4,0.0,1.0,B,C,wide,node1node318,4,0.0
C_node1node318_wide_t5,0.0,1.0,B,C,wide,node1node318,5,0.0
C_node1node320_timber_t0,0.0,0.0,B,C,timber,node1node320,0,0.0
C_node1node320_timber_t1,0.0,1.0,B,C,timber,node1node320,1,0.0
C_node1node320_timber_t2,0.0,1.0,B,C,timber,node1node320,2,0.0
C_node1node320_timber_t3,0.0,1.0,B,C,timber,node1node320,3,0.0
C_node1node320_timber_t4,0.0,1.0,B,C,timber,node1node320,4,0.0
C_node1node320_timber_t5,0.0,1.0,B,C,timber,node1node320,5,0.0
C_node1node320_wide_t0,0.0,0.0,B,C,wide,node1node320,0,0.0
C_node1node320_wide_t1,0.0,1.0,B,C,wide,node1node320,1,0.0
C_node1node320_wide_t2,0.0,1.0,B,C,wide,node1node320,2,0.0
C_node1node320_wide_t3,0.0,1.0,B,C,wide,node1node320,3,0.0
C_node1node320_wide_t4,0.0,1.0,B,C,wide,node1node320,4,0.0
C_node1node320_wide_t5,0.0,1.0,B,C,wide,node1node320,5,0.0
C_node2node91_timber_t0,0.0,0.0,B,C,timber,node2node91,0,1459.0
C_node2node91_timber_t1,0.0,1.0,B,C,timber,node2node91,1,1228.44
C_node2node91_timber_t2,0.0,1.0,B,C,timber,node2node91,2,870.86
C_node2node91_timber_t3,0.0,1.0,B,C,timber,node2node91,3,617.37
C_node2node91_timber_t4,0.0,1.0,B,C,timber,node2node91,4,437.67
C_node2node91_timber_t5,0.0,1.0,B,C,timber,node2node91,5,310.27
C_node2node91_wide_t0,0.0,0.0,B,C,wide,node2node91,0,2189.0
C_node2node91_wide_t1,0.0,1.0,B,C,wide,node2node91,1,1843.08
C_node2node91_wide_t2,0.0,1.0,B,C,wide,node2node91,2,1306.59
C_node2node91_wide_t3,0.0,1.0,B,C,wide,node2node91,3,926.27
C_node2node91_wide_t4,0.0,1.0,B,C,wide,node2node91,4,656.65
C_node2node91_wide_t5,0.0,1.0,B,C,wide,node2node91,5,465.51
C_node2node29_timber_t0,0.0,0.0,B,C,timber,node2node29,0,1286.0
C_node2node29_timber_t1,0.0,1.0,B,C,timber,node2node29,1,1082.78
C_node2node29_timber_t2,0.0,1.0,B,C,timber,node2node29,2,767.6
C_node2node29_timber_t3,0.0,1.0,B,C,timber,node2node29,3,544.17
C_node2node29_timber_t4,0.0,1.0,B,C,timber,node2node29,4,385.77
C_node2node29_timber_t5,0.0,1.0,B,C,timber,node2node29,5,273.48
C_node2node29_wide_t0,0.0,0.0,B,C,wide,node2node29,0,1928.0
C_node2node29_wide_t1,0.0,1.0,B,C,wide,node2node29,1,1623.32
C_node2node29_wide_t2,0.0,1.0,B,C,wide,node2node29,2,1150.81
C_node2node29_wide_t3,0.0,1.0,B,C,wide,node2node29,3,815.83
C_node2node29_wide_t4,0.0,1.0,B,C,wide,node2node29,4,578.36
C_node2node29_wide_t5,0.0,1.0,B,C,wide,node2node29,5,410.01
C_node2node323_timber_t0,0.0,0.0,B,C,timber,node2node323,0,0.0
C_node2node323_timber_t1,0.0,1.0,B,C,timber,node2node323,1,0.0
C_node2node323_timber_t2,0.0,1.0,B,C,timber,node2node323,2,0.0
C_node2node323_timber_t3,0.0,1.0,B,C,timber,node2node323,3,0.0
C_node2node323_timber_t4,0.0,1.0,B,C,timber,node2node323,4,0.0
C_node2node323_timber_t5,0.0,1.0,B,C,timber,node2node323,5,0.0
C_node2node323_wide_t0,0.0,0.0,B,C,wide,node2node323,0,0.0
C_node2node323_wide_t1,0.0,1.0,B,C,wide,node2node323,1,0.0
C_node2node323_wide_t2,0.0,1.0,B,C,wide,node2node323,2,0.0
C_node2node323_wide_t3,0.0,1.0,B,C,wide,node2node323,3,0.0
C_node2node323_wide_t4,0.0,1.0,B,C,wide,node2node323,4,0.0
C_node2node323_wide_t5,0.0,1.0,B,C,wide,node2node323,5,0.0
C_node3node186_timber_t0,0.0,0.0,B,C,timber,node3node186,0,187.0
C_node3node186_timber_t1,0.0,1.0,B,C,timber,node3node186,1,157.45
C_node3node186_timber_t2,0.0,1.0,B,C,timber,node3node186,2,111.62
C_node3node186_timber_t3,0.0,1.0,B,C,timber,node3node186,3,79.13
C_node3node186_timber_t4,0.0,1.0,B,C,timber,node3node186,4,56.1
C_node3node186_timber_t5,0.0,1.0,B,C,timber,node3node186,5,39.77
C_node3node186_wide_t0,0.0,0.0,B,C,wide,node3node186,0,280.0
C_node3node186_wide_t1,0.0,1.0,B,C,wide,node3node186,1,235.75
C_node3node186_wide_t2,0.0,1.0,B,C,wide,node3node186,2,167.13
C_node3node186_wide_t3,0.0,1.0,B,C,wide,node3node186,3,118.48
C_node3node186_wide_t4,0.0,1.0,B,C,wide,node3node186,4,83.99
C_node3node186_wide_t5,0.0,1.0,B,C,wide,node3node186,5,59.54
C_node3node111_timber_t0,0.0,0.0,B,C,timber,node3node111,0,1355.0
C_node3node111_timber_t1,0.0,1.0,B,C,timber,node3node111,1,1140.87
C_node3node111_timber_t2,0.0,1.0,B,C,timber,node3node111,2,808.79
C_node3node111_timber_t3,0.0,1.0,B,C,timber,node3node111,3,573.36
C_node3node111_timber_t4,0.0,1.0,B,C,timber,node3node111,4,406.47
C_node3node111_timber_t5,0.0,1.0,B,C,timber,node3node111,5,288.15
C_node3node111_wide_t0,0.0,0.0,B,C,wide,node3node111,0,2030.0
C_node3node111_wide_t1,0.0,1.0,B,C,wide,node3node111,1,1709.21
C_node3node111_wide_t2,0.0,1.0,B,C,wide,node3node111,2,1211.69
C_node3node111_wide_t3,0.0,1.0,B,C,wide,node3node111,3,858.99
C_node3node111_wide_t4,0.0,1.0,B,C,wide,node3node111,4,608.95
C_node3node111_wide_t5,0.0,1.0,B,C,wide,node3node111,5,431.7
C_node3node61_timber_t0,0.0,0.0,B,C,timber,node3node61,0,1834.0
C_node3node61_timber_t1,0.0,1.0,B,C,timber,node3node61,1,1544.18
C_node3node61_timber_t2,0.0,1.0,B,C,timber,node3node61,2,1094.7
C_node3node61_timber_t3,0.0,1.0,B,C,timber,node3node61,3,776.05
C_node3node61_timber_t4,0.0,1.0,B,C,timber,node3node61,4,550.16
C_node3node61_timber_t5,0.0,1.0,B,C,timber,node3node61,5,390.02
C_node3node61_wide_t0,0.0,0.0,B,C,wide,node3node61,0,2750.0
C_node3node61_wide_t1,0.0,1.0,B,C,wide,node3node61,1,2315.43
C_node3node61_wide_t2,0.0,1.0,B,C,wide,node3node61,2,1641.45
C_node3node61_wide_t3,0.0,1.0,B,C,wide,node3node61,3,1163.65
C_node3node61_wide_t4,0.0,1.0,B,C,wide,node3node61,4,824.94
C_node3node61_wide_t5,0.0,1.0,B,C,wide,node3node61,5,584.81
C_node3node271_timber_t0,0.0,0.0,B,C,timber,node3node271,0,0.0
C_node3node271_timber_t1,0.0,1.0,B,C,timber,node3node271,1,0.0
C_node3node271_timber_t2,0.0,1.0,B,C,timber,node3node271,2,0.0
