variable,coefficient,type,prefix,width,edge,period
C_node1node79_timber_t0,240.0,B,C,timber,,0
C_node1node79_timber_t1,202.07,B,C,timber,,1
C_node1node79_timber_t2,143.25,B,C,timber,,2
C_node1node79_timber_t3,101.56,B,C,timber,,3
C_node1node79_timber_t4,71.99,B,C,timber,,4
C_node1node79_timber_t5,51.04,B,C,timber,,5
C_node1node79_wide_t0,360.0,B,C,wide,,0
C_node1node79_wide_t1,303.11,B,C,wide,,1
C_node1node79_wide_t2,214.88,B,C,wide,,2
C_node1node79_wide_t3,152.33,B,C,wide,,3
C_node1node79_wide_t4,107.99,B,C,wide,,4
C_node1node79_wide_t5,76.56,B,C,wide,,5
C_node1node62_timber_t0,466.0,B,C,timber,,0
C_node1node62_timber_t1,392.36,B,C,timber,,1
C_node1node62_timber_t2,278.15,B,C,timber,,2
C_node1node62_timber_t3,197.19,B,C,timber,,3
C_node1node62_timber_t4,139.79,B,C,timber,,4
C_node1node62_timber_t5,99.1,B,C,timber,,5
C_node1node62_wide_t0,699.0,B,C,wide,,0
C_node1node62_wide_t1,588.54,B,C,wide,,1
C_node1node62_wide_t2,417.23,B,C,wide,,2
C_node1node62_wide_t3,295.78,B,C,wide,,3
C_node1node62_wide_t4,209.68,B,C,wide,,4
C_node1node62_wide_t5,148.65,B,C,wide,,5
C_node1node14_timber_t0,2313.0,B,C,timber,,0
C_node1node14_timber_t1,1947.48,B,C,timber,,1
C_node1node14_timber_t2,1380.61,B,C,timber,,2
C_node1node14_timber_t3,978.74,B,C,timber,,3
C_node1node14_timber_t4,693.85,B,C,timber,,4
C_node1node14_timber_t5,491.88,B,C,timber,,5
C_node1node14_wide_t0,3469.0,B,C,wide,,0
C_node1node14_wide_t1,2920.8,B,C,wide,,1
C_node1node14_wide_t2,2070.61,B,C,wide,,2
C_node1node14_wide_t3,1467.9,B,C,wide,,3
C_node1node14_wide_t4,1040.62,B,C,wide,,4
C_node1node14_wide_t5,737.71,B,C,wide,,5
C_node1node119_timber_t0,0.0,B,C,timber,,0
C_node1node119_timber_t1,0.0,B,C,timber,,1
C_node1node119_timber_t2,0.0,B,C,timber,,2
C_node1node119_timber_t3,0.0,B,C,timber,,3
C_node1node119_timber_t4,0.0,B,C,timber,,4
C_node1node119_timber_t5,0.0,B,C,timber,,5
C_node1node119_wide_t0,0.0,B,C,wide,,0
C_node1node119_wide_t1,0.0,B,C,wide,,1
C_node1node119_wide_t2,0.0,B,C,wide,,2
C_node1node119_wide_t3,0.0,B,C,wide,,3
C_node1node119_wide_t4,0.0,B,C,wide,,4
C_node1node119_wide_t5,0.0,B,C,wide,,5
C_node1node144_timber_t0,0.0,B,C,timber,,0
C_node1node144_timber_t1,0.0,B,C,timber,,1
C_node1node144_timber_t2,0.0,B,C,timber,,2
C_node1node144_timber_t3,0.0,B,C,timber,,3
C_node1node144_timber_t4,0.0,B,C,timber,,4
C_node1node144_timber_t5,0.0,B,C,timber,,5
C_node1node144_wide_t0,0.0,B,C,wide,,0
C_node1node144_wide_t1,0.0,B,C,wide,,1
C_node1node144_wide_t2,0.0,B,C,wide,,2
C_node1node144_wide_t3,0.0,B,C,wide,,3
C_node1node144_wide_t4,0.0,B,C,wide,,4
C_node1node144_wide_t5,0.0,B,C,wide,,5
C_node2node83_timber_t0,298.0,B,C,timber,,0
C_node2node83_timber_t1,250.91,B,C,timber,,1
C_node2node83_timber_t2,177.87,B,C,timber,,2
C_node2node83_timber_t3,126.1,B,C,timber,,3
C_node2node83_timber_t4,89.39,B,C,timber,,4
C_node2node83_timber_t5,63.37,B,C,timber,,5
C_node2node83_wide_t0,447.0,B,C,wide,,0
C_node2node83_wide_t1,376.36,B,C,wide,,1
C_node2node83_wide_t2,266.81,B,C,wide,,2
C_node2node83_wide_t3,189.15,B,C,wide,,3
C_node2node83_wide_t4,134.09,B,C,wide,,4
C_node2node83_wide_t5,95.06,B,C,wide,,5
C_node2node26_timber_t0,902.0,B,C,timber,,0
C_node2node26_timber_t1,759.46,B,C,timber,,1
C_node2node26_timber_t2,538.4,B,C,timber,,2
C_node2node26_timber_t3,381.68,B,C,timber,,3
C_node2node26_timber_t4,270.58,B,C,timber,,4
C_node2node26_timber_t5,191.82,B,C,timber,,5
C_node2node26_wide_t0,1353.0,B,C,wide,,0
C_node2node26_wide_t1,1139.19,B,C,wide,,1
C_node2node26_wide_t2,807.59,B,C,wide,,2
C_node2node26_wide_t3,572.52,B,C,wide,,3
C_node2node26_wide_t4,405.87,B,C,wide,,4
C_node2node26_wide_t5,287.73,B,C,wide,,5
C_node2node99_timber_t0,1415.0,B,C,timber,,0
C_node2node99_timber_t1,1191.39,B,C,timber,,1
C_node2node99_timber_t2,844.6,B,C,timber,,2
C_node2node99_timber_t3,598.75,B,C,timber,,3
C_node2node99_timber_t4,424.47,B,C,timber,,4
C_node2node99_timber_t5,300.91,B,C,timber,,5
C_node2node99_wide_t0,2122.0,B,C,wide,,0
C_node2node99_wide_t1,1786.67,B,C,wide,,1
C_node2node99_wide_t2,1266.6,B,C,wide,,2
C_node2node99_wide_t3,897.92,B,C,wide,,3
C_node2node99_wide_t4,636.55,B,C,wide,,4
C_node2node99_wide_t5,451.26,B,C,wide,,5
C_node2node119_timber_t0,0.0,B,C,timber,,0
C_node2node119_timber_t1,0.0,B,C,timber,,1
C_node2node119_timber_t2,0.0,B,C,timber,,2
C_node2node119_timber_t3,0.0,B,C,timber,,3
C_node2node119_timber_t4,0.0,B,C,timber,,4
C_node2node119_timber_t5,0.0,B,C,timber,,5
C_node2node119_wide_t0,0.0,B,C,wide,,0
C_node2node119_wide_t1,0.0,B,C,wide,,1
C_node2node119_wide_t2,0.0,B,C,wide,,2
C_node2node119_wide_t3,0.0,B,C,wide,,3
C_node2node119_wide_t4,0.0,B,C,wide,,4
C_node2node119_wide_t5,0.0,B,C,wide,,5
C_node3node87_timber_t0,648.0,B,C,timber,,0
C_node3node87_timber_t1,545.6,B,C,timber,,1
C_node3node87_timber_t2,386.79,B,C,timber,,2
C_node3node87_timber_t3,274.2,B,C,timber,,3
C_node3node87_timber_t4,194.39,B,C,timber,,4
C_node3node87_timber_t5,137.8,B,C,timber,,5
C_node3node87_wide_t0,973.0,B,C,wide,,0
C_node3node87_wide_t1,819.24,B,C,wide,,1
C_node3node87_wide_t2,580.77,B,C,wide,,2
C_node3node87_wide_t3,411.72,B,C,wide,,3
C_node3node87_wide_t4,291.88,B,C,wide,,4
C_node3node87_wide_t5,206.92,B,C,wide,,5
C_node3node71_timber_t0,2288.0,B,C,timber,,0
C_node3node71_timber_t1,1926.43,B,C,timber,,1
C_node3node71_timber_t2,1365.69,B,C,timber,,2
C_node3node71_timber_t3,968.16,B,C,timber,,3
C_node3node71_timber_t4,686.35,B,C,timber,,4
C_node3node71_timber_t5,486.56,B,C,timber,,5
C_node3node71_wide_t0,3431.0,B,C,wide,,0
C_node3node71_wide_t1,2888.81,B,C,wide,,1
C_node3node71_wide_t2,2047.93,B,C,wide,,2
C_node3node71_wide_t3,1451.82,B,C,wide,,3
C_node3node71_wide_t4,1029.22,B,C,wide,,4
C_node3node71_wide_t5,729.63,B,C,wide,,5
