variable,value,node_type_info
C_node1node79_timber_t1,1.0,node1transit_node79transit
C_node1node62_timber_t1,1.0,node1transit_node62transit
C_node1node119_timber_t1,1.0,node1transit_node119source
C_node1node144_timber_t1,1.0,node1transit_node144source
C_node2node119_timber_t1,1.0,node2transit_node119source
C_node3node119_timber_t1,1.0,node3transit_node119source
C_node3node122_timber_t1,1.0,node3transit_node122source
C_node3node123_timber_t1,1.0,node3transit_node123source
C_node4node91_timber_t4,1.0,node4transit_node91transit
C_node4node88_timber_t1,1.0,node4transit_node88transit
C_node4node133_timber_t1,1.0,node4transit_node133source
C_node4node137_timber_t1,1.0,node4transit_node137source
C_node5node20_timber_t1,1.0,node5transit_node20transit
C_node5node35_timber_t1,1.0,node5transit_node35transit
C_node5node145_timber_t1,1.0,node5transit_node145source
C_node6node140_timber_t1,1.0,node6transit_node140source
C_node7node58_timber_t1,1.0,node7transit_node58transit
C_node7node115_timber_t1,1.0,node7transit_node115exit
C_node8node18_timber_t1,1.0,node8transit_node18transit
C_node8node132_wide_t1,1.0,node8transit_node132source
C_node8node132_wide_t4,1.0,node8transit_node132source
C_node8node139_timber_t1,1.0,node8transit_node139source
C_node8node140_timber_t1,1.0,node8transit_node140source
C_node8node141_timber_t1,1.0,node8transit_node141source
C_node10node129_timber_t1,1.0,node10transit_node129source
C_node10node129_timber_t3,1.0,node10transit_node129source
C_node10node138_timber_t1,1.0,node10transit_node138source
C_node10node142_timber_t1,1.0,node10transit_node142source
C_node11node143_timber_t1,1.0,node11transit_node143source
C_node12node64_timber_t1,1.0,node12transit_node64transit
C_node12node36_timber_t1,1.0,node12transit_node36transit
C_node12node138_timber_t1,1.0,node12transit_node138source
C_node12node139_timber_t1,1.0,node12transit_node139source
C_node13node122_timber_t1,1.0,node13transit_node122source
C_node13node123_timber_t1,1.0,node13transit_node123source
C_node14node144_timber_t1,1.0,node14transit_node144source
C_node15node143_timber_t1,1.0,node15transit_node143source
C_node16node118_timber_t1,1.0,node16transit_node118source
C_node17node140_timber_t1,1.0,node17transit_node140source
C_node17node141_timber_t1,1.0,node17transit_node141source
C_node18node38_timber_t1,1.0,node18transit_node38transit
C_node18node131_timber_t1,1.0,node18transit_node131source
C_node18node132_timber_t4,1.0,node18transit_node132source
C_node18node132_wide_t1,1.0,node18transit_node132source
C_node18node139_timber_t1,1.0,node18transit_node139source
C_node19node130_timber_t1,1.0,node19transit_node130source
C_node19node131_timber_t1,1.0,node19transit_node131source
C_node19node132_wide_t1,1.0,node19transit_node132source
C_node19node132_wide_t4,1.0,node19transit_node132source
C_node20node42_timber_t1,1.0,node20transit_node42transit
C_node20node145_timber_t1,1.0,node20transit_node145source
C_node21node127_timber_t1,1.0,node21transit_node127source
C_node22node121_timber_t1,1.0,node22transit_node121source
C_node22node123_timber_t1,1.0,node22transit_node123source
C_node24node55_timber_t1,1.0,node24transit_node55transit
C_node24node31_timber_t1,1.0,node24transit_node31transit
C_node24node118_timber_t1,1.0,node24transit_node118source
C_node24node119_timber_t1,1.0,node24transit_node119source
C_node26node71_timber_t1,1.0,node26transit_node71transit
C_node26node113_timber_t1,1.0,node26transit_node113exit
C_node26node119_timber_t1,1.0,node26transit_node119source
C_node28node30_timber_t1,1.0,node28transit_node30transit
C_node28node68_timber_t5,1.0,node28transit_node68transit
C_node28node68_wide_t1,1.0,node28transit_node68transit
C_node28node59_wide_t1,1.0,node28transit_node59transit
C_node28node134_timber_t1,1.0,node28transit_node134source
C_node28node134_timber_t3,1.0,node28transit_node134source
C_node29node88_timber_t1,1.0,node29transit_node88transit
C_node29node90_timber_t1,1.0,node29transit_node90transit
C_node29node127_timber_t1,1.0,node29transit_node127source
C_node29node134_timber_t1,1.0,node29transit_node134source
