variable,lb,ub,type,edge,period,road_type
flow_timber_node1node121_t1,0.0,9.0,I,node1node121,1,timber
flow_timber_node1node121_t2,0.0,9.0,I,node1node121,2,timber
flow_timber_node1node121_t3,0.0,9.0,I,node1node121,3,timber
flow_timber_node1node121_t4,0.0,9.0,I,node1node121,4,timber
flow_timber_node1node121_t5,0.0,9.0,I,node1node121,5,timber
flow_wide_node1node121_t1,0.0,9.0,I,node1node121,1,wide
flow_wide_node1node121_t2,0.0,9.0,I,node1node121,2,wide
flow_wide_node1node121_t3,0.0,9.0,I,node1node121,3,wide
flow_wide_node1node121_t4,0.0,9.0,I,node1node121,4,wide
flow_wide_node1node121_t5,0.0,9.0,I,node1node121,5,wide
flow_timber_node1node275_t1,0.0,9.0,I,node1node275,1,timber
flow_timber_node1node275_t2,0.0,9.0,I,node1node275,2,timber
flow_timber_node1node275_t3,0.0,9.0,I,node1node275,3,timber
flow_timber_node1node275_t4,0.0,9.0,I,node1node275,4,timber
flow_timber_node1node275_t5,0.0,9.0,I,node1node275,5,timber
flow_wide_node1node275_t1,0.0,9.0,I,node1node275,1,wide
flow_wide_node1node275_t2,0.0,9.0,I,node1node275,2,wide
flow_wide_node1node275_t3,0.0,9.0,I,node1node275,3,wide
flow_wide_node1node275_t4,0.0,9.0,I,node1node275,4,wide
flow_wide_node1node275_t5,0.0,9.0,I,node1node275,5,wide
flow_timber_node1node208_t1,0.0,9.0,I,node1node208,1,timber
flow_timber_node1node208_t2,0.0,9.0,I,node1node208,2,timber
flow_timber_node1node208_t3,0.0,9.0,I,node1node208,3,timber
flow_timber_node1node208_t4,0.0,9.0,I,node1node208,4,timber
flow_timber_node1node208_t5,0.0,9.0,I,node1node208,5,timber
flow_wide_node1node208_t1,0.0,9.0,I,node1node208,1,wide
flow_wide_node1node208_t2,0.0,9.0,I,node1node208,2,wide
flow_wide_node1node208_t3,0.0,9.0,I,node1node208,3,wide
flow_wide_node1node208_t4,0.0,9.0,I,node1node208,4,wide
flow_wide_node1node208_t5,0.0,9.0,I,node1node208,5,wide
flow_timber_node1node439_t1,0.0,9.0,I,node1node439,1,timber
flow_timber_node1node439_t2,0.0,9.0,I,node1node439,2,timber
flow_timber_node1node439_t3,0.0,9.0,I,node1node439,3,timber
flow_timber_node1node439_t4,0.0,9.0,I,node1node439,4,timber
flow_timber_node1node439_t5,0.0,9.0,I,node1node439,5,timber
flow_wide_node1node439_t1,0.0,9.0,I,node1node439,1,wide
flow_wide_node1node439_t2,0.0,9.0,I,node1node439,2,wide
flow_wide_node1node439_t3,0.0,9.0,I,node1node439,3,wide
flow_wide_node1node439_t4,0.0,9.0,I,node1node439,4,wide
flow_wide_node1node439_t5,0.0,9.0,I,node1node439,5,wide
flow_timber_node1node440_t1,0.0,9.0,I,node1node440,1,timber
flow_timber_node1node440_t2,0.0,9.0,I,node1node440,2,timber
flow_timber_node1node440_t3,0.0,9.0,I,node1node440,3,timber
flow_timber_node1node440_t4,0.0,9.0,I,node1node440,4,timber
flow_timber_node1node440_t5,0.0,9.0,I,node1node440,5,timber
flow_wide_node1node440_t1,0.0,9.0,I,node1node440,1,wide
flow_wide_node1node440_t2,0.0,9.0,I,node1node440,2,wide
flow_wide_node1node440_t3,0.0,9.0,I,node1node440,3,wide
