flow_timber_node1node14_t1: lb=0.0, ub=9.0, type=I, edge=node1node14, period=1, road_type=timber
flow_timber_node1node14_t2: lb=0.0, ub=9.0, type=I, edge=node1node14, period=2, road_type=timber
flow_timber_node1node14_t3: lb=0.0, ub=9.0, type=I, edge=node1node14, period=3, road_type=timber
flow_timber_node1node14_t4: lb=0.0, ub=9.0, type=I, edge=node1node14, period=4, road_type=timber
flow_timber_node1node14_t5: lb=0.0, ub=9.0, type=I, edge=node1node14, period=5, road_type=timber
flow_wide_node1node14_t1: lb=0.0, ub=9.0, type=I, edge=node1node14, period=1, road_type=wide
flow_wide_node1node14_t2: lb=0.0, ub=9.0, type=I, edge=node1node14, period=2, road_type=wide
flow_wide_node1node14_t3: lb=0.0, ub=9.0, type=I, edge=node1node14, period=3, road_type=wide
flow_wide_node1node14_t4: lb=0.0, ub=9.0, type=I, edge=node1node14, period=4, road_type=wide
flow_wide_node1node14_t5: lb=0.0, ub=9.0, type=I, edge=node1node14, period=5, road_type=wide
flow_timber_node1node35_t1: lb=0.0, ub=9.0, type=I, edge=node1node35, period=1, road_type=timber
flow_timber_node1node35_t2: lb=0.0, ub=9.0, type=I, edge=node1node35, period=2, road_type=timber
flow_timber_node1node35_t3: lb=0.0, ub=9.0, type=I, edge=node1node35, period=3, road_type=timber
flow_timber_node1node35_t4: lb=0.0, ub=9.0, type=I, edge=node1node35, period=4, road_type=timber
flow_timber_node1node35_t5: lb=0.0, ub=9.0, type=I, edge=node1node35, period=5, road_type=timber
flow_wide_node1node35_t1: lb=0.0, ub=9.0, type=I, edge=node1node35, period=1, road_type=wide
flow_wide_node1node35_t2: lb=0.0, ub=9.0, type=I, edge=node1node35, period=2, road_type=wide
flow_wide_node1node35_t3: lb=0.0, ub=9.0, type=I, edge=node1node35, period=3, road_type=wide
flow_wide_node1node35_t4: lb=0.0, ub=9.0, type=I, edge=node1node35, period=4, road_type=wide
flow_wide_node1node35_t5: lb=0.0, ub=9.0, type=I, edge=node1node35, period=5, road_type=wide
flow_timber_node1node56_t1: lb=0.0, ub=9.0, type=I, edge=node1node56, period=1, road_type=timber
flow_timber_node1node56_t2: lb=0.0, ub=9.0, type=I, edge=node1node56, period=2, road_type=timber
flow_timber_node1node56_t3: lb=0.0, ub=9.0, type=I, edge=node1node56, period=3, road_type=timber
flow_timber_node1node56_t4: lb=0.0, ub=9.0, type=I, edge=node1node56, period=4, road_type=timber
flow_timber_node1node56_t5: lb=0.0, ub=9.0, type=I, edge=node1node56, period=5, road_type=timber
flow_wide_node1node56_t1: lb=0.0, ub=9.0, type=I, edge=node1node56, period=1, road_type=wide
flow_wide_node1node56_t2: lb=0.0, ub=9.0, type=I, edge=node1node56, period=2, road_type=wide
flow_wide_node1node56_t3: lb=0.0, ub=9.0, type=I, edge=node1node56, period=3, road_type=wide
flow_wide_node1node56_t4: lb=0.0, ub=9.0, type=I, edge=node1node56, period=4, road_type=wide
flow_wide_node1node56_t5: lb=0.0, ub=9.0, type=I, edge=node1node56, period=5, road_type=wide
