harvesting_schedule,component_name,UB,LB,MIP_gap,solver_runtime_seconds
mwood,comp_1,1552.36,1552.3600000000001,0.0,0.11
mwood,comp_10,19597.690000000002,19595.847166517535,9.403319893658543e-05,487.96
mwood,comp_14_15_48_merged,61299.850000000006,50984.06459238313,0.16828402365775535,600.12
mwood,comp_16,16309.13,16307.523855427806,9.84813152015732e-05,319.44
mwood,comp_18,2279.6400000000003,2279.6400000000003,0.0,0.14
mwood,comp_19_41_merged,7113.900000000001,7113.900000000001,0.0,2.82
mwood,comp_20_25_28_33_merged,24567.5,22725.924591276107,0.07495982125669627,600.46
mwood,comp_21_40_merged,3793.0,3793.0000000000005,0.0,1.87
mwood,comp_22,7073.2699999999995,7073.27,0.0,0.48
mwood,comp_23,12603.240000000025,12603.240000000025,0.0,15.74
mwood,comp_24,9205.82,9205.82,0.0,13.39
mwood,comp_26,825.46,825.46,0.0,0.1
mwood,comp_27,2559.09,2559.09,0.0,0.12
mwood,comp_29,2992.92,2992.92,0.0,0.2
mwood,comp_2_44_merged,30893.67,29206.780752557912,0.054603070708079716,600.2
mwood,comp_30,574.36,574.36,0.0,0.11
mwood,comp_31_34_merged,11109.599999999999,11109.6,0.0,37.69
mwood,comp_32,2791.43,2791.43,0.0,0.65
mwood,comp_35,2004.42,2004.42,0.0,0.08
mwood,comp_36_50_merged,1249.1799999999998,1249.1799999999998,0.0,0.18
mwood,comp_37,1915.4299999999998,1915.4299999999998,0.0,0.24
mwood,comp_38,4578.54,4578.54,0.0,0.8
mwood,comp_3_43_merged,3295.1899999999996,3295.1899999999996,0.0,0.18
mwood,comp_42,461.84999999999997,461.84999999999997,0.0,0.09
mwood,comp_45,554.9,554.9,0.0,0.16
mwood,comp_46,321.02,321.02,0.0,0.06
mwood,comp_47,2472.6499999999996,2472.6499999999996,0.0,0.07
mwood,comp_49,12945.81,12945.81,0.0,2.03
mwood,comp_4_11_12_13_51_merged,13399.08,13399.08,0.0,4.45
mwood,comp_5_39_merged,127346.35999999999,66931.91775509263,0.47441043658340387,600.17
mwood,comp_6,4586.76,4586.759999999999,0.0,1.36
mwood,comp_7,0.0,0.0,0.0,0.19
mwood,comp_8,478.17,478.17,0.0,0.07
mwood,comp_9,3114.39,3114.39,0.0,0.61
