variable,value,node_type_info,action,road_type,edge,period
C_node1node3_timber_t0,0.0,node1transit_node3transit,C,timber,node1node3,0.0
C_node1node3_timber_t1,-0.0,node1transit_node3transit,C,timber,node1node3,1.0
C_node1node3_timber_t2,-0.0,node1transit_node3transit,C,timber,node1node3,2.0
C_node1node3_timber_t3,-0.0,node1transit_node3transit,C,timber,node1node3,3.0
C_node1node3_timber_t4,-0.0,node1transit_node3transit,C,timber,node1node3,4.0
C_node1node3_timber_t5,-0.0,node1transit_node3transit,C,timber,node1node3,5.0
C_node1node3_wide_t0,0.0,node1transit_node3transit,C,wide,node1node3,0.0
C_node1node3_wide_t1,-0.0,node1transit_node3transit,C,wide,node1node3,1.0
C_node1node3_wide_t2,-0.0,node1transit_node3transit,C,wide,node1node3,2.0
C_node1node3_wide_t3,-0.0,node1transit_node3transit,C,wide,node1node3,3.0
C_node1node3_wide_t4,-0.0,node1transit_node3transit,C,wide,node1node3,4.0
C_node1node3_wide_t5,-0.0,node1transit_node3transit,C,wide,node1node3,5.0
C_node1node32_timber_t0,0.0,node1transit_node32exit,C,timber,node1node32,0.0
C_node1node32_timber_t1,-0.0,node1transit_node32exit,C,timber,node1node32,1.0
C_node1node32_timber_t2,-0.0,node1transit_node32exit,C,timber,node1node32,2.0
C_node1node32_timber_t3,0.0,node1transit_node32exit,C,timber,node1node32,3.0
C_node1node32_timber_t4,-0.0,node1transit_node32exit,C,timber,node1node32,4.0
C_node1node32_timber_t5,-0.0,node1transit_node32exit,C,timber,node1node32,5.0
C_node1node32_wide_t0,0.0,node1transit_node32exit,C,wide,node1node32,0.0
C_node1node32_wide_t1,-0.0,node1transit_node32exit,C,wide,node1node32,1.0
C_node1node32_wide_t2,-0.0,node1transit_node32exit,C,wide,node1node32,2.0
C_node1node32_wide_t3,-0.0,node1transit_node32exit,C,wide,node1node32,3.0
C_node1node32_wide_t4,-0.0,node1transit_node32exit,C,wide,node1node32,4.0
C_node1node32_wide_t5,-0.0,node1transit_node32exit,C,wide,node1node32,5.0
C_node1node29_timber_t0,0.0,node1transit_node29exit,C,timber,node1node29,0.0
C_node1node29_timber_t1,0.0,node1transit_node29exit,C,timber,node1node29,1.0
C_node1node29_timber_t2,0.0,node1transit_node29exit,C,timber,node1node29,2.0
C_node1node29_timber_t3,0.0,node1transit_node29exit,C,timber,node1node29,3.0
C_node1node29_timber_t4,-0.0,node1transit_node29exit,C,timber,node1node29,4.0
C_node1node29_timber_t5,-0.0,node1transit_node29exit,C,timber,node1node29,5.0
C_node1node29_wide_t0,0.0,node1transit_node29exit,C,wide,node1node29,0.0
C_node1node29_wide_t1,-0.0,node1transit_node29exit,C,wide,node1node29,1.0
C_node1node29_wide_t2,-0.0,node1transit_node29exit,C,wide,node1node29,2.0
C_node1node29_wide_t3,-0.0,node1transit_node29exit,C,wide,node1node29,3.0
C_node1node29_wide_t4,-0.0,node1transit_node29exit,C,wide,node1node29,4.0
C_node1node29_wide_t5,-0.0,node1transit_node29exit,C,wide,node1node29,5.0
C_node2node39_timber_t0,0.0,node2transit_node39transit,C,timber,node2node39,0.0
C_node2node39_timber_t1,0.0,node2transit_node39transit,C,timber,node2node39,1.0
C_node2node39_timber_t2,-0.0,node2transit_node39transit,C,timber,node2node39,2.0
C_node2node39_timber_t3,0.0,node2transit_node39transit,C,timber,node2node39,3.0
C_node2node39_timber_t4,-0.0,node2transit_node39transit,C,timber,node2node39,4.0
C_node2node39_timber_t5,-0.0,node2transit_node39transit,C,timber,node2node39,5.0
C_node2node39_wide_t0,0.0,node2transit_node39transit,C,wide,node2node39,0.0
C_node2node39_wide_t1,1.0,node2transit_node39transit,C,wide,node2node39,1.0
C_node2node39_wide_t2,-0.0,node2transit_node39transit,C,wide,node2node39,2.0
C_node2node39_wide_t3,-0.0,node2transit_node39transit,C,wide,node2node39,3.0
C_node2node39_wide_t4,-0.0,node2transit_node39transit,C,wide,node2node39,4.0
C_node2node39_wide_t5,-0.0,node2transit_node39transit,C,wide,node2node39,5.0
C_node2node13_timber_t0,0.0,node2transit_node13transit,C,timber,node2node13,0.0
C_node2node13_timber_t1,-0.0,node2transit_node13transit,C,timber,node2node13,1.0
C_node2node13_timber_t2,-0.0,node2transit_node13transit,C,timber,node2node13,2.0
C_node2node13_timber_t3,-0.0,node2transit_node13transit,C,timber,node2node13,3.0
C_node2node13_timber_t4,0.0,node2transit_node13transit,C,timber,node2node13,4.0
C_node2node13_timber_t5,-0.0,node2transit_node13transit,C,timber,node2node13,5.0
C_node2node13_wide_t0,0.0,node2transit_node13transit,C,wide,node2node13,0.0
C_node2node13_wide_t1,1.0,node2transit_node13transit,C,wide,node2node13,1.0
C_node2node13_wide_t2,-0.0,node2transit_node13transit,C,wide,node2node13,2.0
C_node2node13_wide_t3,-0.0,node2transit_node13transit,C,wide,node2node13,3.0
C_node2node13_wide_t4,-0.0,node2transit_node13transit,C,wide,node2node13,4.0
C_node2node13_wide_t5,-0.0,node2transit_node13transit,C,wide,node2node13,5.0
C_node2node41_timber_t0,0.0,node2transit_node41transit,C,timber,node2node41,0.0
C_node2node41_timber_t1,-0.0,node2transit_node41transit,C,timber,node2node41,1.0
C_node2node41_timber_t2,0.0,node2transit_node41transit,C,timber,node2node41,2.0
C_node2node41_timber_t3,-0.0,node2transit_node41transit,C,timber,node2node41,3.0
C_node2node41_timber_t4,-0.0,node2transit_node41transit,C,timber,node2node41,4.0
C_node2node41_timber_t5,-0.0,node2transit_node41transit,C,timber,node2node41,5.0
C_node2node41_wide_t0,0.0,node2transit_node41transit,C,wide,node2node41,0.0
C_node2node41_wide_t1,-0.0,node2transit_node41transit,C,wide,node2node41,1.0
C_node2node41_wide_t2,-0.0,node2transit_node41transit,C,wide,node2node41,2.0
C_node2node41_wide_t3,-0.0,node2transit_node41transit,C,wide,node2node41,3.0
