variable,lb,ub,type,edge,period,road_type
flow_timber_node1node87_t1,0.0,9.0,I,node1node87,1,timber
flow_timber_node1node87_t2,0.0,9.0,I,node1node87,2,timber
flow_timber_node1node87_t3,0.0,9.0,I,node1node87,3,timber
flow_timber_node1node87_t4,0.0,9.0,I,node1node87,4,timber
flow_timber_node1node87_t5,0.0,9.0,I,node1node87,5,timber
flow_wide_node1node87_t1,0.0,9.0,I,node1node87,1,wide
flow_wide_node1node87_t2,0.0,9.0,I,node1node87,2,wide
flow_wide_node1node87_t3,0.0,9.0,I,node1node87,3,wide
flow_wide_node1node87_t4,0.0,9.0,I,node1node87,4,wide
flow_wide_node1node87_t5,0.0,9.0,I,node1node87,5,wide
flow_timber_node1node158_t1,0.0,9.0,I,node1node158,1,timber
flow_timber_node1node158_t2,0.0,9.0,I,node1node158,2,timber
flow_timber_node1node158_t3,0.0,9.0,I,node1node158,3,timber
flow_timber_node1node158_t4,0.0,9.0,I,node1node158,4,timber
flow_timber_node1node158_t5,0.0,9.0,I,node1node158,5,timber
flow_wide_node1node158_t1,0.0,9.0,I,node1node158,1,wide
flow_wide_node1node158_t2,0.0,9.0,I,node1node158,2,wide
flow_wide_node1node158_t3,0.0,9.0,I,node1node158,3,wide
flow_wide_node1node158_t4,0.0,9.0,I,node1node158,4,wide
flow_wide_node1node158_t5,0.0,9.0,I,node1node158,5,wide
flow_timber_node1node204_t1,0.0,9.0,I,node1node204,1,timber
flow_timber_node1node204_t2,0.0,9.0,I,node1node204,2,timber
flow_timber_node1node204_t3,0.0,9.0,I,node1node204,3,timber
flow_timber_node1node204_t4,0.0,9.0,I,node1node204,4,timber
flow_timber_node1node204_t5,0.0,9.0,I,node1node204,5,timber
flow_wide_node1node204_t1,0.0,9.0,I,node1node204,1,wide
flow_wide_node1node204_t2,0.0,9.0,I,node1node204,2,wide
flow_wide_node1node204_t3,0.0,9.0,I,node1node204,3,wide
flow_wide_node1node204_t4,0.0,9.0,I,node1node204,4,wide
flow_wide_node1node204_t5,0.0,9.0,I,node1node204,5,wide
flow_timber_node1node288_t1,0.0,9.0,I,node1node288,1,timber
flow_timber_node1node288_t2,0.0,9.0,I,node1node288,2,timber
flow_timber_node1node288_t3,0.0,9.0,I,node1node288,3,timber
flow_timber_node1node288_t4,0.0,9.0,I,node1node288,4,timber
flow_timber_node1node288_t5,0.0,9.0,I,node1node288,5,timber
flow_wide_node1node288_t1,0.0,9.0,I,node1node288,1,wide
flow_wide_node1node288_t2,0.0,9.0,I,node1node288,2,wide
flow_wide_node1node288_t3,0.0,9.0,I,node1node288,3,wide
flow_wide_node1node288_t4,0.0,9.0,I,node1node288,4,wide
flow_wide_node1node288_t5,0.0,9.0,I,node1node288,5,wide
flow_timber_node1node289_t1,0.0,9.0,I,node1node289,1,timber
flow_timber_node1node289_t2,0.0,9.0,I,node1node289,2,timber
flow_timber_node1node289_t3,0.0,9.0,I,node1node289,3,timber
flow_timber_node1node289_t4,0.0,9.0,I,node1node289,4,timber
flow_timber_node1node289_t5,0.0,9.0,I,node1node289,5,timber
flow_wide_node1node289_t1,0.0,9.0,I,node1node289,1,wide
flow_wide_node1node289_t2,0.0,9.0,I,node1node289,2,wide
flow_wide_node1node289_t3,0.0,9.0,I,node1node289,3,wide
flow_wide_node1node289_t4,0.0,9.0,I,node1node289,4,wide
flow_wide_node1node289_t5,0.0,9.0,I,node1node289,5,wide
flow_timber_node1node292_t1,0.0,9.0,I,node1node292,1,timber
flow_timber_node1node292_t2,0.0,9.0,I,node1node292,2,timber
