422.0 * C_node1node12_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
355.31 * C_node1node12_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
251.89 * C_node1node12_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
178.57 * C_node1node12_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
126.59 * C_node1node12_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
89.74 * C_node1node12_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
633.0 * C_node1node12_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
532.97 * C_node1node12_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
377.83 * C_node1node12_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
267.85 * C_node1node12_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
189.89 * C_node1node12_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
134.61 * C_node1node12_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
1598.0 * C_node1node79_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
1345.47 * C_node1node79_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
953.83 * C_node1node79_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
676.19 * C_node1node79_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
479.36 * C_node1node79_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
339.83 * C_node1node79_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
2394.0 * C_node1node79_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
2015.68 * C_node1node79_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
1428.96 * C_node1node79_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
1013.01 * C_node1node79_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
718.14 * C_node1node79_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
509.11 * C_node1node79_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
2951.0 * C_node1node55_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
2484.66 * C_node1node55_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
1761.42 * C_node1node55_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
1248.71 * C_node1node55_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
885.23 * C_node1node55_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
627.56 * C_node1node55_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
4426.0 * C_node1node55_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
3726.57 * C_node1node55_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
2641.84 * C_node1node55_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
1872.85 * C_node1node55_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
1327.7 * C_node1node55_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
941.23 * C_node1node55_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node1node178_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node1node178_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node1node178_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node1node178_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node1node178_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node1node178_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node1node178_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node1node178_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node1node178_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node1node178_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node1node178_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node1node178_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node1node179_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node1node179_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node1node179_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node1node179_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node1node179_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node1node179_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node1node179_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node1node179_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node1node179_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node1node179_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node1node179_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node1node179_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node1node209_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node1node209_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node1node209_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node1node209_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node1node209_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node1node209_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node1node209_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node1node209_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node1node209_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node1node209_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node1node209_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node1node209_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
1244.0 * C_node2node82_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
1047.41 * C_node2node82_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
742.53 * C_node2node82_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
526.39 * C_node2node82_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
