variable,value,node_type_info,action,road_type,edge,period
C_node1node158_timber_t1,1.0,node1transit_node158transit,C,timber,node1node158,1.0
C_node1node288_timber_t1,1.0,node1transit_node288source,C,timber,node1node288,1.0
C_node1node289_timber_t1,1.0,node1transit_node289source,C,timber,node1node289,1.0
C_node1node289_timber_t4,1.0,node1transit_node289source,C,timber,node1node289,4.0
C_node2node364_wide_t1,1.0,node2transit_node364source,C,wide,node2node364,1.0
C_node2node366_timber_t1,1.0,node2transit_node366source,C,timber,node2node366,1.0
C_node2node367_timber_t1,1.0,node2transit_node367source,C,timber,node2node367,1.0
C_node3node341_timber_t1,1.0,node3transit_node341source,C,timber,node3node341,1.0
C_node3node342_timber_t1,1.0,node3transit_node342source,C,timber,node3node342,1.0
C_node4node300_timber_t1,1.0,node4transit_node300source,C,timber,node4node300,1.0
C_node4node303_timber_t1,1.0,node4transit_node303source,C,timber,node4node303,1.0
C_node5node134_timber_t3,-1.7002695547792713e-13,node5transit_node134transit,C,timber,node5node134,3.0
C_node5node134_timber_t4,1.7002695547792713e-13,node5transit_node134transit,C,timber,node5node134,4.0
C_node5node301_timber_t1,1.0,node5transit_node301source,C,timber,node5node301,1.0
C_node5node302_timber_t1,1.0,node5transit_node302source,C,timber,node5node302,1.0
C_node5node305_timber_t1,1.0,node5transit_node305source,C,timber,node5node305,1.0
C_node8node124_timber_t1,1.0,node8transit_node124transit,C,timber,node8node124,1.0
C_node8node131_timber_t1,1.0,node8transit_node131transit,C,timber,node8node131,1.0
C_node8node335_timber_t1,1.0,node8transit_node335source,C,timber,node8node335,1.0
C_node8node341_timber_t1,1.0,node8transit_node341source,C,timber,node8node341,1.0
C_node9node143_timber_t1,1.0,node9transit_node143transit,C,timber,node9node143,1.0
C_node9node81_timber_t1,1.0,node9transit_node81transit,C,timber,node9node81,1.0
C_node9node361_wide_t1,1.0,node9transit_node361source,C,wide,node9node361,1.0
C_node10node313_timber_t1,1.0,node10transit_node313source,C,timber,node10node313,1.0
C_node10node315_timber_t1,1.0,node10transit_node315source,C,timber,node10node315,1.0
C_node11node264_timber_t1,1.0,node11transit_node264exit,C,timber,node11node264,1.0
C_node11node351_timber_t1,1.0,node11transit_node351source,C,timber,node11node351,1.0
C_node12node361_wide_t1,1.0,node12transit_node361source,C,wide,node12node361,1.0
C_node12node365_wide_t1,1.0,node12transit_node365source,C,wide,node12node365,1.0
C_node13node351_timber_t1,1.0,node13transit_node351source,C,timber,node13node351,1.0
C_node14node28_timber_t1,1.0,node14transit_node28transit,C,timber,node14node28,1.0
C_node14node187_timber_t1,1.0,node14transit_node187transit,C,timber,node14node187,1.0
C_node14node305_timber_t1,1.0,node14transit_node305source,C,timber,node14node305,1.0
C_node14node306_timber_t1,1.0,node14transit_node306source,C,timber,node14node306,1.0
C_node14node317_timber_t1,1.0,node14transit_node317source,C,timber,node14node317,1.0
C_node14node318_timber_t1,1.0,node14transit_node318source,C,timber,node14node318,1.0
C_node15node335_timber_t1,1.0,node15transit_node335source,C,timber,node15node335,1.0
C_node16node366_timber_t1,1.0,node16transit_node366source,C,timber,node16node366,1.0
C_node16node367_wide_t1,1.0,node16transit_node367source,C,wide,node16node367,1.0
C_node22node310_timber_t1,1.0,node22transit_node310source,C,timber,node22node310,1.0
C_node24node81_timber_t1,1.0,node24transit_node81transit,C,timber,node24node81,1.0
C_node24node345_timber_t1,1.0,node24transit_node345source,C,timber,node24node345,1.0
C_node27node337_timber_t1,1.0,node27transit_node337source,C,timber,node27node337,1.0
C_node28node46_timber_t1,1.0,node28transit_node46transit,C,timber,node28node46,1.0
C_node28node134_timber_t1,1.0,node28transit_node134transit,C,timber,node28node134,1.0
C_node28node305_timber_t1,1.0,node28transit_node305source,C,timber,node28node305,1.0
C_node28node318_timber_t1,1.0,node28transit_node318source,C,timber,node28node318,1.0
C_node30node219_timber_t1,1.0,node30transit_node219exit,C,timber,node30node219,1.0
C_node30node158_timber_t1,1.0,node30transit_node158transit,C,timber,node30node158,1.0
C_node31node319_timber_t1,1.0,node31transit_node319source,C,timber,node31node319,1.0
C_node31node321_timber_t1,1.0,node31transit_node321source,C,timber,node31node321,1.0
C_node32node62_timber_t3,1.5842487219879691e-13,node32transit_node62transit,C,timber,node32node62,3.0
C_node32node62_timber_t4,-1.5842487219879691e-13,node32transit_node62transit,C,timber,node32node62,4.0
C_node32node123_timber_t3,-1.5842487219879691e-13,node32transit_node123transit,C,timber,node32node123,3.0
C_node32node337_timber_t1,1.0,node32transit_node337source,C,timber,node32node337,1.0
C_node33node195_wide_t1,1.0,node33transit_node195transit,C,wide,node33node195,1.0
C_node33node361_wide_t1,1.0,node33transit_node361source,C,wide,node33node361,1.0
C_node33node365_wide_t1,1.0,node33transit_node365source,C,wide,node33node365,1.0
C_node33node366_wide_t1,1.0,node33transit_node366source,C,wide,node33node366,1.0
C_node34node139_timber_t1,1.0,node34exit_node139transit,C,timber,node34node139,1.0
C_node34node322_timber_t1,1.0,node34exit_node322source,C,timber,node34node322,1.0
C_node34node337_timber_t1,1.0,node34exit_node337source,C,timber,node34node337,1.0
C_node35node243_timber_t1,1.0,node35transit_node243exit,C,timber,node35node243,1.0
C_node35node140_timber_t1,1.0,node35transit_node140transit,C,timber,node35node140,1.0
C_node35node315_timber_t1,1.0,node35transit_node315source,C,timber,node35node315,1.0
C_node37node317_timber_t1,1.0,node37transit_node317source,C,timber,node37node317,1.0
C_node37node318_timber_t1,1.0,node37transit_node318source,C,timber,node37node318,1.0
C_node37node319_timber_t1,1.0,node37transit_node319source,C,timber,node37node319,1.0
C_node38node313_wide_t1,1.0,node38transit_node313source,C,wide,node38node313,1.0
C_node38node315_timber_t1,1.0,node38transit_node315source,C,timber,node38node315,1.0
C_node42node318_timber_t1,1.0,node42transit_node318source,C,timber,node42node318,1.0
C_node42node319_timber_t1,1.0,node42transit_node319source,C,timber,node42node319,1.0
C_node42node322_timber_t1,1.0,node42transit_node322source,C,timber,node42node322,1.0
C_node43node335_timber_t1,1.0,node43transit_node335source,C,timber,node43node335,1.0
C_node44node367_timber_t1,1.0,node44transit_node367source,C,timber,node44node367,1.0
C_node46node190_timber_t1,1.7002695547792716e-13,node46transit_node190transit,C,timber,node46node190,1.0
C_node46node190_timber_t4,-1.7002695547792716e-13,node46transit_node190transit,C,timber,node46node190,4.0
C_node46node205_wide_t1,-1.0857981180834031e-13,node46transit_node205transit,C,wide,node46node205,1.0
C_node46node318_timber_t1,1.0,node46transit_node318source,C,timber,node46node318,1.0
C_node46node320_timber_t1,1.0,node46transit_node320source,C,timber,node46node320,1.0
C_node48node82_timber_t1,1.0,node48transit_node82transit,C,timber,node48node82,1.0
C_node48node107_timber_t1,1.0,node48transit_node107transit,C,timber,node48node107,1.0
C_node48node301_timber_t1,1.0,node48transit_node301source,C,timber,node48node301,1.0
C_node48node303_timber_t1,1.0,node48transit_node303source,C,timber,node48node303,1.0
C_node48node304_timber_t1,1.0,node48transit_node304source,C,timber,node48node304,1.0
C_node48node304_timber_t4,1.0,node48transit_node304source,C,timber,node48node304,4.0
C_node49node323_timber_t1,1.0,node49transit_node323source,C,timber,node49node323,1.0
C_node49node336_timber_t1,1.0,node49transit_node336source,C,timber,node49node336,1.0
C_node50node76_timber_t1,1.0,node50transit_node76exit,C,timber,node50node76,1.0
C_node50node367_wide_t1,1.0,node50transit_node367source,C,wide,node50node367,1.0
C_node51node364_wide_t1,1.0,node51transit_node364source,C,wide,node51node364,1.0
C_node53node335_timber_t1,1.0,node53transit_node335source,C,timber,node53node335,1.0
C_node53node337_timber_t1,1.0,node53transit_node337source,C,timber,node53node337,1.0
C_node55node327_timber_t1,1.0,node55transit_node327source,C,timber,node55node327,1.0
C_node57node337_timber_t1,1.0,node57transit_node337source,C,timber,node57node337,1.0
C_node59node131_timber_t1,1.0,node59transit_node131transit,C,timber,node59node131,1.0
C_node59node106_timber_t1,1.0,node59transit_node106transit,C,timber,node59node106,1.0
C_node59node337_timber_t1,1.0,node59transit_node337source,C,timber,node59node337,1.0
C_node59node338_timber_t1,1.0,node59transit_node338source,C,timber,node59node338,1.0
C_node59node341_timber_t1,1.0,node59transit_node341source,C,timber,node59node341,1.0
C_node60node351_wide_t1,1.0,node60transit_node351source,C,wide,node60node351,1.0
C_node62node336_timber_t1,1.0,node62transit_node336source,C,timber,node62node336,1.0
C_node62node337_timber_t1,1.0,node62transit_node337source,C,timber,node62node337,1.0
C_node64node342_timber_t1,1.0,node64transit_node342source,C,timber,node64node342,1.0
C_node67node351_timber_t1,1.0,node67transit_node351source,C,timber,node67node351,1.0
C_node70node74_timber_t3,-1.5842487219879691e-13,node70transit_node74transit,C,timber,node70node74,3.0
C_node73node339_timber_t1,1.0,node73transit_node339source,C,timber,node73node339,1.0
C_node73node341_timber_t1,1.0,node73transit_node341source,C,timber,node73node341,1.0
C_node74node336_timber_t1,1.0,node74transit_node336source,C,timber,node74node336,1.0
C_node74node336_timber_t3,1.0,node74transit_node336source,C,timber,node74node336,3.0
C_node75node301_timber_t1,1.0,node75transit_node301source,C,timber,node75node301,1.0
C_node75node305_timber_t1,1.0,node75transit_node305source,C,timber,node75node305,1.0
C_node75node306_timber_t1,1.0,node75transit_node306source,C,timber,node75node306,1.0
C_node77node315_timber_t1,1.0,node77transit_node315source,C,timber,node77node315,1.0
C_node80node363_wide_t1,1.0,node80transit_node363source,C,wide,node80node363,1.0
C_node80node364_timber_t1,1.0,node80transit_node364source,C,timber,node80node364,1.0
C_node80node366_timber_t1,1.0,node80transit_node366source,C,timber,node80node366,1.0
C_node82node300_timber_t1,1.0,node82transit_node300source,C,timber,node82node300,1.0
C_node82node301_timber_t1,1.0,node82transit_node301source,C,timber,node82node301,1.0
C_node82node303_timber_t1,1.0,node82transit_node303source,C,timber,node82node303,1.0
C_node84node244_timber_t1,1.0,node84transit_node244exit,C,timber,node84node244,1.0
C_node84node321_timber_t1,1.0,node84transit_node321source,C,timber,node84node321,1.0
