flow_timber_node1node22_t1: lb=0.0, ub=9.0, type=I, edge=node1node22, period=1, road_type=timber
flow_timber_node1node22_t2: lb=0.0, ub=9.0, type=I, edge=node1node22, period=2, road_type=timber
flow_timber_node1node22_t3: lb=0.0, ub=9.0, type=I, edge=node1node22, period=3, road_type=timber
flow_timber_node1node22_t4: lb=0.0, ub=9.0, type=I, edge=node1node22, period=4, road_type=timber
flow_timber_node1node22_t5: lb=0.0, ub=9.0, type=I, edge=node1node22, period=5, road_type=timber
flow_wide_node1node22_t1: lb=0.0, ub=9.0, type=I, edge=node1node22, period=1, road_type=wide
flow_wide_node1node22_t2: lb=0.0, ub=9.0, type=I, edge=node1node22, period=2, road_type=wide
flow_wide_node1node22_t3: lb=0.0, ub=9.0, type=I, edge=node1node22, period=3, road_type=wide
flow_wide_node1node22_t4: lb=0.0, ub=9.0, type=I, edge=node1node22, period=4, road_type=wide
flow_wide_node1node22_t5: lb=0.0, ub=9.0, type=I, edge=node1node22, period=5, road_type=wide
flow_timber_node1node30_t1: lb=0.0, ub=9.0, type=I, edge=node1node30, period=1, road_type=timber
flow_timber_node1node30_t2: lb=0.0, ub=9.0, type=I, edge=node1node30, period=2, road_type=timber
flow_timber_node1node30_t3: lb=0.0, ub=9.0, type=I, edge=node1node30, period=3, road_type=timber
flow_timber_node1node30_t4: lb=0.0, ub=9.0, type=I, edge=node1node30, period=4, road_type=timber
flow_timber_node1node30_t5: lb=0.0, ub=9.0, type=I, edge=node1node30, period=5, road_type=timber
flow_wide_node1node30_t1: lb=0.0, ub=9.0, type=I, edge=node1node30, period=1, road_type=wide
flow_wide_node1node30_t2: lb=0.0, ub=9.0, type=I, edge=node1node30, period=2, road_type=wide
flow_wide_node1node30_t3: lb=0.0, ub=9.0, type=I, edge=node1node30, period=3, road_type=wide
flow_wide_node1node30_t4: lb=0.0, ub=9.0, type=I, edge=node1node30, period=4, road_type=wide
flow_wide_node1node30_t5: lb=0.0, ub=9.0, type=I, edge=node1node30, period=5, road_type=wide
flow_timber_node22node1_t1: lb=0.0, ub=9.0, type=I, edge=node22node1, period=1, road_type=timber
flow_timber_node22node1_t2: lb=0.0, ub=9.0, type=I, edge=node22node1, period=2, road_type=timber
flow_timber_node22node1_t3: lb=0.0, ub=9.0, type=I, edge=node22node1, period=3, road_type=timber
flow_timber_node22node1_t4: lb=0.0, ub=9.0, type=I, edge=node22node1, period=4, road_type=timber
flow_timber_node22node1_t5: lb=0.0, ub=9.0, type=I, edge=node22node1, period=5, road_type=timber
flow_wide_node22node1_t1: lb=0.0, ub=9.0, type=I, edge=node22node1, period=1, road_type=wide
flow_wide_node22node1_t2: lb=0.0, ub=9.0, type=I, edge=node22node1, period=2, road_type=wide
flow_wide_node22node1_t3: lb=0.0, ub=9.0, type=I, edge=node22node1, period=3, road_type=wide
flow_wide_node22node1_t4: lb=0.0, ub=9.0, type=I, edge=node22node1, period=4, road_type=wide
flow_wide_node22node1_t5: lb=0.0, ub=9.0, type=I, edge=node22node1, period=5, road_type=wide
flow_timber_node22node6_t1: lb=0.0, ub=9.0, type=I, edge=node22node6, period=1, road_type=timber
flow_timber_node22node6_t2: lb=0.0, ub=9.0, type=I, edge=node22node6, period=2, road_type=timber
flow_timber_node22node6_t3: lb=0.0, ub=9.0, type=I, edge=node22node6, period=3, road_type=timber
flow_timber_node22node6_t4: lb=0.0, ub=9.0, type=I, edge=node22node6, period=4, road_type=timber
flow_timber_node22node6_t5: lb=0.0, ub=9.0, type=I, edge=node22node6, period=5, road_type=timber
flow_wide_node22node6_t1: lb=0.0, ub=9.0, type=I, edge=node22node6, period=1, road_type=wide
flow_wide_node22node6_t2: lb=0.0, ub=9.0, type=I, edge=node22node6, period=2, road_type=wide
flow_wide_node22node6_t3: lb=0.0, ub=9.0, type=I, edge=node22node6, period=3, road_type=wide
flow_wide_node22node6_t4: lb=0.0, ub=9.0, type=I, edge=node22node6, period=4, road_type=wide
flow_wide_node22node6_t5: lb=0.0, ub=9.0, type=I, edge=node22node6, period=5, road_type=wide
flow_timber_node22node25_t1: lb=0.0, ub=9.0, type=I, edge=node22node25, period=1, road_type=timber
flow_timber_node22node25_t2: lb=0.0, ub=9.0, type=I, edge=node22node25, period=2, road_type=timber
flow_timber_node22node25_t3: lb=0.0, ub=9.0, type=I, edge=node22node25, period=3, road_type=timber
flow_timber_node22node25_t4: lb=0.0, ub=9.0, type=I, edge=node22node25, period=4, road_type=timber
