variable,value,node_type_info,action,road_type,edge,period
C_node6node16_timber_t1,1.0,node6exit_node16transit,C,timber,node6node16,1.0
C_node7node105_timber_t1,1.0,node7transit_node105source,C,timber,node7node105,1.0
C_node7node105_timber_t3,1.0,node7transit_node105source,C,timber,node7node105,3.0
C_node8node98_timber_t1,1.0,node8transit_node98source,C,timber,node8node98,1.0
C_node8node99_timber_t1,1.0,node8transit_node99source,C,timber,node8node99,1.0
C_node8node100_timber_t1,1.0,node8transit_node100source,C,timber,node8node100,1.0
C_node11node44_timber_t1,1.0,node11transit_node44transit,C,timber,node11node44,1.0
C_node11node58_timber_t1,1.0,node11transit_node58transit,C,timber,node11node58,1.0
C_node11node41_timber_t1,1.0,node11transit_node41transit,C,timber,node11node41,1.0
C_node11node93_timber_t1,1.0,node11transit_node93source,C,timber,node11node93,1.0
C_node11node93_timber_t3,1.0,node11transit_node93source,C,timber,node11node93,3.0
C_node11node94_timber_t1,1.0,node11transit_node94source,C,timber,node11node94,1.0
C_node16node41_timber_t1,1.0,node16transit_node41transit,C,timber,node16node41,1.0
C_node16node94_timber_t1,1.0,node16transit_node94source,C,timber,node16node94,1.0
C_node16node94_wide_t3,1.0,node16transit_node94source,C,wide,node16node94,3.0
C_node18node101_timber_t1,1.0,node18transit_node101source,C,timber,node18node101,1.0
C_node19node96_timber_t1,1.0,node19transit_node96source,C,timber,node19node96,1.0
C_node19node96_timber_t4,1.0,node19transit_node96source,C,timber,node19node96,4.0
C_node19node100_timber_t1,1.0,node19transit_node100source,C,timber,node19node100,1.0
C_node20node28_timber_t1,1.0,node20transit_node28transit,C,timber,node20node28,1.0
C_node20node44_timber_t1,1.0,node20transit_node44transit,C,timber,node20node44,1.0
C_node20node94_timber_t1,1.0,node20transit_node94source,C,timber,node20node94,1.0
C_node20node94_timber_t3,1.0,node20transit_node94source,C,timber,node20node94,3.0
C_node20node96_timber_t1,1.0,node20transit_node96source,C,timber,node20node96,1.0
C_node20node97_timber_t1,1.0,node20transit_node97source,C,timber,node20node97,1.0
C_node27node59_timber_t1,1.0,node27transit_node59transit,C,timber,node27node59,1.0
C_node27node28_timber_t1,1.0,node27transit_node28transit,C,timber,node27node28,1.0
C_node27node96_timber_t1,1.0,node27transit_node96source,C,timber,node27node96,1.0
C_node27node96_timber_t4,1.0,node27transit_node96source,C,timber,node27node96,4.0
C_node27node98_timber_t1,1.0,node27transit_node98source,C,timber,node27node98,1.0
C_node27node99_timber_t1,1.0,node27transit_node99source,C,timber,node27node99,1.0
C_node28node96_timber_t1,1.0,node28transit_node96source,C,timber,node28node96,1.0
C_node28node96_timber_t4,1.0,node28transit_node96source,C,timber,node28node96,4.0
C_node28node97_timber_t1,1.0,node28transit_node97source,C,timber,node28node97,1.0
C_node28node98_timber_t1,1.0,node28transit_node98source,C,timber,node28node98,1.0
C_node28node98_wide_t3,1.0,node28transit_node98source,C,wide,node28node98,3.0
C_node30node93_timber_t1,1.0,node30transit_node93source,C,timber,node30node93,1.0
C_node32node97_timber_t1,1.0,node32transit_node97source,C,timber,node32node97,1.0
C_node32node101_timber_t1,1.0,node32transit_node101source,C,timber,node32node101,1.0
C_node34node97_timber_t1,1.0,node34transit_node97source,C,timber,node34node97,1.0
C_node37node93_timber_t1,1.0,node37transit_node93source,C,timber,node37node93,1.0
C_node37node93_timber_t3,1.0,node37transit_node93source,C,timber,node37node93,3.0
C_node37node95_timber_t1,1.0,node37transit_node95source,C,timber,node37node95,1.0
C_node40node105_timber_t1,1.0,node40transit_node105source,C,timber,node40node105,1.0
C_node40node105_timber_t3,1.0,node40transit_node105source,C,timber,node40node105,3.0
C_node41node93_timber_t1,1.0,node41transit_node93source,C,timber,node41node93,1.0
C_node41node93_timber_t3,1.0,node41transit_node93source,C,timber,node41node93,3.0
C_node41node94_timber_t1,1.0,node41transit_node94source,C,timber,node41node94,1.0
C_node42node105_timber_t1,1.0,node42exit_node105source,C,timber,node42node105,1.0
C_node42node105_wide_t3,1.0,node42exit_node105source,C,wide,node42node105,3.0
C_node44node94_timber_t1,1.0,node44transit_node94source,C,timber,node44node94,1.0
C_node44node94_wide_t3,1.0,node44transit_node94source,C,wide,node44node94,3.0
C_node44node96_timber_t1,1.0,node44transit_node96source,C,timber,node44node96,1.0
C_node44node96_timber_t4,1.0,node44transit_node96source,C,timber,node44node96,4.0
C_node47node95_timber_t1,1.0,node47transit_node95source,C,timber,node47node95,1.0
C_node48node100_timber_t1,1.0,node48transit_node100source,C,timber,node48node100,1.0
C_node48node101_timber_t1,1.0,node48transit_node101source,C,timber,node48node101,1.0
C_node49node101_timber_t1,1.0,node49transit_node101source,C,timber,node49node101,1.0
C_node50node94_timber_t1,1.0,node50transit_node94source,C,timber,node50node94,1.0
C_node50node97_timber_t1,1.0,node50transit_node97source,C,timber,node50node97,1.0
C_node51node97_timber_t1,1.0,node51transit_node97source,C,timber,node51node97,1.0
C_node51node100_timber_t1,1.0,node51transit_node100source,C,timber,node51node100,1.0
C_node51node101_timber_t1,1.0,node51transit_node101source,C,timber,node51node101,1.0
C_node53node84_timber_t1,1.0,node53transit_node84exit,C,timber,node53node84,1.0
C_node53node101_timber_t1,1.0,node53transit_node101source,C,timber,node53node101,1.0
C_node54node105_wide_t1,1.0,node54exit_node105source,C,wide,node54node105,1.0
C_node55node97_timber_t1,1.0,node55transit_node97source,C,timber,node55node97,1.0
C_node58node93_timber_t1,1.0,node58transit_node93source,C,timber,node58node93,1.0
C_node58node95_timber_t1,1.0,node58transit_node95source,C,timber,node58node95,1.0
C_node59node96_timber_t1,1.0,node59transit_node96source,C,timber,node59node96,1.0
C_node59node96_timber_t4,1.0,node59transit_node96source,C,timber,node59node96,4.0
C_node59node99_timber_t1,1.0,node59transit_node99source,C,timber,node59node99,1.0
C_node59node100_timber_t1,1.0,node59transit_node100source,C,timber,node59node100,1.0
C_node62node105_timber_t1,1.0,node62transit_node105source,C,timber,node62node105,1.0
C_node63node97_timber_t1,1.0,node63transit_node97source,C,timber,node63node97,1.0
C_node63node98_timber_t1,1.0,node63transit_node98source,C,timber,node63node98,1.0
C_node63node98_timber_t3,1.0,node63transit_node98source,C,timber,node63node98,3.0
C_node63node100_timber_t1,1.0,node63transit_node100source,C,timber,node63node100,1.0
C_node73node105_timber_t1,1.0,node73exit_node105source,C,timber,node73node105,1.0
M_node6node16_timber_t2,1.0,node6exit_node16transit,M,timber,node6node16,2.0
M_node6node16_timber_t3,1.0,node6exit_node16transit,M,timber,node6node16,3.0
M_node6node16_timber_t4,1.0,node6exit_node16transit,M,timber,node6node16,4.0
M_node6node16_timber_t5,1.0,node6exit_node16transit,M,timber,node6node16,5.0
M_node7node105_timber_t4,1.0,node7transit_node105source,M,timber,node7node105,4.0
M_node7node105_timber_t5,1.0,node7transit_node105source,M,timber,node7node105,5.0
M_node8node98_timber_t2,1.0,node8transit_node98source,M,timber,node8node98,2.0
M_node8node98_timber_t3,1.0,node8transit_node98source,M,timber,node8node98,3.0
M_node8node98_timber_t4,1.0,node8transit_node98source,M,timber,node8node98,4.0
M_node8node98_timber_t5,1.0,node8transit_node98source,M,timber,node8node98,5.0
M_node8node99_timber_t2,1.0,node8transit_node99source,M,timber,node8node99,2.0
M_node8node99_timber_t3,1.0,node8transit_node99source,M,timber,node8node99,3.0
M_node8node99_timber_t4,1.0,node8transit_node99source,M,timber,node8node99,4.0
M_node8node100_timber_t2,1.0,node8transit_node100source,M,timber,node8node100,2.0
M_node8node100_timber_t3,1.0,node8transit_node100source,M,timber,node8node100,3.0
M_node8node100_timber_t4,1.0,node8transit_node100source,M,timber,node8node100,4.0
M_node11node44_timber_t2,1.0,node11transit_node44transit,M,timber,node11node44,2.0
M_node11node44_timber_t3,1.0,node11transit_node44transit,M,timber,node11node44,3.0
M_node11node44_timber_t4,1.0,node11transit_node44transit,M,timber,node11node44,4.0
M_node11node44_timber_t5,1.0,node11transit_node44transit,M,timber,node11node44,5.0
M_node11node58_timber_t2,1.0,node11transit_node58transit,M,timber,node11node58,2.0
M_node11node58_timber_t3,1.0,node11transit_node58transit,M,timber,node11node58,3.0
M_node11node58_timber_t4,1.0,node11transit_node58transit,M,timber,node11node58,4.0
M_node11node58_timber_t5,1.0,node11transit_node58transit,M,timber,node11node58,5.0
M_node11node41_timber_t2,1.0,node11transit_node41transit,M,timber,node11node41,2.0
M_node11node41_timber_t3,1.0,node11transit_node41transit,M,timber,node11node41,3.0
M_node11node41_timber_t4,1.0,node11transit_node41transit,M,timber,node11node41,4.0
M_node11node41_timber_t5,1.0,node11transit_node41transit,M,timber,node11node41,5.0
M_node11node93_timber_t4,1.0,node11transit_node93source,M,timber,node11node93,4.0
M_node11node93_timber_t5,1.0,node11transit_node93source,M,timber,node11node93,5.0
M_node11node94_timber_t2,1.0,node11transit_node94source,M,timber,node11node94,2.0
M_node11node94_timber_t3,1.0,node11transit_node94source,M,timber,node11node94,3.0
M_node11node94_timber_t4,1.0,node11transit_node94source,M,timber,node11node94,4.0
M_node11node94_timber_t5,1.0,node11transit_node94source,M,timber,node11node94,5.0
M_node16node41_timber_t2,1.0,node16transit_node41transit,M,timber,node16node41,2.0
