variable,lb,ub,type,edge,period,road_type
flow_timber_node1node3_t1,0.0,9.0,I,node1node3,1,timber
flow_timber_node1node3_t2,0.0,9.0,I,node1node3,2,timber
flow_timber_node1node3_t3,0.0,9.0,I,node1node3,3,timber
flow_timber_node1node3_t4,0.0,9.0,I,node1node3,4,timber
flow_timber_node1node3_t5,0.0,9.0,I,node1node3,5,timber
flow_wide_node1node3_t1,0.0,9.0,I,node1node3,1,wide
flow_wide_node1node3_t2,0.0,9.0,I,node1node3,2,wide
flow_wide_node1node3_t3,0.0,9.0,I,node1node3,3,wide
flow_wide_node1node3_t4,0.0,9.0,I,node1node3,4,wide
flow_wide_node1node3_t5,0.0,9.0,I,node1node3,5,wide
flow_timber_node1node2_t1,0.0,9.0,I,node1node2,1,timber
flow_timber_node1node2_t2,0.0,9.0,I,node1node2,2,timber
flow_timber_node1node2_t3,0.0,9.0,I,node1node2,3,timber
flow_timber_node1node2_t4,0.0,9.0,I,node1node2,4,timber
flow_timber_node1node2_t5,0.0,9.0,I,node1node2,5,timber
flow_wide_node1node2_t1,0.0,9.0,I,node1node2,1,wide
flow_wide_node1node2_t2,0.0,9.0,I,node1node2,2,wide
flow_wide_node1node2_t3,0.0,9.0,I,node1node2,3,wide
flow_wide_node1node2_t4,0.0,9.0,I,node1node2,4,wide
flow_wide_node1node2_t5,0.0,9.0,I,node1node2,5,wide
flow_timber_node1node7_t1,0.0,9.0,I,node1node7,1,timber
flow_timber_node1node7_t2,0.0,9.0,I,node1node7,2,timber
flow_timber_node1node7_t3,0.0,9.0,I,node1node7,3,timber
flow_timber_node1node7_t4,0.0,9.0,I,node1node7,4,timber
flow_timber_node1node7_t5,0.0,9.0,I,node1node7,5,timber
flow_wide_node1node7_t1,0.0,9.0,I,node1node7,1,wide
flow_wide_node1node7_t2,0.0,9.0,I,node1node7,2,wide
flow_wide_node1node7_t3,0.0,9.0,I,node1node7,3,wide
flow_wide_node1node7_t4,0.0,9.0,I,node1node7,4,wide
flow_wide_node1node7_t5,0.0,9.0,I,node1node7,5,wide
flow_timber_node1node12_t1,0.0,9.0,I,node1node12,1,timber
flow_timber_node1node12_t2,0.0,9.0,I,node1node12,2,timber
flow_timber_node1node12_t3,0.0,9.0,I,node1node12,3,timber
flow_timber_node1node12_t4,0.0,9.0,I,node1node12,4,timber
flow_timber_node1node12_t5,0.0,9.0,I,node1node12,5,timber
flow_wide_node1node12_t1,0.0,9.0,I,node1node12,1,wide
flow_wide_node1node12_t2,0.0,9.0,I,node1node12,2,wide
flow_wide_node1node12_t3,0.0,9.0,I,node1node12,3,wide
flow_wide_node1node12_t4,0.0,9.0,I,node1node12,4,wide
flow_wide_node1node12_t5,0.0,9.0,I,node1node12,5,wide
flow_timber_node1node15_t1,0.0,9.0,I,node1node15,1,timber
flow_timber_node1node15_t2,0.0,9.0,I,node1node15,2,timber
flow_timber_node1node15_t3,0.0,9.0,I,node1node15,3,timber
flow_timber_node1node15_t4,0.0,9.0,I,node1node15,4,timber
flow_timber_node1node15_t5,0.0,9.0,I,node1node15,5,timber
flow_wide_node1node15_t1,0.0,9.0,I,node1node15,1,wide
flow_wide_node1node15_t2,0.0,9.0,I,node1node15,2,wide
flow_wide_node1node15_t3,0.0,9.0,I,node1node15,3,wide
flow_wide_node1node15_t4,0.0,9.0,I,node1node15,4,wide
flow_wide_node1node15_t5,0.0,9.0,I,node1node15,5,wide
flow_timber_node3node1_t1,0.0,9.0,I,node3node1,1,timber
flow_timber_node3node1_t2,0.0,9.0,I,node3node1,2,timber
flow_timber_node3node1_t3,0.0,9.0,I,node3node1,3,timber
flow_timber_node3node1_t4,0.0,9.0,I,node3node1,4,timber
