variable,lb,ub,type,var_type_letter,road_type,edge,period,discounted_cost
C_node1node26_timber_t0,0.0,0.0,B,C,timber,node1node26,0,772.0
C_node1node26_timber_t1,0.0,1.0,B,C,timber,node1node26,1,650.0
C_node1node26_timber_t2,0.0,1.0,B,C,timber,node1node26,2,460.8
C_node1node26_timber_t3,0.0,1.0,B,C,timber,node1node26,3,326.67
C_node1node26_timber_t4,0.0,1.0,B,C,timber,node1node26,4,231.58
C_node1node26_timber_t5,0.0,1.0,B,C,timber,node1node26,5,164.17
C_node1node26_wide_t0,0.0,0.0,B,C,wide,node1node26,0,1158.0
C_node1node26_wide_t1,0.0,1.0,B,C,wide,node1node26,1,975.0
C_node1node26_wide_t2,0.0,1.0,B,C,wide,node1node26,2,691.2
C_node1node26_wide_t3,0.0,1.0,B,C,wide,node1node26,3,490.0
C_node1node26_wide_t4,0.0,1.0,B,C,wide,node1node26,4,347.37
C_node1node26_wide_t5,0.0,1.0,B,C,wide,node1node26,5,246.26
C_node1node17_timber_t0,0.0,0.0,B,C,timber,node1node17,0,1358.0
C_node1node17_timber_t1,0.0,1.0,B,C,timber,node1node17,1,1143.4
C_node1node17_timber_t2,0.0,1.0,B,C,timber,node1node17,2,810.58
C_node1node17_timber_t3,0.0,1.0,B,C,timber,node1node17,3,574.63
C_node1node17_timber_t4,0.0,1.0,B,C,timber,node1node17,4,407.37
C_node1node17_timber_t5,0.0,1.0,B,C,timber,node1node17,5,288.79
C_node1node17_wide_t0,0.0,0.0,B,C,wide,node1node17,0,2037.0
C_node1node17_wide_t1,0.0,1.0,B,C,wide,node1node17,1,1715.1
C_node1node17_wide_t2,0.0,1.0,B,C,wide,node1node17,2,1215.87
C_node1node17_wide_t3,0.0,1.0,B,C,wide,node1node17,3,861.95
C_node1node17_wide_t4,0.0,1.0,B,C,wide,node1node17,4,611.05
C_node1node17_wide_t5,0.0,1.0,B,C,wide,node1node17,5,433.19
C_node1node18_timber_t0,0.0,0.0,B,C,timber,node1node18,0,1732.0
C_node1node18_timber_t1,0.0,1.0,B,C,timber,node1node18,1,1458.3
C_node1node18_timber_t2,0.0,1.0,B,C,timber,node1node18,2,1033.81
C_node1node18_timber_t3,0.0,1.0,B,C,timber,node1node18,3,732.89
C_node1node18_timber_t4,0.0,1.0,B,C,timber,node1node18,4,519.56
C_node1node18_timber_t5,0.0,1.0,B,C,timber,node1node18,5,368.33
C_node1node18_wide_t0,0.0,0.0,B,C,wide,node1node18,0,2598.0
C_node1node18_wide_t1,0.0,1.0,B,C,wide,node1node18,1,2187.45
C_node1node18_wide_t2,0.0,1.0,B,C,wide,node1node18,2,1550.72
C_node1node18_wide_t3,0.0,1.0,B,C,wide,node1node18,3,1099.34
C_node1node18_wide_t4,0.0,1.0,B,C,wide,node1node18,4,779.34
C_node1node18_wide_t5,0.0,1.0,B,C,wide,node1node18,5,552.49
C_node1node31_timber_t0,0.0,0.0,B,C,timber,node1node31,0,0.0
C_node1node31_timber_t1,0.0,1.0,B,C,timber,node1node31,1,0.0
C_node1node31_timber_t2,0.0,1.0,B,C,timber,node1node31,2,0.0
C_node1node31_timber_t3,0.0,1.0,B,C,timber,node1node31,3,0.0
C_node1node31_timber_t4,0.0,1.0,B,C,timber,node1node31,4,0.0
C_node1node31_timber_t5,0.0,1.0,B,C,timber,node1node31,5,0.0
C_node1node31_wide_t0,0.0,0.0,B,C,wide,node1node31,0,0.0
C_node1node31_wide_t1,0.0,1.0,B,C,wide,node1node31,1,0.0
C_node1node31_wide_t2,0.0,1.0,B,C,wide,node1node31,2,0.0
C_node1node31_wide_t3,0.0,1.0,B,C,wide,node1node31,3,0.0
C_node1node31_wide_t4,0.0,1.0,B,C,wide,node1node31,4,0.0
C_node1node31_wide_t5,0.0,1.0,B,C,wide,node1node31,5,0.0
C_node1node38_timber_t0,0.0,0.0,B,C,timber,node1node38,0,0.0
C_node1node38_timber_t1,0.0,1.0,B,C,timber,node1node38,1,0.0
C_node1node38_timber_t2,0.0,1.0,B,C,timber,node1node38,2,0.0
