flow_timber_node1node26_t1: lb=0.0, ub=9.0, type=I, edge=node1node26, period=1, road_type=timber
flow_timber_node1node26_t2: lb=0.0, ub=9.0, type=I, edge=node1node26, period=2, road_type=timber
flow_timber_node1node26_t3: lb=0.0, ub=9.0, type=I, edge=node1node26, period=3, road_type=timber
flow_timber_node1node26_t4: lb=0.0, ub=9.0, type=I, edge=node1node26, period=4, road_type=timber
flow_timber_node1node26_t5: lb=0.0, ub=9.0, type=I, edge=node1node26, period=5, road_type=timber
flow_wide_node1node26_t1: lb=0.0, ub=9.0, type=I, edge=node1node26, period=1, road_type=wide
flow_wide_node1node26_t2: lb=0.0, ub=9.0, type=I, edge=node1node26, period=2, road_type=wide
flow_wide_node1node26_t3: lb=0.0, ub=9.0, type=I, edge=node1node26, period=3, road_type=wide
flow_wide_node1node26_t4: lb=0.0, ub=9.0, type=I, edge=node1node26, period=4, road_type=wide
flow_wide_node1node26_t5: lb=0.0, ub=9.0, type=I, edge=node1node26, period=5, road_type=wide
flow_timber_node1node17_t1: lb=0.0, ub=9.0, type=I, edge=node1node17, period=1, road_type=timber
flow_timber_node1node17_t2: lb=0.0, ub=9.0, type=I, edge=node1node17, period=2, road_type=timber
flow_timber_node1node17_t3: lb=0.0, ub=9.0, type=I, edge=node1node17, period=3, road_type=timber
flow_timber_node1node17_t4: lb=0.0, ub=9.0, type=I, edge=node1node17, period=4, road_type=timber
flow_timber_node1node17_t5: lb=0.0, ub=9.0, type=I, edge=node1node17, period=5, road_type=timber
flow_wide_node1node17_t1: lb=0.0, ub=9.0, type=I, edge=node1node17, period=1, road_type=wide
flow_wide_node1node17_t2: lb=0.0, ub=9.0, type=I, edge=node1node17, period=2, road_type=wide
flow_wide_node1node17_t3: lb=0.0, ub=9.0, type=I, edge=node1node17, period=3, road_type=wide
flow_wide_node1node17_t4: lb=0.0, ub=9.0, type=I, edge=node1node17, period=4, road_type=wide
flow_wide_node1node17_t5: lb=0.0, ub=9.0, type=I, edge=node1node17, period=5, road_type=wide
flow_timber_node1node18_t1: lb=0.0, ub=9.0, type=I, edge=node1node18, period=1, road_type=timber
flow_timber_node1node18_t2: lb=0.0, ub=9.0, type=I, edge=node1node18, period=2, road_type=timber
flow_timber_node1node18_t3: lb=0.0, ub=9.0, type=I, edge=node1node18, period=3, road_type=timber
flow_timber_node1node18_t4: lb=0.0, ub=9.0, type=I, edge=node1node18, period=4, road_type=timber
flow_timber_node1node18_t5: lb=0.0, ub=9.0, type=I, edge=node1node18, period=5, road_type=timber
flow_wide_node1node18_t1: lb=0.0, ub=9.0, type=I, edge=node1node18, period=1, road_type=wide
flow_wide_node1node18_t2: lb=0.0, ub=9.0, type=I, edge=node1node18, period=2, road_type=wide
flow_wide_node1node18_t3: lb=0.0, ub=9.0, type=I, edge=node1node18, period=3, road_type=wide
flow_wide_node1node18_t4: lb=0.0, ub=9.0, type=I, edge=node1node18, period=4, road_type=wide
flow_wide_node1node18_t5: lb=0.0, ub=9.0, type=I, edge=node1node18, period=5, road_type=wide
flow_timber_node1node31_t1: lb=0.0, ub=9.0, type=I, edge=node1node31, period=1, road_type=timber
flow_timber_node1node31_t2: lb=0.0, ub=9.0, type=I, edge=node1node31, period=2, road_type=timber
flow_timber_node1node31_t3: lb=0.0, ub=9.0, type=I, edge=node1node31, period=3, road_type=timber
flow_timber_node1node31_t4: lb=0.0, ub=9.0, type=I, edge=node1node31, period=4, road_type=timber
flow_timber_node1node31_t5: lb=0.0, ub=9.0, type=I, edge=node1node31, period=5, road_type=timber
flow_wide_node1node31_t1: lb=0.0, ub=9.0, type=I, edge=node1node31, period=1, road_type=wide
flow_wide_node1node31_t2: lb=0.0, ub=9.0, type=I, edge=node1node31, period=2, road_type=wide
flow_wide_node1node31_t3: lb=0.0, ub=9.0, type=I, edge=node1node31, period=3, road_type=wide
flow_wide_node1node31_t4: lb=0.0, ub=9.0, type=I, edge=node1node31, period=4, road_type=wide
flow_wide_node1node31_t5: lb=0.0, ub=9.0, type=I, edge=node1node31, period=5, road_type=wide
flow_timber_node1node38_t1: lb=0.0, ub=9.0, type=I, edge=node1node38, period=1, road_type=timber
flow_timber_node1node38_t2: lb=0.0, ub=9.0, type=I, edge=node1node38, period=2, road_type=timber
flow_timber_node1node38_t3: lb=0.0, ub=9.0, type=I, edge=node1node38, period=3, road_type=timber
flow_timber_node1node38_t4: lb=0.0, ub=9.0, type=I, edge=node1node38, period=4, road_type=timber
flow_timber_node1node38_t5: lb=0.0, ub=9.0, type=I, edge=node1node38, period=5, road_type=timber
