variable,value,node_type_info,action,road_type,edge,period
C_node1node26_timber_t0,0.0,node1transit_node26exit,C,timber,node1node26,0.0
C_node1node26_timber_t1,0.0,node1transit_node26exit,C,timber,node1node26,1.0
C_node1node26_timber_t2,0.0,node1transit_node26exit,C,timber,node1node26,2.0
C_node1node26_timber_t3,0.0,node1transit_node26exit,C,timber,node1node26,3.0
C_node1node26_timber_t4,0.0,node1transit_node26exit,C,timber,node1node26,4.0
C_node1node26_timber_t5,0.0,node1transit_node26exit,C,timber,node1node26,5.0
C_node1node26_wide_t0,0.0,node1transit_node26exit,C,wide,node1node26,0.0
C_node1node26_wide_t1,0.0,node1transit_node26exit,C,wide,node1node26,1.0
C_node1node26_wide_t2,0.0,node1transit_node26exit,C,wide,node1node26,2.0
C_node1node26_wide_t3,0.0,node1transit_node26exit,C,wide,node1node26,3.0
C_node1node26_wide_t4,0.0,node1transit_node26exit,C,wide,node1node26,4.0
C_node1node26_wide_t5,0.0,node1transit_node26exit,C,wide,node1node26,5.0
C_node1node17_timber_t0,0.0,node1transit_node17exit,C,timber,node1node17,0.0
C_node1node17_timber_t1,0.0,node1transit_node17exit,C,timber,node1node17,1.0
C_node1node17_timber_t2,0.0,node1transit_node17exit,C,timber,node1node17,2.0
C_node1node17_timber_t3,0.0,node1transit_node17exit,C,timber,node1node17,3.0
C_node1node17_timber_t4,0.0,node1transit_node17exit,C,timber,node1node17,4.0
C_node1node17_timber_t5,0.0,node1transit_node17exit,C,timber,node1node17,5.0
C_node1node17_wide_t0,0.0,node1transit_node17exit,C,wide,node1node17,0.0
C_node1node17_wide_t1,0.0,node1transit_node17exit,C,wide,node1node17,1.0
C_node1node17_wide_t2,0.0,node1transit_node17exit,C,wide,node1node17,2.0
C_node1node17_wide_t3,0.0,node1transit_node17exit,C,wide,node1node17,3.0
C_node1node17_wide_t4,0.0,node1transit_node17exit,C,wide,node1node17,4.0
C_node1node17_wide_t5,0.0,node1transit_node17exit,C,wide,node1node17,5.0
C_node1node18_timber_t0,0.0,node1transit_node18exit,C,timber,node1node18,0.0
C_node1node18_timber_t1,0.0,node1transit_node18exit,C,timber,node1node18,1.0
C_node1node18_timber_t2,0.0,node1transit_node18exit,C,timber,node1node18,2.0
C_node1node18_timber_t3,0.0,node1transit_node18exit,C,timber,node1node18,3.0
C_node1node18_timber_t4,0.0,node1transit_node18exit,C,timber,node1node18,4.0
C_node1node18_timber_t5,0.0,node1transit_node18exit,C,timber,node1node18,5.0
C_node1node18_wide_t0,0.0,node1transit_node18exit,C,wide,node1node18,0.0
C_node1node18_wide_t1,0.0,node1transit_node18exit,C,wide,node1node18,1.0
C_node1node18_wide_t2,0.0,node1transit_node18exit,C,wide,node1node18,2.0
C_node1node18_wide_t3,0.0,node1transit_node18exit,C,wide,node1node18,3.0
C_node1node18_wide_t4,0.0,node1transit_node18exit,C,wide,node1node18,4.0
C_node1node18_wide_t5,0.0,node1transit_node18exit,C,wide,node1node18,5.0
C_node1node31_timber_t0,0.0,node1transit_node31source,C,timber,node1node31,0.0
C_node1node31_timber_t1,0.0,node1transit_node31source,C,timber,node1node31,1.0
C_node1node31_timber_t2,0.0,node1transit_node31source,C,timber,node1node31,2.0
C_node1node31_timber_t3,0.0,node1transit_node31source,C,timber,node1node31,3.0
C_node1node31_timber_t4,0.0,node1transit_node31source,C,timber,node1node31,4.0
C_node1node31_timber_t5,0.0,node1transit_node31source,C,timber,node1node31,5.0
C_node1node31_wide_t0,0.0,node1transit_node31source,C,wide,node1node31,0.0
C_node1node31_wide_t1,0.0,node1transit_node31source,C,wide,node1node31,1.0
C_node1node31_wide_t2,0.0,node1transit_node31source,C,wide,node1node31,2.0
C_node1node31_wide_t3,0.0,node1transit_node31source,C,wide,node1node31,3.0
C_node1node31_wide_t4,0.0,node1transit_node31source,C,wide,node1node31,4.0
C_node1node31_wide_t5,0.0,node1transit_node31source,C,wide,node1node31,5.0
C_node1node38_timber_t0,0.0,node1transit_node38source,C,timber,node1node38,0.0
C_node1node38_timber_t1,0.0,node1transit_node38source,C,timber,node1node38,1.0
C_node1node38_timber_t2,0.0,node1transit_node38source,C,timber,node1node38,2.0
C_node1node38_timber_t3,0.0,node1transit_node38source,C,timber,node1node38,3.0
C_node1node38_timber_t4,0.0,node1transit_node38source,C,timber,node1node38,4.0
C_node1node38_timber_t5,0.0,node1transit_node38source,C,timber,node1node38,5.0
C_node1node38_wide_t0,0.0,node1transit_node38source,C,wide,node1node38,0.0
C_node1node38_wide_t1,0.0,node1transit_node38source,C,wide,node1node38,1.0
C_node1node38_wide_t2,0.0,node1transit_node38source,C,wide,node1node38,2.0
C_node1node38_wide_t3,0.0,node1transit_node38source,C,wide,node1node38,3.0
C_node1node38_wide_t4,0.0,node1transit_node38source,C,wide,node1node38,4.0
C_node1node38_wide_t5,0.0,node1transit_node38source,C,wide,node1node38,5.0
C_node2node3_timber_t0,0.0,node2exit_node3exit,C,timber,node2node3,0.0
C_node2node3_timber_t1,0.0,node2exit_node3exit,C,timber,node2node3,1.0
C_node2node3_timber_t2,0.0,node2exit_node3exit,C,timber,node2node3,2.0
C_node2node3_timber_t3,0.0,node2exit_node3exit,C,timber,node2node3,3.0
C_node2node3_timber_t4,0.0,node2exit_node3exit,C,timber,node2node3,4.0
C_node2node3_timber_t5,0.0,node2exit_node3exit,C,timber,node2node3,5.0
C_node2node3_wide_t0,0.0,node2exit_node3exit,C,wide,node2node3,0.0
C_node2node3_wide_t1,0.0,node2exit_node3exit,C,wide,node2node3,1.0
C_node2node3_wide_t2,0.0,node2exit_node3exit,C,wide,node2node3,2.0
