variable,lb,ub,type,edge,period,road_type
flow_timber_node1node14_t1,0.0,9.0,I,node1node14,1,timber
flow_timber_node1node14_t2,0.0,9.0,I,node1node14,2,timber
flow_timber_node1node14_t3,0.0,9.0,I,node1node14,3,timber
flow_timber_node1node14_t4,0.0,9.0,I,node1node14,4,timber
flow_timber_node1node14_t5,0.0,9.0,I,node1node14,5,timber
flow_wide_node1node14_t1,0.0,9.0,I,node1node14,1,wide
flow_wide_node1node14_t2,0.0,9.0,I,node1node14,2,wide
flow_wide_node1node14_t3,0.0,9.0,I,node1node14,3,wide
flow_wide_node1node14_t4,0.0,9.0,I,node1node14,4,wide
flow_wide_node1node14_t5,0.0,9.0,I,node1node14,5,wide
flow_timber_node1node64_t1,0.0,9.0,I,node1node64,1,timber
flow_timber_node1node64_t2,0.0,9.0,I,node1node64,2,timber
flow_timber_node1node64_t3,0.0,9.0,I,node1node64,3,timber
flow_timber_node1node64_t4,0.0,9.0,I,node1node64,4,timber
flow_timber_node1node64_t5,0.0,9.0,I,node1node64,5,timber
flow_wide_node1node64_t1,0.0,9.0,I,node1node64,1,wide
flow_wide_node1node64_t2,0.0,9.0,I,node1node64,2,wide
flow_wide_node1node64_t3,0.0,9.0,I,node1node64,3,wide
flow_wide_node1node64_t4,0.0,9.0,I,node1node64,4,wide
flow_wide_node1node64_t5,0.0,9.0,I,node1node64,5,wide
flow_timber_node1node121_t1,0.0,9.0,I,node1node121,1,timber
flow_timber_node1node121_t2,0.0,9.0,I,node1node121,2,timber
flow_timber_node1node121_t3,0.0,9.0,I,node1node121,3,timber
flow_timber_node1node121_t4,0.0,9.0,I,node1node121,4,timber
flow_timber_node1node121_t5,0.0,9.0,I,node1node121,5,timber
flow_wide_node1node121_t1,0.0,9.0,I,node1node121,1,wide
flow_wide_node1node121_t2,0.0,9.0,I,node1node121,2,wide
flow_wide_node1node121_t3,0.0,9.0,I,node1node121,3,wide
flow_wide_node1node121_t4,0.0,9.0,I,node1node121,4,wide
flow_wide_node1node121_t5,0.0,9.0,I,node1node121,5,wide
flow_timber_node1node170_t1,0.0,9.0,I,node1node170,1,timber
flow_timber_node1node170_t2,0.0,9.0,I,node1node170,2,timber
flow_timber_node1node170_t3,0.0,9.0,I,node1node170,3,timber
flow_timber_node1node170_t4,0.0,9.0,I,node1node170,4,timber
flow_timber_node1node170_t5,0.0,9.0,I,node1node170,5,timber
flow_wide_node1node170_t1,0.0,9.0,I,node1node170,1,wide
flow_wide_node1node170_t2,0.0,9.0,I,node1node170,2,wide
flow_wide_node1node170_t3,0.0,9.0,I,node1node170,3,wide
flow_wide_node1node170_t4,0.0,9.0,I,node1node170,4,wide
flow_wide_node1node170_t5,0.0,9.0,I,node1node170,5,wide
flow_timber_node1node184_t1,0.0,9.0,I,node1node184,1,timber
flow_timber_node1node184_t2,0.0,9.0,I,node1node184,2,timber
