variable,value
C_timber_node1node30_t0,0.0
C_timber_node1node30_t1,1.0
C_timber_node1node30_t2,1.0
C_timber_node1node30_t3,1.0
C_timber_node1node30_t4,1.0
C_timber_node1node30_t5,1.0
C_wide_node1node30_t0,0.0
C_wide_node1node30_t1,1.0
C_wide_node1node30_t2,1.0
C_wide_node1node30_t3,1.0
C_wide_node1node30_t4,1.0
C_wide_node1node30_t5,1.0
C_timber_node1node109_t0,0.0
C_timber_node1node109_t1,1.0
C_timber_node1node109_t2,1.0
C_timber_node1node109_t3,1.0
C_timber_node1node109_t4,1.0
C_timber_node1node109_t5,1.0
C_wide_node1node109_t0,0.0
C_wide_node1node109_t1,1.0
C_wide_node1node109_t2,1.0
C_wide_node1node109_t3,1.0
C_wide_node1node109_t4,1.0
C_wide_node1node109_t5,1.0
C_timber_node1node223_t0,0.0
C_timber_node1node223_t1,1.0
C_timber_node1node223_t2,1.0
C_timber_node1node223_t3,1.0
C_timber_node1node223_t4,1.0
C_timber_node1node223_t5,1.0
C_wide_node1node223_t0,0.0
C_wide_node1node223_t1,1.0
C_wide_node1node223_t2,1.0
C_wide_node1node223_t3,1.0
C_wide_node1node223_t4,1.0
C_wide_node1node223_t5,1.0
C_timber_node1node404_t0,0.0
C_timber_node1node404_t1,1.0
C_timber_node1node404_t2,1.0
C_timber_node1node404_t3,1.0
C_timber_node1node404_t4,1.0
C_timber_node1node404_t5,1.0
C_wide_node1node404_t0,0.0
C_wide_node1node404_t1,1.0
C_wide_node1node404_t2,1.0
C_wide_node1node404_t3,1.0
C_wide_node1node404_t4,1.0
C_wide_node1node404_t5,1.0
C_timber_node1node420_t0,0.0
C_timber_node1node420_t1,1.0
C_timber_node1node420_t2,1.0
C_timber_node1node420_t3,1.0
C_timber_node1node420_t4,1.0
C_timber_node1node420_t5,1.0
C_wide_node1node420_t0,0.0
C_wide_node1node420_t1,1.0
C_wide_node1node420_t2,1.0
C_wide_node1node420_t3,1.0
C_wide_node1node420_t4,1.0
C_wide_node1node420_t5,1.0
C_timber_node1node434_t0,0.0
C_timber_node1node434_t1,1.0
C_timber_node1node434_t2,1.0
C_timber_node1node434_t3,1.0
C_timber_node1node434_t4,1.0
C_timber_node1node434_t5,1.0
C_wide_node1node434_t0,0.0
C_wide_node1node434_t1,1.0
C_wide_node1node434_t2,1.0
C_wide_node1node434_t3,1.0
C_wide_node1node434_t4,1.0
C_wide_node1node434_t5,1.0
C_timber_node2node288_t0,0.0
C_timber_node2node288_t1,1.0
C_timber_node2node288_t2,1.0
C_timber_node2node288_t3,1.0
C_timber_node2node288_t4,1.0
C_timber_node2node288_t5,1.0
C_wide_node2node288_t0,0.0
C_wide_node2node288_t1,1.0
C_wide_node2node288_t2,1.0
C_wide_node2node288_t3,1.0
C_wide_node2node288_t4,1.0
C_wide_node2node288_t5,1.0
