135.0 * C_node1node74_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
113.67 * C_node1node74_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
80.58 * C_node1node74_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
57.12 * C_node1node74_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
40.5 * C_node1node74_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
28.71 * C_node1node74_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
203.0 * C_node1node74_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
170.92 * C_node1node74_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
121.17 * C_node1node74_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
85.9 * C_node1node74_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
60.9 * C_node1node74_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
43.17 * C_node1node74_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
775.0 * C_node1node15_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
652.53 * C_node1node15_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
462.59 * C_node1node15_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
327.94 * C_node1node15_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
232.48 * C_node1node15_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
164.81 * C_node1node15_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
1164.0 * C_node1node15_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
980.06 * C_node1node15_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
694.78 * C_node1node15_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
492.54 * C_node1node15_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
349.17 * C_node1node15_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
247.54 * C_node1node15_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node1node87_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node1node87_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node1node87_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node1node87_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node1node87_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node1node87_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node1node87_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node1node87_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node1node87_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node1node87_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node1node87_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node1node87_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node1node89_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node1node89_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node1node89_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node1node89_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node1node89_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node1node89_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node1node89_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node1node89_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node1node89_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node1node89_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node1node89_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node1node89_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
612.0 * C_node2node63_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
515.29 * C_node2node63_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
365.3 * C_node2node63_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
258.97 * C_node2node63_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
183.59 * C_node2node63_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
130.15 * C_node2node63_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
917.0 * C_node2node63_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
772.09 * C_node2node63_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
547.35 * C_node2node63_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
