C_timber_node1node24_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node1node24_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node1node24_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node1node24_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node1node24_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node1node24_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node1node24_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node1node24_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node1node24_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node1node24_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node1node24_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node1node24_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node1node15_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node1node15_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node1node15_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node1node15_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node1node15_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node1node15_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node1node15_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node1node15_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node1node15_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node1node15_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node1node15_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node1node15_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node1node93_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node1node93_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node1node93_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node1node93_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node1node93_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node1node93_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node1node93_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node1node93_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node1node93_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node1node93_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node1node93_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node1node93_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node1node98_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node1node98_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node1node98_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node1node98_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node1node98_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node1node98_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node1node98_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node1node98_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node1node98_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node1node98_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node1node98_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node1node98_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node1node112_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node1node112_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node1node112_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node1node112_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node1node112_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node1node112_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node1node112_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node1node112_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node1node112_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node1node112_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node1node112_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node1node112_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node14_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node2node14_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node14_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node14_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node14_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node14_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node14_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node2node14_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node14_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node14_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node14_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node14_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node22_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node2node22_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node22_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node22_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node22_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node22_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node22_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node2node22_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node22_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node22_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node22_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node22_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node65_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node2node65_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node65_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node65_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node65_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node65_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node65_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node2node65_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node65_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node65_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node65_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node65_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node94_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node2node94_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node94_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node94_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node94_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node94_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node94_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node2node94_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node94_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node94_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node94_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node94_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node101_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node2node101_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node101_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node101_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node101_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node101_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node101_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node2node101_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node101_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node101_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node101_t4: lb=0.0, ub=1.0, type=B, cost=N/A
