variable,value
C_timber_node1node24_t1,1.0
C_timber_node1node24_t2,1.0
C_timber_node1node24_t3,1.0
C_timber_node1node24_t4,1.0
C_timber_node1node24_t5,1.0
C_wide_node1node24_t1,1.0
C_wide_node1node24_t2,1.0
C_wide_node1node24_t3,1.0
C_wide_node1node24_t4,1.0
C_wide_node1node24_t5,1.0
C_timber_node1node15_t1,1.0
C_timber_node1node15_t2,1.0
C_timber_node1node15_t3,1.0
C_timber_node1node15_t4,1.0
C_timber_node1node15_t5,1.0
C_wide_node1node15_t1,1.0
C_wide_node1node15_t2,1.0
C_wide_node1node15_t3,1.0
C_wide_node1node15_t4,1.0
C_wide_node1node15_t5,1.0
C_timber_node1node93_t1,1.0
C_timber_node1node93_t2,1.0
C_timber_node1node93_t3,1.0
C_timber_node1node93_t4,1.0
C_timber_node1node93_t5,1.0
C_wide_node1node93_t1,1.0
C_wide_node1node93_t2,1.0
C_wide_node1node93_t3,1.0
C_wide_node1node93_t4,1.0
C_wide_node1node93_t5,1.0
C_timber_node1node98_t1,1.0
C_timber_node1node98_t2,1.0
C_timber_node1node98_t3,1.0
C_timber_node1node98_t4,1.0
C_timber_node1node98_t5,1.0
C_wide_node1node98_t1,1.0
C_wide_node1node98_t2,1.0
C_wide_node1node98_t3,1.0
C_wide_node1node98_t4,1.0
C_wide_node1node98_t5,1.0
C_timber_node1node112_t1,1.0
C_timber_node1node112_t2,1.0
C_timber_node1node112_t3,1.0
C_timber_node1node112_t4,1.0
C_timber_node1node112_t5,1.0
C_wide_node1node112_t1,1.0
C_wide_node1node112_t2,1.0
C_wide_node1node112_t3,1.0
C_wide_node1node112_t4,1.0
C_wide_node1node112_t5,1.0
C_timber_node2node14_t1,1.0
C_timber_node2node14_t2,1.0
C_timber_node2node14_t3,1.0
C_timber_node2node14_t4,1.0
C_timber_node2node14_t5,1.0
C_wide_node2node14_t1,1.0
C_wide_node2node14_t2,1.0
C_wide_node2node14_t3,1.0
C_wide_node2node14_t4,1.0
C_wide_node2node14_t5,1.0
C_timber_node2node22_t1,1.0
C_timber_node2node22_t2,1.0
C_timber_node2node22_t3,1.0
C_timber_node2node22_t4,1.0
C_timber_node2node22_t5,1.0
C_wide_node2node22_t1,1.0
C_wide_node2node22_t2,1.0
C_wide_node2node22_t3,1.0
C_wide_node2node22_t4,1.0
C_wide_node2node22_t5,1.0
C_timber_node2node65_t1,1.0
C_timber_node2node65_t2,1.0
C_timber_node2node65_t3,1.0
C_timber_node2node65_t4,1.0
C_timber_node2node65_t5,1.0
C_wide_node2node65_t1,1.0
C_wide_node2node65_t2,1.0
C_wide_node2node65_t3,1.0
C_wide_node2node65_t4,1.0
C_wide_node2node65_t5,1.0
C_timber_node2node94_t1,1.0
C_timber_node2node94_t2,1.0
C_timber_node2node94_t3,1.0
C_timber_node2node94_t4,1.0
C_timber_node2node94_t5,1.0
C_wide_node2node94_t1,1.0
C_wide_node2node94_t2,1.0
C_wide_node2node94_t3,1.0
C_wide_node2node94_t4,1.0
C_wide_node2node94_t5,1.0
C_timber_node2node101_t1,1.0
C_timber_node2node101_t2,1.0
C_timber_node2node101_t3,1.0
C_timber_node2node101_t4,1.0
C_timber_node2node101_t5,1.0
C_wide_node2node101_t1,1.0
C_wide_node2node101_t2,1.0
C_wide_node2node101_t3,1.0
C_wide_node2node101_t4,1.0
C_wide_node2node101_t5,1.0
C_timber_node3node28_t1,1.0
C_timber_node3node28_t2,1.0
C_timber_node3node28_t3,1.0
C_timber_node3node28_t4,1.0
C_timber_node3node28_t5,1.0
C_wide_node3node28_t1,1.0
C_wide_node3node28_t2,1.0
C_wide_node3node28_t3,1.0
C_wide_node3node28_t4,1.0
C_wide_node3node28_t5,1.0
C_timber_node3node24_t1,1.0
C_timber_node3node24_t2,1.0
C_timber_node3node24_t3,1.0
C_timber_node3node24_t4,1.0
C_timber_node3node24_t5,1.0
C_wide_node3node24_t1,1.0
C_wide_node3node24_t2,1.0
C_wide_node3node24_t3,1.0
C_wide_node3node24_t4,1.0
C_wide_node3node24_t5,1.0
C_timber_node3node98_t1,1.0
C_timber_node3node98_t2,1.0
C_timber_node3node98_t3,1.0
C_timber_node3node98_t4,1.0
C_timber_node3node98_t5,1.0
C_wide_node3node98_t1,1.0
C_wide_node3node98_t2,1.0
C_wide_node3node98_t3,1.0
C_wide_node3node98_t4,1.0
C_wide_node3node98_t5,1.0
C_timber_node3node112_t1,1.0
C_timber_node3node112_t2,1.0
C_timber_node3node112_t3,1.0
C_timber_node3node112_t4,1.0
C_timber_node3node112_t5,1.0
C_wide_node3node112_t1,1.0
C_wide_node3node112_t2,1.0
C_wide_node3node112_t3,1.0
C_wide_node3node112_t4,1.0
C_wide_node3node112_t5,1.0
C_timber_node4node78_t1,1.0
C_timber_node4node78_t2,1.0
C_timber_node4node78_t3,1.0
C_timber_node4node78_t4,1.0
C_timber_node4node78_t5,1.0
C_wide_node4node78_t1,1.0
C_wide_node4node78_t2,1.0
C_wide_node4node78_t3,1.0
C_wide_node4node78_t4,1.0
C_wide_node4node78_t5,1.0
C_timber_node4node19_t1,1.0
C_timber_node4node19_t2,1.0
C_timber_node4node19_t3,1.0
C_timber_node4node19_t4,1.0
C_timber_node4node19_t5,1.0
C_wide_node4node19_t1,1.0
C_wide_node4node19_t2,1.0
C_wide_node4node19_t3,1.0
C_wide_node4node19_t4,1.0
C_wide_node4node19_t5,1.0
C_timber_node4node20_t1,1.0
C_timber_node4node20_t2,1.0
C_timber_node4node20_t3,1.0
C_timber_node4node20_t4,1.0
C_timber_node4node20_t5,1.0
C_wide_node4node20_t1,1.0
C_wide_node4node20_t2,1.0
C_wide_node4node20_t3,1.0
C_wide_node4node20_t4,1.0
C_wide_node4node20_t5,1.0
C_timber_node4node101_t1,1.0
C_timber_node4node101_t2,1.0
C_timber_node4node101_t3,1.0
C_timber_node4node101_t4,1.0
C_timber_node4node101_t5,1.0
C_wide_node4node101_t1,1.0
C_wide_node4node101_t2,1.0
C_wide_node4node101_t3,1.0
C_wide_node4node101_t4,1.0
C_wide_node4node101_t5,1.0
C_timber_node4node104_t1,1.0
C_timber_node4node104_t2,1.0
C_timber_node4node104_t3,1.0
C_timber_node4node104_t4,1.0
C_timber_node4node104_t5,1.0
C_wide_node4node104_t1,1.0
C_wide_node4node104_t2,1.0
C_wide_node4node104_t3,1.0
C_wide_node4node104_t4,1.0
C_wide_node4node104_t5,1.0
C_timber_node5node17_t1,1.0
C_timber_node5node17_t2,1.0
C_timber_node5node17_t3,1.0
C_timber_node5node17_t4,1.0
C_timber_node5node17_t5,1.0
C_wide_node5node17_t1,1.0
C_wide_node5node17_t2,1.0
C_wide_node5node17_t3,1.0
C_wide_node5node17_t4,1.0
C_wide_node5node17_t5,1.0
C_timber_node5node92_t1,1.0
C_timber_node5node92_t2,1.0
C_timber_node5node92_t3,1.0
C_timber_node5node92_t4,1.0
C_timber_node5node92_t5,1.0
C_wide_node5node92_t1,1.0
C_wide_node5node92_t2,1.0
C_wide_node5node92_t3,1.0
C_wide_node5node92_t4,1.0
C_wide_node5node92_t5,1.0
C_timber_node5node52_t1,1.0
C_timber_node5node52_t2,1.0
C_timber_node5node52_t3,1.0
C_timber_node5node52_t4,1.0
C_timber_node5node52_t5,1.0
C_wide_node5node52_t1,1.0
C_wide_node5node52_t2,1.0
C_wide_node5node52_t3,1.0
C_wide_node5node52_t4,1.0
C_wide_node5node52_t5,1.0
C_timber_node5node111_t1,1.0
C_timber_node5node111_t2,1.0
C_timber_node5node111_t3,1.0
C_timber_node5node111_t4,1.0
C_timber_node5node111_t5,1.0
C_wide_node5node111_t1,1.0
C_wide_node5node111_t2,1.0
C_wide_node5node111_t3,1.0
C_wide_node5node111_t4,1.0
C_wide_node5node111_t5,1.0
C_timber_node5node112_t1,1.0
C_timber_node5node112_t2,1.0
C_timber_node5node112_t3,1.0
C_timber_node5node112_t4,1.0
C_timber_node5node112_t5,1.0
C_wide_node5node112_t1,1.0
C_wide_node5node112_t2,1.0
C_wide_node5node112_t3,1.0
C_wide_node5node112_t4,1.0
C_wide_node5node112_t5,1.0
C_timber_node6node55_t1,1.0
C_timber_node6node55_t2,1.0
C_timber_node6node55_t3,1.0
C_timber_node6node55_t4,1.0
C_timber_node6node55_t5,1.0
C_wide_node6node55_t1,1.0
C_wide_node6node55_t2,1.0
C_wide_node6node55_t3,1.0
C_wide_node6node55_t4,1.0
C_wide_node6node55_t5,1.0
C_timber_node6node19_t1,1.0
C_timber_node6node19_t2,1.0
C_timber_node6node19_t3,1.0
C_timber_node6node19_t4,1.0
C_timber_node6node19_t5,1.0
C_wide_node6node19_t1,1.0
C_wide_node6node19_t2,1.0
C_wide_node6node19_t3,1.0
C_wide_node6node19_t4,1.0
C_wide_node6node19_t5,1.0
C_timber_node6node57_t1,1.0
C_timber_node6node57_t2,1.0
C_timber_node6node57_t3,1.0
C_timber_node6node57_t4,1.0
C_timber_node6node57_t5,1.0
C_wide_node6node57_t1,1.0
C_wide_node6node57_t2,1.0
C_wide_node6node57_t3,1.0
C_wide_node6node57_t4,1.0
C_wide_node6node57_t5,1.0
C_timber_node6node105_t1,1.0
C_timber_node6node105_t2,1.0
C_timber_node6node105_t3,1.0
C_timber_node6node105_t4,1.0
C_timber_node6node105_t5,1.0
C_wide_node6node105_t1,1.0
C_wide_node6node105_t2,1.0
C_wide_node6node105_t3,1.0
C_wide_node6node105_t4,1.0
C_wide_node6node105_t5,1.0
C_timber_node6node106_t1,1.0
C_timber_node6node106_t2,1.0
C_timber_node6node106_t3,1.0
C_timber_node6node106_t4,1.0
C_timber_node6node106_t5,1.0
C_wide_node6node106_t1,1.0
C_wide_node6node106_t2,1.0
C_wide_node6node106_t3,1.0
C_wide_node6node106_t4,1.0
C_wide_node6node106_t5,1.0
C_timber_node7node51_t1,1.0
C_timber_node7node51_t2,1.0
C_timber_node7node51_t3,1.0
C_timber_node7node51_t4,1.0
C_timber_node7node51_t5,1.0
C_wide_node7node51_t1,1.0
C_wide_node7node51_t2,1.0
C_wide_node7node51_t3,1.0
C_wide_node7node51_t4,1.0
C_wide_node7node51_t5,1.0
C_timber_node7node78_t1,1.0
C_timber_node7node78_t2,1.0
C_timber_node7node78_t3,1.0
C_timber_node7node78_t4,1.0
C_timber_node7node78_t5,1.0
C_wide_node7node78_t1,1.0
C_wide_node7node78_t2,1.0
C_wide_node7node78_t3,1.0
C_wide_node7node78_t4,1.0
C_wide_node7node78_t5,1.0
C_timber_node7node79_t1,1.0
C_timber_node7node79_t2,1.0
C_timber_node7node79_t3,1.0
C_timber_node7node79_t4,1.0
C_timber_node7node79_t5,1.0
C_wide_node7node79_t1,1.0
C_wide_node7node79_t2,1.0
C_wide_node7node79_t3,1.0
C_wide_node7node79_t4,1.0
C_wide_node7node79_t5,1.0
C_timber_node7node101_t1,1.0
C_timber_node7node101_t2,1.0
C_timber_node7node101_t3,1.0
C_timber_node7node101_t4,1.0
C_timber_node7node101_t5,1.0
C_wide_node7node101_t1,1.0
C_wide_node7node101_t2,1.0
C_wide_node7node101_t3,1.0
C_wide_node7node101_t4,1.0
C_wide_node7node101_t5,1.0
C_timber_node7node102_t1,1.0
C_timber_node7node102_t2,1.0
C_timber_node7node102_t3,1.0
C_timber_node7node102_t4,1.0
C_timber_node7node102_t5,1.0
C_wide_node7node102_t1,1.0
C_wide_node7node102_t2,1.0
C_wide_node7node102_t3,1.0
C_wide_node7node102_t4,1.0
C_wide_node7node102_t5,1.0
C_timber_node8node84_t1,1.0
C_timber_node8node84_t2,1.0
C_timber_node8node84_t3,1.0
C_timber_node8node84_t4,1.0
