variable,value,node_type_info
C_node1node391_timber_t0,0.0,node1transit_node391exit
C_node1node391_timber_t1,0.0,node1transit_node391exit
C_node1node391_timber_t2,0.0,node1transit_node391exit
C_node1node391_timber_t3,0.0,node1transit_node391exit
C_node1node391_timber_t4,0.0,node1transit_node391exit
C_node1node391_timber_t5,0.0,node1transit_node391exit
C_node1node391_wide_t0,0.0,node1transit_node391exit
C_node1node391_wide_t1,0.0,node1transit_node391exit
C_node1node391_wide_t2,0.0,node1transit_node391exit
C_node1node391_wide_t3,0.0,node1transit_node391exit
C_node1node391_wide_t4,0.0,node1transit_node391exit
C_node1node391_wide_t5,0.0,node1transit_node391exit
C_node1node389_timber_t0,0.0,node1transit_node389exit
C_node1node389_timber_t1,0.0,node1transit_node389exit
C_node1node389_timber_t2,0.0,node1transit_node389exit
C_node1node389_timber_t3,0.0,node1transit_node389exit
C_node1node389_timber_t4,0.0,node1transit_node389exit
C_node1node389_timber_t5,0.0,node1transit_node389exit
C_node1node389_wide_t0,0.0,node1transit_node389exit
C_node1node389_wide_t1,0.0,node1transit_node389exit
C_node1node389_wide_t2,0.0,node1transit_node389exit
C_node1node389_wide_t3,0.0,node1transit_node389exit
C_node1node389_wide_t4,0.0,node1transit_node389exit
C_node1node389_wide_t5,0.0,node1transit_node389exit
C_node1node29_timber_t0,0.0,node1transit_node29exit
C_node1node29_timber_t1,0.0,node1transit_node29exit
C_node1node29_timber_t2,0.0,node1transit_node29exit
C_node1node29_timber_t3,0.0,node1transit_node29exit
C_node1node29_timber_t4,0.0,node1transit_node29exit
C_node1node29_timber_t5,0.0,node1transit_node29exit
C_node1node29_wide_t0,0.0,node1transit_node29exit
C_node1node29_wide_t1,0.0,node1transit_node29exit
C_node1node29_wide_t2,0.0,node1transit_node29exit
C_node1node29_wide_t3,0.0,node1transit_node29exit
C_node1node29_wide_t4,0.0,node1transit_node29exit
C_node1node29_wide_t5,0.0,node1transit_node29exit
C_node1node544_timber_t0,0.0,node1transit_node544source
C_node1node544_timber_t1,1.0,node1transit_node544source
C_node1node544_timber_t2,0.0,node1transit_node544source
C_node1node544_timber_t3,0.0,node1transit_node544source
C_node1node544_timber_t4,-0.0,node1transit_node544source
C_node1node544_timber_t5,-0.0,node1transit_node544source
C_node1node544_wide_t0,0.0,node1transit_node544source
C_node1node544_wide_t1,0.0,node1transit_node544source
C_node1node544_wide_t2,0.0,node1transit_node544source
C_node1node544_wide_t3,0.0,node1transit_node544source
C_node1node544_wide_t4,0.0,node1transit_node544source
C_node1node544_wide_t5,0.0,node1transit_node544source
C_node1node545_timber_t0,0.0,node1transit_node545source
C_node1node545_timber_t1,1.0,node1transit_node545source
C_node1node545_timber_t2,0.0,node1transit_node545source
C_node1node545_timber_t3,0.0,node1transit_node545source
C_node1node545_timber_t4,-0.0,node1transit_node545source
C_node1node545_timber_t5,-0.0,node1transit_node545source
C_node1node545_wide_t0,0.0,node1transit_node545source
C_node1node545_wide_t1,0.0,node1transit_node545source
C_node1node545_wide_t2,0.0,node1transit_node545source
C_node1node545_wide_t3,0.0,node1transit_node545source
C_node1node545_wide_t4,0.0,node1transit_node545source
C_node1node545_wide_t5,0.0,node1transit_node545source
C_node1node553_timber_t0,0.0,node1transit_node553source
C_node1node553_timber_t1,1.0,node1transit_node553source
C_node1node553_timber_t2,0.0,node1transit_node553source
C_node1node553_timber_t3,-0.0,node1transit_node553source
C_node1node553_timber_t4,-0.0,node1transit_node553source
C_node1node553_timber_t5,-0.0,node1transit_node553source
C_node1node553_wide_t0,0.0,node1transit_node553source
C_node1node553_wide_t1,0.0,node1transit_node553source
C_node1node553_wide_t2,0.0,node1transit_node553source
C_node1node553_wide_t3,0.0,node1transit_node553source
C_node1node553_wide_t4,-0.0,node1transit_node553source
C_node1node553_wide_t5,0.0,node1transit_node553source
C_node2node499_timber_t0,0.0,node2exit_node499exit
C_node2node499_timber_t1,0.0,node2exit_node499exit
C_node2node499_timber_t2,0.0,node2exit_node499exit
C_node2node499_timber_t3,0.0,node2exit_node499exit
C_node2node499_timber_t4,0.0,node2exit_node499exit
C_node2node499_timber_t5,0.0,node2exit_node499exit
C_node2node499_wide_t0,0.0,node2exit_node499exit
C_node2node499_wide_t1,0.0,node2exit_node499exit
C_node2node499_wide_t2,0.0,node2exit_node499exit
C_node2node499_wide_t3,0.0,node2exit_node499exit
C_node2node499_wide_t4,0.0,node2exit_node499exit
C_node2node499_wide_t5,0.0,node2exit_node499exit
C_node2node362_timber_t0,0.0,node2exit_node362transit
C_node2node362_timber_t1,0.0,node2exit_node362transit
C_node2node362_timber_t2,0.0,node2exit_node362transit
C_node2node362_timber_t3,0.0,node2exit_node362transit
C_node2node362_timber_t4,0.0,node2exit_node362transit
C_node2node362_timber_t5,0.0,node2exit_node362transit
