variable,value,node_type_info
C_node1node257_timber_t1,1.0,node1transit_node257source
C_node1node259_timber_t1,1.0,node1transit_node259source
C_node1node271_timber_t1,1.0,node1transit_node271source
C_node2node200_timber_t3,1.0,node2exit_node200transit
C_node3node56_timber_t1,1.0,node3transit_node56exit
C_node3node88_timber_t1,1.0,node3transit_node88transit
C_node3node266_timber_t1,1.0,node3transit_node266source
C_node3node266_timber_t4,1.0,node3transit_node266source
C_node6node234_timber_t1,1.0,node6transit_node234source
C_node6node236_timber_t1,1.0,node6transit_node236source
C_node6node273_timber_t1,1.0,node6transit_node273source
C_node7node238_timber_t1,1.0,node7transit_node238source
C_node7node274_wide_t1,1.0,node7transit_node274source
C_node8node12_wide_t1,1.0,node8transit_node12transit
C_node8node198_wide_t1,1.0,node8transit_node198exit
C_node8node275_wide_t1,1.0,node8transit_node275source
C_node9node273_timber_t1,1.0,node9transit_node273source
C_node9node276_wide_t1,1.0,node9transit_node276source
C_node9node279_wide_t1,1.0,node9transit_node279source
C_node10node249_wide_t1,1.0,node10transit_node249source
C_node10node250_timber_t1,1.0,node10transit_node250source
C_node11node252_wide_t1,1.0,node11transit_node252source
C_node11node255_timber_t1,1.0,node11transit_node255source
C_node12node61_wide_t1,1.0,node12transit_node61transit
C_node12node275_wide_t1,1.0,node12transit_node275source
C_node12node276_wide_t1,1.0,node12transit_node276source
C_node13node72_timber_t1,1.0,node13transit_node72transit
C_node13node240_timber_t1,1.0,node13transit_node240source
C_node13node243_timber_t1,1.0,node13transit_node243source
C_node13node244_timber_t1,1.0,node13transit_node244source
C_node14node272_wide_t1,1.0,node14transit_node272source
C_node15node241_timber_t1,1.0,node15transit_node241source
C_node15node243_timber_t1,1.0,node15transit_node243source
C_node15node263_timber_t1,1.0,node15transit_node263source
C_node16node241_timber_t1,1.0,node16transit_node241source
C_node16node242_timber_t1,1.0,node16transit_node242source
C_node16node243_timber_t1,1.0,node16transit_node243source
C_node17node247_timber_t1,1.0,node17transit_node247source
C_node17node266_timber_t1,1.0,node17transit_node266source
C_node18node39_timber_t1,1.0,node18transit_node39transit
