variable,lb,ub,type,var_type_letter,road_type,edge,period,discounted_cost
C_node1node4_timber_t0,0.0,0.0,B,C,timber,node1node4,0,1535.0
C_node1node4_timber_t1,0.0,1.0,B,C,timber,node1node4,1,1292.43
C_node1node4_timber_t2,0.0,1.0,B,C,timber,node1node4,2,916.23
C_node1node4_timber_t3,0.0,1.0,B,C,timber,node1node4,3,649.53
C_node1node4_timber_t4,0.0,1.0,B,C,timber,node1node4,4,460.46
C_node1node4_timber_t5,0.0,1.0,B,C,timber,node1node4,5,326.43
C_node1node4_wide_t0,0.0,0.0,B,C,wide,node1node4,0,2303.0
C_node1node4_wide_t1,0.0,1.0,B,C,wide,node1node4,1,1939.06
C_node1node4_wide_t2,0.0,1.0,B,C,wide,node1node4,2,1374.64
C_node1node4_wide_t3,0.0,1.0,B,C,wide,node1node4,3,974.51
C_node1node4_wide_t4,0.0,1.0,B,C,wide,node1node4,4,690.85
C_node1node4_wide_t5,0.0,1.0,B,C,wide,node1node4,5,489.75
C_node1node5_timber_t0,0.0,0.0,B,C,timber,node1node5,0,2150.0
C_node1node5_timber_t1,0.0,1.0,B,C,timber,node1node5,1,1810.24
C_node1node5_timber_t2,0.0,1.0,B,C,timber,node1node5,2,1283.31
C_node1node5_timber_t3,0.0,1.0,B,C,timber,node1node5,3,909.77
C_node1node5_timber_t4,0.0,1.0,B,C,timber,node1node5,4,644.95
C_node1node5_timber_t5,0.0,1.0,B,C,timber,node1node5,5,457.22
C_node1node5_wide_t0,0.0,0.0,B,C,wide,node1node5,0,3225.0
C_node1node5_wide_t1,0.0,1.0,B,C,wide,node1node5,1,2715.36
C_node1node5_wide_t2,0.0,1.0,B,C,wide,node1node5,2,1924.97
C_node1node5_wide_t3,0.0,1.0,B,C,wide,node1node5,3,1364.65
C_node1node5_wide_t4,0.0,1.0,B,C,wide,node1node5,4,967.43
C_node1node5_wide_t5,0.0,1.0,B,C,wide,node1node5,5,685.83
C_node1node6_timber_t0,0.0,0.0,B,C,timber,node1node6,0,494.0
C_node1node6_timber_t1,0.0,1.0,B,C,timber,node1node6,1,415.93
C_node1node6_timber_t2,0.0,1.0,B,C,timber,node1node6,2,294.86
C_node1node6_timber_t3,0.0,1.0,B,C,timber,node1node6,3,209.03
C_node1node6_timber_t4,0.0,1.0,B,C,timber,node1node6,4,148.19
C_node1node6_timber_t5,0.0,1.0,B,C,timber,node1node6,5,105.05
C_node1node6_wide_t0,0.0,0.0,B,C,wide,node1node6,0,742.0
C_node1node6_wide_t1,0.0,1.0,B,C,wide,node1node6,1,624.74
C_node1node6_wide_t2,0.0,1.0,B,C,wide,node1node6,2,442.89
C_node1node6_wide_t3,0.0,1.0,B,C,wide,node1node6,3,313.98
C_node1node6_wide_t4,0.0,1.0,B,C,wide,node1node6,4,222.58
C_node1node6_wide_t5,0.0,1.0,B,C,wide,node1node6,5,157.79
C_node1node8_timber_t0,0.0,0.0,B,C,timber,node1node8,0,0.0
C_node1node8_timber_t1,0.0,1.0,B,C,timber,node1node8,1,0.0
C_node1node8_timber_t2,0.0,1.0,B,C,timber,node1node8,2,0.0
C_node1node8_timber_t3,0.0,1.0,B,C,timber,node1node8,3,0.0
C_node1node8_timber_t4,0.0,1.0,B,C,timber,node1node8,4,0.0
C_node1node8_timber_t5,0.0,1.0,B,C,timber,node1node8,5,0.0
C_node1node8_wide_t0,0.0,0.0,B,C,wide,node1node8,0,0.0
C_node1node8_wide_t1,0.0,1.0,B,C,wide,node1node8,1,0.0
C_node1node8_wide_t2,0.0,1.0,B,C,wide,node1node8,2,0.0
C_node1node8_wide_t3,0.0,1.0,B,C,wide,node1node8,3,0.0
C_node1node8_wide_t4,0.0,1.0,B,C,wide,node1node8,4,0.0
C_node1node8_wide_t5,0.0,1.0,B,C,wide,node1node8,5,0.0
C_node2node3_timber_t0,0.0,0.0,B,C,timber,node2node3,0,326.0
C_node2node3_timber_t1,0.0,1.0,B,C,timber,node2node3,1,274.48
C_node2node3_timber_t2,0.0,1.0,B,C,timber,node2node3,2,194.59
C_node2node3_timber_t3,0.0,1.0,B,C,timber,node2node3,3,137.95
C_node2node3_timber_t4,0.0,1.0,B,C,timber,node2node3,4,97.79
