variable,lb,ub,type,edge,period,road_type
flow_timber_node1node9_t1,0.0,9.0,I,node1node9,1,timber
flow_timber_node1node9_t2,0.0,9.0,I,node1node9,2,timber
flow_timber_node1node9_t3,0.0,9.0,I,node1node9,3,timber
flow_timber_node1node9_t4,0.0,9.0,I,node1node9,4,timber
flow_timber_node1node9_t5,0.0,9.0,I,node1node9,5,timber
flow_wide_node1node9_t1,0.0,9.0,I,node1node9,1,wide
flow_wide_node1node9_t2,0.0,9.0,I,node1node9,2,wide
flow_wide_node1node9_t3,0.0,9.0,I,node1node9,3,wide
flow_wide_node1node9_t4,0.0,9.0,I,node1node9,4,wide
flow_wide_node1node9_t5,0.0,9.0,I,node1node9,5,wide
flow_timber_node1node17_t1,0.0,9.0,I,node1node17,1,timber
flow_timber_node1node17_t2,0.0,9.0,I,node1node17,2,timber
flow_timber_node1node17_t3,0.0,9.0,I,node1node17,3,timber
flow_timber_node1node17_t4,0.0,9.0,I,node1node17,4,timber
flow_timber_node1node17_t5,0.0,9.0,I,node1node17,5,timber
flow_wide_node1node17_t1,0.0,9.0,I,node1node17,1,wide
flow_wide_node1node17_t2,0.0,9.0,I,node1node17,2,wide
flow_wide_node1node17_t3,0.0,9.0,I,node1node17,3,wide
flow_wide_node1node17_t4,0.0,9.0,I,node1node17,4,wide
flow_wide_node1node17_t5,0.0,9.0,I,node1node17,5,wide
flow_timber_node1node5_t1,0.0,9.0,I,node1node5,1,timber
flow_timber_node1node5_t2,0.0,9.0,I,node1node5,2,timber
flow_timber_node1node5_t3,0.0,9.0,I,node1node5,3,timber
flow_timber_node1node5_t4,0.0,9.0,I,node1node5,4,timber
flow_timber_node1node5_t5,0.0,9.0,I,node1node5,5,timber
flow_wide_node1node5_t1,0.0,9.0,I,node1node5,1,wide
flow_wide_node1node5_t2,0.0,9.0,I,node1node5,2,wide
flow_wide_node1node5_t3,0.0,9.0,I,node1node5,3,wide
flow_wide_node1node5_t4,0.0,9.0,I,node1node5,4,wide
flow_wide_node1node5_t5,0.0,9.0,I,node1node5,5,wide
flow_timber_node1node19_t1,0.0,9.0,I,node1node19,1,timber
flow_timber_node1node19_t2,0.0,9.0,I,node1node19,2,timber
flow_timber_node1node19_t3,0.0,9.0,I,node1node19,3,timber
flow_timber_node1node19_t4,0.0,9.0,I,node1node19,4,timber
flow_timber_node1node19_t5,0.0,9.0,I,node1node19,5,timber
