variable,value,node_type_info,action,road_type,edge,period
C_node7node64_timber_t1,1.0,node7transit_node64source,C,timber,node7node64,1.0
C_node12node76_timber_t1,1.0,node12exit_node76source,C,timber,node12node76,1.0
C_node14node76_timber_t1,1.0,node14transit_node76source,C,timber,node14node76,1.0
C_node16node76_timber_t1,1.0,node16transit_node76source,C,timber,node16node76,1.0
C_node18node76_timber_t1,1.0,node18exit_node76source,C,timber,node18node76,1.0
C_node20node40_timber_t1,1.0,node20transit_node40transit,C,timber,node20node40,1.0
C_node20node67_timber_t1,1.0,node20transit_node67source,C,timber,node20node67,1.0
C_node24node76_timber_t1,1.0,node24exit_node76source,C,timber,node24node76,1.0
C_node25node29_wide_t5,1.0,node25transit_node29transit,C,wide,node25node29,5.0
C_node25node64_timber_t1,1.0,node25transit_node64source,C,timber,node25node64,1.0
C_node29node46_wide_t5,1.0,node29transit_node46exit,C,wide,node29node46,5.0
C_node30node76_timber_t1,1.0,node30transit_node76source,C,timber,node30node76,1.0
C_node33node67_timber_t1,1.0,node33transit_node67source,C,timber,node33node67,1.0
C_node36node64_wide_t5,1.0,node36transit_node64source,C,wide,node36node64,5.0
C_node38node67_timber_t1,1.0,node38transit_node67source,C,timber,node38node67,1.0
C_node40node49_timber_t1,1.0,node40transit_node49exit,C,timber,node40node49,1.0
C_node62node76_timber_t1,1.0,node62exit_node76source,C,timber,node62node76,1.0
C_node63node76_timber_t1,1.0,node63exit_node76source,C,timber,node63node76,1.0
M_node7node64_timber_t2,1.0,node7transit_node64source,M,timber,node7node64,2.0
M_node7node64_timber_t3,1.0,node7transit_node64source,M,timber,node7node64,3.0
M_node7node64_timber_t4,1.0,node7transit_node64source,M,timber,node7node64,4.0
M_node12node76_timber_t2,1.0,node12exit_node76source,M,timber,node12node76,2.0
M_node12node76_timber_t3,1.0,node12exit_node76source,M,timber,node12node76,3.0
M_node12node76_timber_t4,1.0,node12exit_node76source,M,timber,node12node76,4.0
M_node12node76_timber_t5,1.0,node12exit_node76source,M,timber,node12node76,5.0
M_node14node76_timber_t2,1.0,node14transit_node76source,M,timber,node14node76,2.0
M_node14node76_timber_t3,1.0,node14transit_node76source,M,timber,node14node76,3.0
M_node14node76_timber_t4,1.0,node14transit_node76source,M,timber,node14node76,4.0
M_node14node76_timber_t5,1.0,node14transit_node76source,M,timber,node14node76,5.0
M_node16node76_timber_t2,1.0,node16transit_node76source,M,timber,node16node76,2.0
M_node16node76_timber_t3,1.0,node16transit_node76source,M,timber,node16node76,3.0
M_node16node76_timber_t4,1.0,node16transit_node76source,M,timber,node16node76,4.0
M_node18node76_timber_t2,1.0,node18exit_node76source,M,timber,node18node76,2.0
M_node18node76_timber_t3,1.0,node18exit_node76source,M,timber,node18node76,3.0
M_node18node76_timber_t4,1.0,node18exit_node76source,M,timber,node18node76,4.0
M_node20node40_timber_t2,1.0,node20transit_node40transit,M,timber,node20node40,2.0
M_node20node40_timber_t3,1.0,node20transit_node40transit,M,timber,node20node40,3.0
M_node20node40_timber_t4,1.0,node20transit_node40transit,M,timber,node20node40,4.0
M_node20node40_timber_t5,1.0,node20transit_node40transit,M,timber,node20node40,5.0
M_node20node67_timber_t2,1.0,node20transit_node67source,M,timber,node20node67,2.0
M_node20node67_timber_t3,1.0,node20transit_node67source,M,timber,node20node67,3.0
M_node20node67_timber_t4,1.0,node20transit_node67source,M,timber,node20node67,4.0
M_node20node67_timber_t5,1.0,node20transit_node67source,M,timber,node20node67,5.0
M_node24node76_timber_t2,1.0,node24exit_node76source,M,timber,node24node76,2.0
M_node24node76_timber_t3,1.0,node24exit_node76source,M,timber,node24node76,3.0
M_node24node76_timber_t4,1.0,node24exit_node76source,M,timber,node24node76,4.0
M_node24node76_timber_t5,1.0,node24exit_node76source,M,timber,node24node76,5.0
M_node25node64_timber_t2,1.0,node25transit_node64source,M,timber,node25node64,2.0
M_node25node64_wide_t4,1.0,node25transit_node64source,M,wide,node25node64,4.0
M_node25node64_wide_t5,1.0,node25transit_node64source,M,wide,node25node64,5.0
M_node30node76_wide_t3,1.0,node30transit_node76source,M,wide,node30node76,3.0
M_node30node76_wide_t4,1.0,node30transit_node76source,M,wide,node30node76,4.0
M_node30node76_wide_t5,1.0,node30transit_node76source,M,wide,node30node76,5.0
M_node33node67_timber_t2,1.0,node33transit_node67source,M,timber,node33node67,2.0
M_node33node67_timber_t3,1.0,node33transit_node67source,M,timber,node33node67,3.0
M_node33node67_timber_t4,1.0,node33transit_node67source,M,timber,node33node67,4.0
M_node33node67_timber_t5,1.0,node33transit_node67source,M,timber,node33node67,5.0
M_node38node67_timber_t2,1.0,node38transit_node67source,M,timber,node38node67,2.0
M_node38node67_timber_t3,1.0,node38transit_node67source,M,timber,node38node67,3.0
M_node38node67_timber_t4,1.0,node38transit_node67source,M,timber,node38node67,4.0
M_node38node67_timber_t5,1.0,node38transit_node67source,M,timber,node38node67,5.0
M_node40node49_timber_t2,1.0,node40transit_node49exit,M,timber,node40node49,2.0
M_node40node49_timber_t3,1.0,node40transit_node49exit,M,timber,node40node49,3.0
M_node40node49_timber_t4,1.0,node40transit_node49exit,M,timber,node40node49,4.0
M_node40node49_timber_t5,1.0,node40transit_node49exit,M,timber,node40node49,5.0
M_node62node76_timber_t2,1.0,node62exit_node76source,M,timber,node62node76,2.0
M_node62node76_timber_t3,1.0,node62exit_node76source,M,timber,node62node76,3.0
M_node62node76_timber_t4,1.0,node62exit_node76source,M,timber,node62node76,4.0
M_node62node76_timber_t5,1.0,node62exit_node76source,M,timber,node62node76,5.0
M_node63node76_timber_t2,1.0,node63exit_node76source,M,timber,node63node76,2.0
M_node63node76_timber_t3,1.0,node63exit_node76source,M,timber,node63node76,3.0
M_node63node76_timber_t4,1.0,node63exit_node76source,M,timber,node63node76,4.0
M_node63node76_timber_t5,1.0,node63exit_node76source,M,timber,node63node76,5.0
U_node7node64_t5,1.0,node7transit_node64source,U,,node7node64,5.0
U_node16node76_t5,1.0,node16transit_node76source,U,,node16node76,5.0
U_node18node76_t5,1.0,node18exit_node76source,U,,node18node76,5.0
U_node25node64_t3,1.0,node25transit_node64source,U,,node25node64,3.0
U_node30node76_t2,1.0,node30transit_node76source,U,,node30node76,2.0
flow_wide_node25node29_t5,1.0,node25transit_node29transit,flow,wide,node25node29,5.0
flow_wide_node64node25_t5,1.0,node64source_node25transit,flow,wide,node64node25,5.0
flow_timber_node76node12_t1,1.0,node76source_node12exit,flow,timber,node76node12,1.0
flow_timber_node76node12_t2,1.0,node76source_node12exit,flow,timber,node76node12,2.0
flow_timber_node76node12_t3,1.0,node76source_node12exit,flow,timber,node76node12,3.0
flow_timber_node76node12_t4,1.0,node76source_node12exit,flow,timber,node76node12,4.0
flow_timber_node76node12_t5,1.0,node76source_node12exit,flow,timber,node76node12,5.0
flow_wide_node29node46_t5,1.0,node29transit_node46exit,flow,wide,node29node46,5.0
flow_timber_node20node40_t1,1.0,node20transit_node40transit,flow,timber,node20node40,1.0
flow_timber_node20node40_t2,1.0,node20transit_node40transit,flow,timber,node20node40,2.0
flow_timber_node20node40_t3,1.0,node20transit_node40transit,flow,timber,node20node40,3.0
flow_timber_node20node40_t4,1.0,node20transit_node40transit,flow,timber,node20node40,4.0
flow_timber_node20node40_t5,1.0,node20transit_node40transit,flow,timber,node20node40,5.0
flow_timber_node40node49_t1,1.0,node40transit_node49exit,flow,timber,node40node49,1.0
flow_timber_node40node49_t2,1.0,node40transit_node49exit,flow,timber,node40node49,2.0
flow_timber_node40node49_t3,1.0,node40transit_node49exit,flow,timber,node40node49,3.0
flow_timber_node40node49_t4,1.0,node40transit_node49exit,flow,timber,node40node49,4.0
flow_timber_node40node49_t5,1.0,node40transit_node49exit,flow,timber,node40node49,5.0
flow_timber_node67node20_t1,1.0,node67source_node20transit,flow,timber,node67node20,1.0
flow_timber_node67node20_t2,1.0,node67source_node20transit,flow,timber,node67node20,2.0
flow_timber_node67node20_t3,1.0,node67source_node20transit,flow,timber,node67node20,3.0
flow_timber_node67node20_t4,1.0,node67source_node20transit,flow,timber,node67node20,4.0
flow_timber_node67node20_t5,1.0,node67source_node20transit,flow,timber,node67node20,5.0
