arc,type
node32node59,source_in_transit_out
node34node59,exit_out_source_in
node35node59,source_in_transit_out
node27node59,source_in_transit_out
node39node59,exit_out_source_in
node2node59,source_in_transit_out
node3node60,exit_out_source_in
node21node60,source_in_transit_out
node12node60,exit_out_source_in
node42node60,exit_out_source_in
node33node60,exit_out_source_in
node40node60,exit_out_source_in
node9node60,exit_out_source_in
node17node60,exit_out_source_in
node41node60,exit_out_source_in
node21node61,source_in_transit_out
node42node61,exit_out_source_in
node44node61,exit_out_source_in
node17node61,exit_out_source_in
node20node61,source_in_transit_out
node16node61,source_in_transit_out
node41node61,exit_out_source_in
node33node61,exit_out_source_in
node6node61,exit_out_source_in
node43node61,exit_out_source_in
node10node61,source_in_transit_out
node6node62,exit_out_source_in
node16node62,source_in_transit_out
node18node62,source_in_transit_out
node26node62,source_in_transit_out
node36node62,exit_out_source_in
node46node63,exit_out_source_in
node8node63,source_in_transit_out
node45node63,exit_out_source_in
node22node63,source_in_transit_out
node16node63,source_in_transit_out
node7node63,exit_out_source_in
node20node63,source_in_transit_out
node26node63,source_in_transit_out
node28node63,source_in_transit_out
node19node63,source_in_transit_out
node38node63,source_in_transit_out
node22node64,source_in_transit_out
node31node64,source_in_transit_out
node38node64,source_in_transit_out
node24node64,source_in_transit_out
node24node65,source_in_transit_out
node22node65,source_in_transit_out
node19node65,source_in_transit_out
node28node66,source_in_transit_out
node46node66,exit_out_source_in
node31node66,source_in_transit_out
node38node66,source_in_transit_out
node4node66,source_in_transit_out
node29node66,source_in_transit_out
node7node66,exit_out_source_in
node25node67,exit_out_source_in
node43node67,exit_out_source_in
node47node67,exit_out_source_in
node48node67,exit_out_source_in
node18node67,source_in_transit_out
node5node67,source_in_transit_out
node44node67,exit_out_source_in
node10node67,source_in_transit_out
node6node67,exit_out_source_in
node13node67,source_in_transit_out
node36node68,exit_out_source_in
node25node68,exit_out_source_in
node18node68,source_in_transit_out
node26node68,source_in_transit_out
node8node68,source_in_transit_out
node4node69,source_in_transit_out
node13node69,source_in_transit_out
node30node69,source_in_transit_out
node49node69,exit_out_source_in
node2node69,source_in_transit_out
node29node69,source_in_transit_out
node5node69,source_in_transit_out
node47node69,exit_out_source_in
node11node69,source_in_transit_out
node35node69,source_in_transit_out
node49node70,exit_out_source_in
node30node70,source_in_transit_out
node50node70,exit_out_source_in
node1node70,source_in_transit_out
node32node70,source_in_transit_out
node35node70,source_in_transit_out
node14node70,source_in_transit_out
