variable,lb,ub,type,edge,period,road_type
flow_timber_node1node245_t1,0.0,9.0,I,node1node245,1,timber
flow_timber_node1node245_t2,0.0,9.0,I,node1node245,2,timber
flow_timber_node1node245_t3,0.0,9.0,I,node1node245,3,timber
flow_timber_node1node245_t4,0.0,9.0,I,node1node245,4,timber
flow_timber_node1node245_t5,0.0,9.0,I,node1node245,5,timber
flow_wide_node1node245_t1,0.0,9.0,I,node1node245,1,wide
flow_wide_node1node245_t2,0.0,9.0,I,node1node245,2,wide
flow_wide_node1node245_t3,0.0,9.0,I,node1node245,3,wide
flow_wide_node1node245_t4,0.0,9.0,I,node1node245,4,wide
flow_wide_node1node245_t5,0.0,9.0,I,node1node245,5,wide
flow_timber_node1node105_t1,0.0,9.0,I,node1node105,1,timber
flow_timber_node1node105_t2,0.0,9.0,I,node1node105,2,timber
flow_timber_node1node105_t3,0.0,9.0,I,node1node105,3,timber
flow_timber_node1node105_t4,0.0,9.0,I,node1node105,4,timber
flow_timber_node1node105_t5,0.0,9.0,I,node1node105,5,timber
flow_wide_node1node105_t1,0.0,9.0,I,node1node105,1,wide
flow_wide_node1node105_t2,0.0,9.0,I,node1node105,2,wide
flow_wide_node1node105_t3,0.0,9.0,I,node1node105,3,wide
flow_wide_node1node105_t4,0.0,9.0,I,node1node105,4,wide
flow_wide_node1node105_t5,0.0,9.0,I,node1node105,5,wide
flow_timber_node1node132_t1,0.0,9.0,I,node1node132,1,timber
flow_timber_node1node132_t2,0.0,9.0,I,node1node132,2,timber
flow_timber_node1node132_t3,0.0,9.0,I,node1node132,3,timber
flow_timber_node1node132_t4,0.0,9.0,I,node1node132,4,timber
flow_timber_node1node132_t5,0.0,9.0,I,node1node132,5,timber
flow_wide_node1node132_t1,0.0,9.0,I,node1node132,1,wide
flow_wide_node1node132_t2,0.0,9.0,I,node1node132,2,wide
flow_wide_node1node132_t3,0.0,9.0,I,node1node132,3,wide
flow_wide_node1node132_t4,0.0,9.0,I,node1node132,4,wide
flow_wide_node1node132_t5,0.0,9.0,I,node1node132,5,wide
flow_timber_node1node318_t1,0.0,9.0,I,node1node318,1,timber
flow_timber_node1node318_t2,0.0,9.0,I,node1node318,2,timber
flow_timber_node1node318_t3,0.0,9.0,I,node1node318,3,timber
flow_timber_node1node318_t4,0.0,9.0,I,node1node318,4,timber
flow_timber_node1node318_t5,0.0,9.0,I,node1node318,5,timber
