240.0 * C_node1node79_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
202.07 * C_node1node79_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
143.25 * C_node1node79_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
101.56 * C_node1node79_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
71.99 * C_node1node79_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
51.04 * C_node1node79_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
360.0 * C_node1node79_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
303.11 * C_node1node79_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
214.88 * C_node1node79_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
152.33 * C_node1node79_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
107.99 * C_node1node79_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
76.56 * C_node1node79_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
466.0 * C_node1node62_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
392.36 * C_node1node62_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
278.15 * C_node1node62_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
197.19 * C_node1node62_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
139.79 * C_node1node62_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
99.1 * C_node1node62_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
699.0 * C_node1node62_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
588.54 * C_node1node62_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
417.23 * C_node1node62_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
295.78 * C_node1node62_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
209.68 * C_node1node62_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
148.65 * C_node1node62_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
