variable,coefficient,type,prefix,width,edge,period
C_node1node175_timber_t0,1993.0,B,C,timber,,0
C_node1node175_timber_t1,1678.05,B,C,timber,,1
C_node1node175_timber_t2,1189.6,B,C,timber,,2
C_node1node175_timber_t3,843.33,B,C,timber,,3
C_node1node175_timber_t4,597.85,B,C,timber,,4
C_node1node175_timber_t5,423.83,B,C,timber,,5
C_node1node175_wide_t0,2991.0,B,C,wide,,0
C_node1node175_wide_t1,2518.34,B,C,wide,,1
C_node1node175_wide_t2,1785.3,B,C,wide,,2
C_node1node175_wide_t3,1265.63,B,C,wide,,3
C_node1node175_wide_t4,897.23,B,C,wide,,4
C_node1node175_wide_t5,636.06,B,C,wide,,5
C_node1node76_timber_t0,1042.0,B,C,timber,,0
C_node1node76_timber_t1,877.34,B,C,timber,,1
C_node1node76_timber_t2,621.96,B,C,timber,,2
C_node1node76_timber_t3,440.92,B,C,timber,,3
C_node1node76_timber_t4,312.58,B,C,timber,,4
C_node1node76_timber_t5,221.59,B,C,timber,,5
C_node1node76_wide_t0,1564.0,B,C,wide,,0
C_node1node76_wide_t1,1316.85,B,C,wide,,1
C_node1node76_wide_t2,933.54,B,C,wide,,2
C_node1node76_wide_t3,661.8,B,C,wide,,3
C_node1node76_wide_t4,469.16,B,C,wide,,4
C_node1node76_wide_t5,332.6,B,C,wide,,5
C_node1node127_timber_t0,2965.0,B,C,timber,,0
C_node1node127_timber_t1,2496.45,B,C,timber,,1
C_node1node127_timber_t2,1769.78,B,C,timber,,2
C_node1node127_timber_t3,1254.63,B,C,timber,,3
C_node1node127_timber_t4,889.43,B,C,timber,,4
C_node1node127_timber_t5,630.53,B,C,timber,,5
C_node1node127_wide_t0,4449.0,B,C,wide,,0
C_node1node127_wide_t1,3745.94,B,C,wide,,1
C_node1node127_wide_t2,2655.57,B,C,wide,,2
C_node1node127_wide_t3,1882.58,B,C,wide,,3
C_node1node127_wide_t4,1334.6,B,C,wide,,4
C_node1node127_wide_t5,946.12,B,C,wide,,5
C_node1node238_timber_t0,0.0,B,C,timber,,0
C_node1node238_timber_t1,0.0,B,C,timber,,1
C_node1node238_timber_t2,0.0,B,C,timber,,2
C_node1node238_timber_t3,0.0,B,C,timber,,3
C_node1node238_timber_t4,0.0,B,C,timber,,4
C_node1node238_timber_t5,0.0,B,C,timber,,5
C_node1node238_wide_t0,0.0,B,C,wide,,0
C_node1node238_wide_t1,0.0,B,C,wide,,1
C_node1node238_wide_t2,0.0,B,C,wide,,2
C_node1node238_wide_t3,0.0,B,C,wide,,3
C_node1node238_wide_t4,0.0,B,C,wide,,4
C_node1node238_wide_t5,0.0,B,C,wide,,5
C_node2node168_timber_t0,999.0,B,C,timber,,0
C_node2node168_timber_t1,841.13,B,C,timber,,1
C_node2node168_timber_t2,596.29,B,C,timber,,2
C_node2node168_timber_t3,422.72,B,C,timber,,3
C_node2node168_timber_t4,299.68,B,C,timber,,4
C_node2node168_timber_t5,212.45,B,C,timber,,5
C_node2node168_wide_t0,1497.0,B,C,wide,,0
C_node2node168_wide_t1,1260.43,B,C,wide,,1
C_node2node168_wide_t2,893.55,B,C,wide,,2
C_node2node168_wide_t3,633.45,B,C,wide,,3
C_node2node168_wide_t4,449.07,B,C,wide,,4
C_node2node168_wide_t5,318.35,B,C,wide,,5
C_node2node117_timber_t0,1528.0,B,C,timber,,0
C_node2node117_timber_t1,1286.53,B,C,timber,,1
C_node2node117_timber_t2,912.05,B,C,timber,,2
C_node2node117_timber_t3,646.57,B,C,timber,,3
C_node2node117_timber_t4,458.36,B,C,timber,,4
C_node2node117_timber_t5,324.94,B,C,timber,,5
C_node2node117_wide_t0,2293.0,B,C,wide,,0
C_node2node117_wide_t1,1930.64,B,C,wide,,1
C_node2node117_wide_t2,1368.67,B,C,wide,,2
C_node2node117_wide_t3,970.28,B,C,wide,,3
C_node2node117_wide_t4,687.85,B,C,wide,,4
C_node2node117_wide_t5,487.63,B,C,wide,,5
C_node2node154_timber_t0,2116.0,B,C,timber,,0
C_node2node154_timber_t1,1781.62,B,C,timber,,1
C_node2node154_timber_t2,1263.02,B,C,timber,,2
C_node2node154_timber_t3,895.38,B,C,timber,,3
C_node2node154_timber_t4,634.75,B,C,timber,,4
C_node2node154_timber_t5,449.99,B,C,timber,,5
C_node2node154_wide_t0,3173.0,B,C,wide,,0
C_node2node154_wide_t1,2671.58,B,C,wide,,1
C_node2node154_wide_t2,1893.93,B,C,wide,,2
C_node2node154_wide_t3,1342.65,B,C,wide,,3
C_node2node154_wide_t4,951.83,B,C,wide,,4
C_node2node154_wide_t5,674.77,B,C,wide,,5
C_node2node231_timber_t0,0.0,B,C,timber,,0
C_node2node231_timber_t1,0.0,B,C,timber,,1
C_node2node231_timber_t2,0.0,B,C,timber,,2
C_node2node231_timber_t3,0.0,B,C,timber,,3
C_node2node231_timber_t4,0.0,B,C,timber,,4
C_node2node231_timber_t5,0.0,B,C,timber,,5
