variable,coefficient,type,prefix,width,edge,period
C_node1node10_timber_t0,515.0,B,C,timber,,0
C_node1node10_timber_t1,433.62,B,C,timber,,1
C_node1node10_timber_t2,307.4,B,C,timber,,2
C_node1node10_timber_t3,217.92,B,C,timber,,3
C_node1node10_timber_t4,154.49,B,C,timber,,4
C_node1node10_timber_t5,109.52,B,C,timber,,5
C_node1node10_wide_t0,772.0,B,C,wide,,0
C_node1node10_wide_t1,650.0,B,C,wide,,1
C_node1node10_wide_t2,460.8,B,C,wide,,2
C_node1node10_wide_t3,326.67,B,C,wide,,3
C_node1node10_wide_t4,231.58,B,C,wide,,4
C_node1node10_wide_t5,164.17,B,C,wide,,5
C_node1node15_timber_t0,403.0,B,C,timber,,0
C_node1node15_timber_t1,339.32,B,C,timber,,1
C_node1node15_timber_t2,240.55,B,C,timber,,2
C_node1node15_timber_t3,170.53,B,C,timber,,3
C_node1node15_timber_t4,120.89,B,C,timber,,4
C_node1node15_timber_t5,85.7,B,C,timber,,5
C_node1node15_wide_t0,604.0,B,C,wide,,0
C_node1node15_wide_t1,508.55,B,C,wide,,1
C_node1node15_wide_t2,360.52,B,C,wide,,2
C_node1node15_wide_t3,255.58,B,C,wide,,3
C_node1node15_wide_t4,181.19,B,C,wide,,4
C_node1node15_wide_t5,128.45,B,C,wide,,5
C_node1node8_timber_t0,4427.0,B,C,timber,,0
C_node1node8_timber_t1,3727.42,B,C,timber,,1
C_node1node8_timber_t2,2642.43,B,C,timber,,2
C_node1node8_timber_t3,1873.27,B,C,timber,,3
C_node1node8_timber_t4,1328.0,B,C,timber,,4
C_node1node8_timber_t5,941.44,B,C,timber,,5
C_node1node8_wide_t0,6641.0,B,C,wide,,0
C_node1node8_wide_t1,5591.54,B,C,wide,,1
C_node1node8_wide_t2,3963.95,B,C,wide,,2
C_node1node8_wide_t3,2810.12,B,C,wide,,3
C_node1node8_wide_t4,1992.15,B,C,wide,,4
C_node1node8_wide_t5,1412.27,B,C,wide,,5
C_node2node14_timber_t0,507.0,B,C,timber,,0
C_node2node14_timber_t1,426.88,B,C,timber,,1
C_node2node14_timber_t2,302.62,B,C,timber,,2
C_node2node14_timber_t3,214.54,B,C,timber,,3
C_node2node14_timber_t4,152.09,B,C,timber,,4
C_node2node14_timber_t5,107.82,B,C,timber,,5
C_node2node14_wide_t0,761.0,B,C,wide,,0
C_node2node14_wide_t1,640.74,B,C,wide,,1
C_node2node14_wide_t2,454.23,B,C,wide,,2
C_node2node14_wide_t3,322.01,B,C,wide,,3
C_node2node14_wide_t4,228.28,B,C,wide,,4
C_node2node14_wide_t5,161.83,B,C,wide,,5
C_node2node13_timber_t0,963.0,B,C,timber,,0
C_node2node13_timber_t1,810.82,B,C,timber,,1
C_node2node13_timber_t2,574.81,B,C,timber,,2
C_node2node13_timber_t3,407.49,B,C,timber,,3
C_node2node13_timber_t4,288.88,B,C,timber,,4
C_node2node13_timber_t5,204.79,B,C,timber,,5
C_node2node13_wide_t0,1443.0,B,C,wide,,0
C_node2node13_wide_t1,1214.97,B,C,wide,,1
C_node2node13_wide_t2,861.31,B,C,wide,,2
C_node2node13_wide_t3,610.6,B,C,wide,,3
C_node2node13_wide_t4,432.87,B,C,wide,,4
C_node2node13_wide_t5,306.87,B,C,wide,,5
C_node2node16_timber_t0,6538.0,B,C,timber,,0
C_node2node16_timber_t1,5504.82,B,C,timber,,1
C_node2node16_timber_t2,3902.47,B,C,timber,,2
C_node2node16_timber_t3,2766.54,B,C,timber,,3
C_node2node16_timber_t4,1961.25,B,C,timber,,4
C_node2node16_timber_t5,1390.37,B,C,timber,,5
C_node2node16_wide_t0,9806.0,B,C,wide,,0
C_node2node16_wide_t1,8256.39,B,C,wide,,1
C_node2node16_wide_t2,5853.11,B,C,wide,,2
C_node2node16_wide_t3,4149.38,B,C,wide,,3
C_node2node16_wide_t4,2941.57,B,C,wide,,4
C_node2node16_wide_t5,2085.34,B,C,wide,,5
C_node3node5_timber_t0,159.0,B,C,timber,,0
C_node3node5_timber_t1,133.87,B,C,timber,,1
C_node3node5_timber_t2,94.91,B,C,timber,,2
C_node3node5_timber_t3,67.28,B,C,timber,,3
C_node3node5_timber_t4,47.7,B,C,timber,,4
C_node3node5_timber_t5,33.81,B,C,timber,,5
C_node3node5_wide_t0,238.0,B,C,wide,,0
C_node3node5_wide_t1,200.39,B,C,wide,,1
C_node3node5_wide_t2,142.06,B,C,wide,,2
C_node3node5_wide_t3,100.71,B,C,wide,,3
C_node3node5_wide_t4,71.39,B,C,wide,,4
C_node3node5_wide_t5,50.61,B,C,wide,,5
C_node3node10_timber_t0,4718.0,B,C,timber,,0
C_node3node10_timber_t1,3972.43,B,C,timber,,1
C_node3node10_timber_t2,2816.13,B,C,timber,,2
C_node3node10_timber_t3,1996.41,B,C,timber,,3
C_node3node10_timber_t4,1415.29,B,C,timber,,4
C_node3node10_timber_t5,1003.33,B,C,timber,,5
C_node3node10_wide_t0,7078.0,B,C,wide,,0
C_node3node10_wide_t1,5959.49,B,C,wide,,1
C_node3node10_wide_t2,4224.79,B,C,wide,,2
