515.0 * C_node1node10_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
433.62 * C_node1node10_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
307.4 * C_node1node10_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
217.92 * C_node1node10_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
154.49 * C_node1node10_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
109.52 * C_node1node10_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
772.0 * C_node1node10_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
650.0 * C_node1node10_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
460.8 * C_node1node10_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
326.67 * C_node1node10_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
231.58 * C_node1node10_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
164.17 * C_node1node10_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
403.0 * C_node1node15_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
339.32 * C_node1node15_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
240.55 * C_node1node15_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
170.53 * C_node1node15_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
120.89 * C_node1node15_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
85.7 * C_node1node15_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
604.0 * C_node1node15_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
508.55 * C_node1node15_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
360.52 * C_node1node15_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
255.58 * C_node1node15_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
181.19 * C_node1node15_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
128.45 * C_node1node15_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
4427.0 * C_node1node8_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
3727.42 * C_node1node8_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
2642.43 * C_node1node8_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
1873.27 * C_node1node8_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
1328.0 * C_node1node8_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
941.44 * C_node1node8_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
6641.0 * C_node1node8_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
5591.54 * C_node1node8_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
3963.95 * C_node1node8_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
2810.12 * C_node1node8_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
1992.15 * C_node1node8_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
1412.27 * C_node1node8_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
507.0 * C_node2node14_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
426.88 * C_node2node14_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
302.62 * C_node2node14_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
214.54 * C_node2node14_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
152.09 * C_node2node14_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
107.82 * C_node2node14_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
761.0 * C_node2node14_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
640.74 * C_node2node14_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
454.23 * C_node2node14_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
322.01 * C_node2node14_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
228.28 * C_node2node14_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
161.83 * C_node2node14_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
963.0 * C_node2node13_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
810.82 * C_node2node13_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
574.81 * C_node2node13_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
407.49 * C_node2node13_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
288.88 * C_node2node13_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
204.79 * C_node2node13_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
1443.0 * C_node2node13_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
1214.97 * C_node2node13_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
861.31 * C_node2node13_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
610.6 * C_node2node13_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
432.87 * C_node2node13_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
306.87 * C_node2node13_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
6538.0 * C_node2node16_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
5504.82 * C_node2node16_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
3902.47 * C_node2node16_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
2766.54 * C_node2node16_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
1961.25 * C_node2node16_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
1390.37 * C_node2node16_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
9806.0 * C_node2node16_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
8256.39 * C_node2node16_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
5853.11 * C_node2node16_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
4149.38 * C_node2node16_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
2941.57 * C_node2node16_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
2085.34 * C_node2node16_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
159.0 * C_node3node5_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
