variable,value
C_timber_node1node26_t0,0.0
C_timber_node1node26_t1,1.0
C_timber_node1node26_t2,1.0
C_timber_node1node26_t3,1.0
C_timber_node1node26_t4,1.0
C_timber_node1node26_t5,1.0
C_wide_node1node26_t0,0.0
C_wide_node1node26_t1,1.0
C_wide_node1node26_t2,1.0
C_wide_node1node26_t3,1.0
C_wide_node1node26_t4,1.0
C_wide_node1node26_t5,1.0
C_timber_node1node10_t0,0.0
C_timber_node1node10_t1,1.0
C_timber_node1node10_t2,1.0
C_timber_node1node10_t3,1.0
C_timber_node1node10_t4,1.0
C_timber_node1node10_t5,1.0
C_wide_node1node10_t0,0.0
C_wide_node1node10_t1,1.0
C_wide_node1node10_t2,1.0
C_wide_node1node10_t3,1.0
C_wide_node1node10_t4,1.0
C_wide_node1node10_t5,1.0
C_timber_node1node39_t0,0.0
C_timber_node1node39_t1,1.0
C_timber_node1node39_t2,1.0
C_timber_node1node39_t3,1.0
C_timber_node1node39_t4,1.0
C_timber_node1node39_t5,1.0
C_wide_node1node39_t0,0.0
C_wide_node1node39_t1,1.0
C_wide_node1node39_t2,1.0
C_wide_node1node39_t3,1.0
C_wide_node1node39_t4,1.0
C_wide_node1node39_t5,1.0
C_timber_node1node41_t0,0.0
C_timber_node1node41_t1,1.0
C_timber_node1node41_t2,1.0
C_timber_node1node41_t3,1.0
C_timber_node1node41_t4,1.0
C_timber_node1node41_t5,1.0
C_wide_node1node41_t0,0.0
C_wide_node1node41_t1,1.0
C_wide_node1node41_t2,1.0
C_wide_node1node41_t3,1.0
C_wide_node1node41_t4,1.0
C_wide_node1node41_t5,1.0
C_timber_node2node22_t0,0.0
C_timber_node2node22_t1,1.0
C_timber_node2node22_t2,1.0
C_timber_node2node22_t3,1.0
C_timber_node2node22_t4,1.0
C_timber_node2node22_t5,1.0
C_wide_node2node22_t0,0.0
C_wide_node2node22_t1,1.0
C_wide_node2node22_t2,1.0
C_wide_node2node22_t3,1.0
C_wide_node2node22_t4,1.0
C_wide_node2node22_t5,1.0
C_timber_node2node13_t0,0.0
C_timber_node2node13_t1,1.0
C_timber_node2node13_t2,1.0
C_timber_node2node13_t3,1.0
C_timber_node2node13_t4,1.0
C_timber_node2node13_t5,1.0
C_wide_node2node13_t0,0.0
C_wide_node2node13_t1,1.0
C_wide_node2node13_t2,1.0
C_wide_node2node13_t3,1.0
C_wide_node2node13_t4,1.0
C_wide_node2node13_t5,1.0
C_timber_node2node5_t0,0.0
C_timber_node2node5_t1,1.0
C_timber_node2node5_t2,1.0
C_timber_node2node5_t3,1.0
C_timber_node2node5_t4,1.0
C_timber_node2node5_t5,1.0
C_wide_node2node5_t0,0.0
C_wide_node2node5_t1,1.0
C_wide_node2node5_t2,1.0
C_wide_node2node5_t3,1.0
C_wide_node2node5_t4,1.0
C_wide_node2node5_t5,1.0
C_timber_node2node37_t0,0.0
C_timber_node2node37_t1,1.0
C_timber_node2node37_t2,1.0
C_timber_node2node37_t3,1.0
C_timber_node2node37_t4,1.0
C_timber_node2node37_t5,1.0
C_wide_node2node37_t0,0.0
C_wide_node2node37_t1,1.0
C_wide_node2node37_t2,1.0
C_wide_node2node37_t3,1.0
C_wide_node2node37_t4,1.0
C_wide_node2node37_t5,1.0
C_timber_node2node38_t0,0.0
C_timber_node2node38_t1,1.0
C_timber_node2node38_t2,1.0
C_timber_node2node38_t3,1.0
C_timber_node2node38_t4,1.0
C_timber_node2node38_t5,1.0
C_wide_node2node38_t0,0.0
C_wide_node2node38_t1,1.0
C_wide_node2node38_t2,1.0
C_wide_node2node38_t3,1.0
C_wide_node2node38_t4,1.0
C_wide_node2node38_t5,1.0
C_timber_node3node6_t0,0.0
C_timber_node3node6_t1,1.0
C_timber_node3node6_t2,1.0
C_timber_node3node6_t3,1.0
C_timber_node3node6_t4,1.0
C_timber_node3node6_t5,1.0
C_wide_node3node6_t0,0.0
C_wide_node3node6_t1,1.0
C_wide_node3node6_t2,1.0
C_wide_node3node6_t3,1.0
C_wide_node3node6_t4,1.0
C_wide_node3node6_t5,1.0
C_timber_node3node4_t0,0.0
C_timber_node3node4_t1,1.0
C_timber_node3node4_t2,1.0
C_timber_node3node4_t3,1.0
C_timber_node3node4_t4,1.0
C_timber_node3node4_t5,1.0
C_wide_node3node4_t0,0.0
C_wide_node3node4_t1,1.0
C_wide_node3node4_t2,1.0
C_wide_node3node4_t3,1.0
C_wide_node3node4_t4,1.0
C_wide_node3node4_t5,1.0
C_timber_node3node8_t0,0.0
C_timber_node3node8_t1,1.0
C_timber_node3node8_t2,1.0
C_timber_node3node8_t3,1.0
C_timber_node3node8_t4,1.0
C_timber_node3node8_t5,1.0
C_wide_node3node8_t0,0.0
C_wide_node3node8_t1,1.0
C_wide_node3node8_t2,1.0
C_wide_node3node8_t3,1.0
C_wide_node3node8_t4,1.0
C_wide_node3node8_t5,1.0
C_timber_node3node35_t0,0.0
C_timber_node3node35_t1,1.0
C_timber_node3node35_t2,1.0
C_timber_node3node35_t3,1.0
C_timber_node3node35_t4,1.0
C_timber_node3node35_t5,1.0
C_wide_node3node35_t0,0.0
C_wide_node3node35_t1,1.0
C_wide_node3node35_t2,1.0
C_wide_node3node35_t3,1.0
C_wide_node3node35_t4,1.0
C_wide_node3node35_t5,1.0
C_timber_node3node36_t0,0.0
C_timber_node3node36_t1,1.0
C_timber_node3node36_t2,1.0
C_timber_node3node36_t3,1.0
C_timber_node3node36_t4,1.0
C_timber_node3node36_t5,1.0
C_wide_node3node36_t0,0.0
C_wide_node3node36_t1,1.0
C_wide_node3node36_t2,1.0
C_wide_node3node36_t3,1.0
C_wide_node3node36_t4,1.0
C_wide_node3node36_t5,1.0
C_timber_node4node14_t0,0.0
C_timber_node4node14_t1,1.0
C_timber_node4node14_t2,1.0
C_timber_node4node14_t3,1.0
C_timber_node4node14_t4,1.0
C_timber_node4node14_t5,1.0
C_wide_node4node14_t0,0.0
C_wide_node4node14_t1,1.0
C_wide_node4node14_t2,1.0
C_wide_node4node14_t3,1.0
C_wide_node4node14_t4,1.0
C_wide_node4node14_t5,1.0
C_timber_node4node35_t0,0.0
C_timber_node4node35_t1,1.0
C_timber_node4node35_t2,1.0
C_timber_node4node35_t3,1.0
C_timber_node4node35_t4,1.0
C_timber_node4node35_t5,1.0
C_wide_node4node35_t0,0.0
C_wide_node4node35_t1,1.0
C_wide_node4node35_t2,1.0
C_wide_node4node35_t3,1.0
C_wide_node4node35_t4,1.0
C_wide_node4node35_t5,1.0
C_timber_node5node9_t0,0.0
C_timber_node5node9_t1,1.0
C_timber_node5node9_t2,1.0
C_timber_node5node9_t3,1.0
C_timber_node5node9_t4,1.0
C_timber_node5node9_t5,1.0
C_wide_node5node9_t0,0.0
C_wide_node5node9_t1,1.0
C_wide_node5node9_t2,1.0
C_wide_node5node9_t3,1.0
C_wide_node5node9_t4,1.0
C_wide_node5node9_t5,1.0
C_timber_node5node24_t0,0.0
C_timber_node5node24_t1,1.0
C_timber_node5node24_t2,1.0
C_timber_node5node24_t3,1.0
C_timber_node5node24_t4,1.0
C_timber_node5node24_t5,1.0
C_wide_node5node24_t0,0.0
C_wide_node5node24_t1,1.0
C_wide_node5node24_t2,1.0
C_wide_node5node24_t3,1.0
C_wide_node5node24_t4,1.0
C_wide_node5node24_t5,1.0
C_timber_node5node37_t0,0.0
C_timber_node5node37_t1,1.0
C_timber_node5node37_t2,1.0
C_timber_node5node37_t3,1.0
C_timber_node5node37_t4,1.0
C_timber_node5node37_t5,1.0
C_wide_node5node37_t0,0.0
C_wide_node5node37_t1,1.0
C_wide_node5node37_t2,1.0
C_wide_node5node37_t3,1.0
C_wide_node5node37_t4,1.0
C_wide_node5node37_t5,1.0
C_timber_node5node38_t0,0.0
C_timber_node5node38_t1,1.0
C_timber_node5node38_t2,1.0
C_timber_node5node38_t3,1.0
