arc,type
node34node63,source_in_transit_out
node22node63,source_in_transit_out
node17node63,source_in_transit_out
node45node63,source_in_transit_out
node8node63,source_in_transit_out
node19node63,source_in_transit_out
node6node64,source_in_transit_out
node31node64,source_in_transit_out
node27node64,source_in_transit_out
node47node65,source_in_transit_out
node31node65,source_in_transit_out
node13node65,source_in_transit_out
node12node65,source_in_transit_out
node27node65,source_in_transit_out
node10node66,source_in_transit_out
node35node66,source_in_transit_out
node32node66,source_in_transit_out
node34node66,source_in_transit_out
node9node66,source_in_transit_out
node45node66,source_in_transit_out
node2node66,source_in_transit_out
node6node67,source_in_transit_out
node24node67,source_in_transit_out
node7node67,source_in_transit_out
node8node67,source_in_transit_out
node37node67,source_in_transit_out
node32node67,source_in_transit_out
node14node67,source_in_transit_out
node16node67,source_in_transit_out
node34node67,source_in_transit_out
node27node67,source_in_transit_out
node1node67,source_in_transit_out
node12node67,source_in_transit_out
node24node68,source_in_transit_out
node8node68,source_in_transit_out
node22node68,source_in_transit_out
node63node19,source_out_transit_in
node63node17,source_out_transit_in
node63node45,source_out_transit_in
node63node22,source_out_transit_in
node63node8,source_out_transit_in
node63node34,source_out_transit_in
node64node6,source_out_transit_in
node64node31,source_out_transit_in
node64node27,source_out_transit_in
node65node31,source_out_transit_in
node65node13,source_out_transit_in
node65node47,source_out_transit_in
node65node12,source_out_transit_in
node65node27,source_out_transit_in
node66node32,source_out_transit_in
node66node35,source_out_transit_in
node66node34,source_out_transit_in
node66node10,source_out_transit_in
node66node9,source_out_transit_in
node66node45,source_out_transit_in
node66node2,source_out_transit_in
node67node14,source_out_transit_in
node67node32,source_out_transit_in
node67node6,source_out_transit_in
node67node1,source_out_transit_in
node67node37,source_out_transit_in
node67node8,source_out_transit_in
node67node16,source_out_transit_in
node67node27,source_out_transit_in
node67node7,source_out_transit_in
node67node34,source_out_transit_in
node67node12,source_out_transit_in
node67node24,source_out_transit_in
node68node22,source_out_transit_in
node68node8,source_out_transit_in
node68node24,source_out_transit_in
node36node3,exit_in_transit_out
node7node3,exit_in_transit_out
node60node3,exit_in_exit_out
node26node5,exit_in_transit_out
node43node5,exit_in_exit_out
node38node15,exit_in_transit_out
node41node15,exit_in_transit_out
node62node20,exit_in_exit_out
node11node20,exit_in_transit_out
node28node21,exit_in_transit_out
node39node21,exit_in_transit_out
node43node25,exit_in_exit_out
node19node25,exit_in_transit_out
node4node29,exit_in_transit_out
node58node29,exit_in_exit_out
node37node29,exit_in_transit_out
node61node33,exit_in_exit_out
node41node33,exit_in_transit_out
node40node42,exit_in_transit_out
node57node42,exit_in_exit_out
node25node43,exit_in_exit_out
node5node43,exit_in_exit_out
node44node43,exit_in_exit_out
node49node44,exit_in_exit_out
node43node44,exit_in_exit_out
node4node46,exit_in_transit_out
node59node46,exit_in_exit_out
node39node49,exit_in_transit_out
node44node49,exit_in_exit_out
node18node50,exit_in_transit_out
node40node50,exit_in_transit_out
node9node51,exit_in_transit_out
node18node51,exit_in_transit_out
node18node52,exit_in_transit_out
node48node52,exit_in_transit_out
node1node53,exit_in_transit_out
node30node53,exit_in_transit_out
node30node54,exit_in_transit_out
node55node54,exit_in_exit_out
node54node55,exit_in_exit_out
node4node55,exit_in_transit_out
node13node56,exit_in_transit_out
node38node56,exit_in_transit_out
node42node57,exit_in_exit_out
node26node57,exit_in_transit_out
node16node58,exit_in_transit_out
node29node58,exit_in_exit_out
node46node59,exit_in_exit_out
node48node59,exit_in_transit_out
node28node60,exit_in_transit_out
node3node60,exit_in_exit_out
node33node61,exit_in_exit_out
node36node61,exit_in_transit_out
node20node62,exit_in_exit_out
node23node62,exit_in_transit_out
node3node36,exit_out_transit_in
node3node7,exit_out_transit_in
node5node26,exit_out_transit_in
node15node38,exit_out_transit_in
node15node41,exit_out_transit_in
node20node11,exit_out_transit_in
node21node28,exit_out_transit_in
node21node39,exit_out_transit_in
node25node19,exit_out_transit_in
node29node4,exit_out_transit_in
node29node37,exit_out_transit_in
node33node41,exit_out_transit_in
node42node40,exit_out_transit_in
node46node4,exit_out_transit_in
node49node39,exit_out_transit_in
node50node18,exit_out_transit_in
node50node40,exit_out_transit_in
node51node18,exit_out_transit_in
node51node9,exit_out_transit_in
node52node18,exit_out_transit_in
node52node48,exit_out_transit_in
node53node30,exit_out_transit_in
node53node1,exit_out_transit_in
node54node30,exit_out_transit_in
node55node4,exit_out_transit_in
node56node13,exit_out_transit_in
node56node38,exit_out_transit_in
node57node26,exit_out_transit_in
node58node16,exit_out_transit_in
node59node48,exit_out_transit_in
node60node28,exit_out_transit_in
node61node36,exit_out_transit_in
node62node23,exit_out_transit_in
node22node24,transit_in_transit_out
node8node24,transit_in_transit_out
node7node24,transit_in_transit_out
node7node14,transit_in_transit_out
node36node14,transit_in_transit_out
node6node14,transit_in_transit_out
node1node12,transit_in_transit_out
node27node12,transit_in_transit_out
node13node12,transit_in_transit_out
node17node28,transit_in_transit_out
node11node47,transit_in_transit_out
node31node47,transit_in_transit_out
node13node47,transit_in_transit_out
node38node30,transit_in_transit_out
node47node31,transit_in_transit_out
node6node31,transit_in_transit_out
node27node31,transit_in_transit_out
node19node39,transit_in_transit_out
node23node41,transit_in_transit_out
node14node7,transit_in_transit_out
node24node7,transit_in_transit_out
node10node35,transit_in_transit_out
node26node35,transit_in_transit_out
node45node35,transit_in_transit_out
node8node34,transit_in_transit_out
node32node34,transit_in_transit_out
node45node34,transit_in_transit_out
node14node6,transit_in_transit_out
node31node6,transit_in_transit_out
node27node6,transit_in_transit_out
node10node40,transit_in_transit_out
node9node10,transit_in_transit_out
node35node10,transit_in_transit_out
node40node10,transit_in_transit_out
node41node23,transit_in_transit_out
node11node23,transit_in_transit_out
node24node22,transit_in_transit_out
node8node22,transit_in_transit_out
node17node22,transit_in_transit_out
node31node27,transit_in_transit_out
node12node27,transit_in_transit_out
node6node27,transit_in_transit_out
node1node37,transit_in_transit_out
node16node37,transit_in_transit_out
node48node2,transit_in_transit_out
node32node2,transit_in_transit_out
node9node2,transit_in_transit_out
node34node45,transit_in_transit_out
node35node45,transit_in_transit_out
node19node45,transit_in_transit_out
node23node11,transit_in_transit_out
node47node11,transit_in_transit_out
node12node1,transit_in_transit_out
node37node1,transit_in_transit_out
node35node26,transit_in_transit_out
node19node17,transit_in_transit_out
node28node17,transit_in_transit_out
node22node17,transit_in_transit_out
node2node48,transit_in_transit_out
node22node8,transit_in_transit_out
node24node8,transit_in_transit_out
node34node8,transit_in_transit_out
node2node9,transit_in_transit_out
node10node9,transit_in_transit_out
node14node36,transit_in_transit_out
node37node16,transit_in_transit_out
node32node16,transit_in_transit_out
node34node32,transit_in_transit_out
node16node32,transit_in_transit_out
node2node32,transit_in_transit_out
node30node38,transit_in_transit_out
node17node19,transit_in_transit_out
node45node19,transit_in_transit_out
node39node19,transit_in_transit_out
node47node13,transit_in_transit_out
node12node13,transit_in_transit_out
