harvest_schedule,component,objective_value,best_bound,mip_rel_gap,total_vars,nonzero_vars,runtime_sec,constructed_timber_total,constructed_wide_total,maintained_timber_total,maintained_wide_total,upgraded_total,flow_timber_total,flow_wide_total,constructed_timber_t1,constructed_timber_t2,constructed_timber_t3,constructed_timber_t4,constructed_timber_t5,constructed_wide_t1,constructed_wide_t2,constructed_wide_t3,constructed_wide_t4,constructed_wide_t5,existing_timber_t1,existing_timber_t2,existing_timber_t3,existing_timber_t4,existing_timber_t5,existing_wide_t1,existing_wide_t2,existing_wide_t3,existing_wide_t4,existing_wide_t5,flow_timber_t1,flow_timber_t2,flow_timber_t3,flow_timber_t4,flow_timber_t5,flow_wide_t1,flow_wide_t2,flow_wide_t3,flow_wide_t4,flow_wide_t5,maintained_timber_t1,maintained_timber_t2,maintained_timber_t3,maintained_timber_t4,maintained_timber_t5,maintained_wide_t1,maintained_wide_t2,maintained_wide_t3,maintained_wide_t4,maintained_wide_t5,upgraded_t1,upgraded_t2,upgraded_t3,upgraded_t4,upgraded_t5
stake,comp_1,2138.59,2138.59,0.0,600,24,0.06,4,0,8,3,1,8,0,4,0,0,0,0,0,0,0,0,0,4,8,11,12,13,0,1,2,3,4,2,2,2,0,2,0,0,0,0,0,0,3,3,1,1,0,0,1,1,1,0,1,0,0,0
stake,comp_10,18742.37,18742.37,0.0,5550,431,355.18,43,21,87,93,24,104,59,35,5,3,0,0,15,3,2,0,1,35,72,107,138,154,15,36,62,100,138,19,22,22,20,21,9,12,12,13,13,0,27,29,19,12,0,13,21,26,33,0,5,3,12,4
stake,comp_14_15_48_merged,56144.14,42124.46,0.2497,22350,1445,600.2,186,38,446,278,110,346,41,182,0,1,3,0,33,0,1,4,0,182,362,514,642,742,33,91,174,287,426,71,68,67,70,70,7,10,10,7,7,0,156,124,98,68,0,34,55,82,107,0,24,27,27,32
stake,comp_16,16527.34,16525.93,0.0001,4650,360,208.16,72,1,176,3,17,91,0,57,0,11,4,0,0,0,1,0,0,57,102,154,210,265,0,0,1,3,21,19,16,18,19,19,0,0,0,0,0,0,45,41,51,39,0,0,0,1,2,0,0,0,1,16
stake,comp_18,2279.64,2279.64,0.0,850,70,0.11,9,1,24,10,6,20,0,9,0,0,0,0,1,0,0,0,0,9,18,26,34,39,1,3,5,10,17,4,4,4,4,4,0,0,0,0,0,0,8,8,5,3,0,1,2,2,5,0,1,0,3,2
stake,comp_19_41_merged,7630.53,7629.95,0.0001,1500,99,2.43,8,5,14,26,8,30,8,8,0,0,0,0,5,0,0,0,0,8,16,24,28,30,5,10,19,28,39,6,6,6,6,6,3,0,2,3,0,0,8,4,2,0,0,5,5,7,9,0,0,4,2,2
stake,comp_20_25_28_33_merged,55376.0,39840.75,0.2805,18650,1211,600.09,175,17,452,151,99,314,3,158,7,9,1,0,13,0,1,3,0,158,320,480,624,726,13,36,73,152,267,68,68,58,61,59,3,0,0,0,0,0,144,138,104,66,0,12,23,37,79,0,11,13,39,36
stake,comp_21_40_merged,9282.57,9282.57,0.0,3650,199,30.65,36,0,85,8,15,55,0,30,0,6,0,0,0,0,0,0,0,30,54,84,114,136,0,0,0,8,23,12,7,12,12,12,0,0,0,0,0,0,24,24,22,15,0,0,0,0,8,0,0,0,8,7
stake,comp_22,1567.61,1567.61,0.0,2000,109,0.63,18,0,45,9,9,28,0,9,9,0,0,0,0,0,0,0,0,9,27,44,60,72,0,1,3,9,18,4,6,6,6,6,0,0,0,0,0,0,8,16,12,9,0,0,1,2,6,0,1,1,4,3
stake,comp_23,9121.85,9121.21,0.0001,4150,262,27.69,45,2,114,10,16,75,0,38,0,2,5,0,1,0,0,1,0,38,74,106,143,175,1,2,3,10,28,16,16,13,15,15,0,0,0,0,0,0,36,30,27,21,0,1,1,1,7,0,0,0,5,11
