harvesting_schedule,component_name,UB,LB,MIP_gap,solver_runtime_seconds
stake,comp_1,1552.36,1552.3600000000001,0.0,0.13
stake,comp_10,19597.690000000002,19595.847166517535,9.403319893658543e-05,437.48
stake,comp_14_15_48_merged,58344.64999999971,51253.65789927389,0.12153628654428206,600.17
stake,comp_16,16309.13,16307.523855427806,9.84813152015732e-05,309.68
stake,comp_18,2279.6400000000003,2279.6400000000003,0.0,0.22
stake,comp_19_41_merged,7630.53,7630.530000000001,0.0,2.35
stake,comp_20_25_28_33_merged,25401.89,22772.172622232214,0.10352447702780286,600.11
stake,comp_21_40_merged,3793.0,3793.0000000000005,0.0,1.93
stake,comp_22,7907.66,7907.660000000002,0.0,0.65
stake,comp_23,12603.240000000025,12603.240000000025,0.0,17.39
stake,comp_24,9205.82,9205.82,0.0,16.17
stake,comp_26,825.46,825.46,0.0,0.08
stake,comp_27,2559.09,2559.09,0.0,0.33
stake,comp_29,2992.92,2992.92,0.0,0.5
stake,comp_2_44_merged,30893.669999999904,29495.635110111652,0.04525311786810214,600.2
stake,comp_30,574.36,574.36,0.0,0.08
stake,comp_31_34_merged,11223.579999999998,11223.580000000002,0.0,37.15
stake,comp_32,2791.43,2791.43,0.0,1.53
stake,comp_35,2004.42,2004.42,0.0,0.09
stake,comp_36_50_merged,1249.1799999999998,1249.1799999999998,0.0,0.28
stake,comp_37,1915.4299999999998,1915.4299999999998,0.0,0.23
stake,comp_38,4578.54,4578.54,0.0,0.68
stake,comp_3_43_merged,3295.1899999999996,3295.1899999999996,0.0,0.15
stake,comp_42,461.84999999999997,461.84999999999997,0.0,0.08
stake,comp_45,554.9,554.9,0.0,0.15
stake,comp_46,321.02,321.02,0.0,0.06
stake,comp_47,2472.6499999999996,2472.6499999999996,0.0,0.03
stake,comp_49,12945.81,12945.81,0.0,2.26
stake,comp_4_11_12_13_51_merged,13399.08,13399.08,0.0,4.73
stake,comp_5_39_merged,140565.83999999994,62149.04444523742,0.5578652363530322,600.17
stake,comp_6,4586.76,4586.76,0.0,3.3
stake,comp_7,0.0,0.0,0.0,0.05
stake,comp_8,478.17,478.17,0.0,0.06
stake,comp_9,3114.39,3114.39,0.0,0.48
