harvest_schedule,component,objective_value,best_bound,mip_rel_gap,total_vars,nonzero_vars,runtime_sec,constructed_timber_total,constructed_wide_total,maintained_timber_total,maintained_wide_total,upgraded_total,flow_timber_total,flow_wide_total,constructed_timber_t1,constructed_timber_t2,constructed_timber_t3,constructed_timber_t4,constructed_timber_t5,constructed_wide_t1,constructed_wide_t2,constructed_wide_t3,constructed_wide_t4,constructed_wide_t5,existing_timber_t1,existing_timber_t2,existing_timber_t3,existing_timber_t4,existing_timber_t5,existing_wide_t1,existing_wide_t2,existing_wide_t3,existing_wide_t4,existing_wide_t5,flow_timber_t1,flow_timber_t2,flow_timber_t3,flow_timber_t4,flow_timber_t5,flow_wide_t1,flow_wide_t2,flow_wide_t3,flow_wide_t4,flow_wide_t5,maintained_timber_t1,maintained_timber_t2,maintained_timber_t3,maintained_timber_t4,maintained_timber_t5,maintained_wide_t1,maintained_wide_t2,maintained_wide_t3,maintained_wide_t4,maintained_wide_t5,upgraded_t1,upgraded_t2,upgraded_t3,upgraded_t4,upgraded_t5
mres,comp_1,1552.36,1552.36,0.0,4900,84,0.29,14,3,29,16,7,15,0,13,0,1,0,0,3,0,0,0,0,13,25,36,45,50,3,8,14,20,26,4,1,4,3,3,0,0,0,0,0,0,10,9,5,5,0,3,5,2,6,0,2,1,4,0
mres,comp_10,15480.15,15480.15,0.0,14350,339,239.59,54,11,100,55,23,90,6,46,3,2,3,0,6,1,1,3,0,46,90,123,154,177,6,21,41,67,89,20,19,17,19,15,0,0,0,3,3,0,32,27,23,18,0,5,15,18,17,0,9,4,5,5
mres,comp_14_15_48_merged,56371.9,51479.01,0.0868,50950,1524,3601.42,319,63,431,229,129,312,41,235,0,31,52,1,30,0,10,19,4,235,421,574,745,879,30,70,140,260,421,80,45,33,79,75,7,9,11,7,7,0,172,93,85,81,0,26,31,67,105,0,14,29,34,52
mres,comp_16,16362.08,15249.71,0.068,14150,354,600.04,81,11,131,42,15,74,0,59,0,8,13,1,4,0,3,2,2,59,103,142,187,227,4,8,21,42,68,20,4,11,19,20,0,0,0,0,0,0,44,25,26,36,0,4,4,13,21,0,0,6,6,3
mres,comp_18,2279.64,2279.64,0.0,1600,76,0.12,20,3,17,9,5,22,0,13,0,6,1,0,1,0,1,1,0,13,19,29,37,42,1,2,4,10,17,5,4,4,5,4,0,0,0,0,0,0,6,4,4,3,0,1,1,2,5,0,0,0,3,2
mres,comp_19_41_merged,7113.9,7113.24,0.0001,4350,97,0.92,12,2,15,24,11,28,5,12,0,0,0,0,1,0,1,0,0,12,23,32,37,38,1,4,12,24,37,6,4,6,6,6,0,0,2,3,0,0,9,5,1,0,0,1,3,8,12,0,2,4,4,1
mres,comp_20_25_28_33_merged,24385.0,24382.61,0.0001,57650,1211,1402.29,260,28,410,133,119,261,0,189,12,36,13,10,11,2,4,6,5,189,361,536,687,789,11,26,66,156,280,45,40,58,58,60,0,0,0,0,0,0,151,118,94,47,0,4,15,40,74,0,9,21,44,45
mres,comp_21_40_merged,3694.33,3694.33,0.0,12200,202,1.32,44,4,68,23,16,47,0,34,0,7,2,1,2,0,0,1,1,34,61,89,115,128,2,5,9,25,43,11,9,8,10,9,0,0,0,0,0,0,26,20,13,9,0,2,3,4,14,0,1,1,11,3
mres,comp_22,7073.27,7073.27,0.0,13850,229,0.92,39,2,104,9,10,65,0,33,2,1,2,1,0,0,0,0,2,33,67,96,124,153,0,1,5,9,21,11,10,16,14,14,0,0,0,0,0,0,31,25,26,22,0,0,1,4,4,0,1,3,0,6
mres,comp_23,11455.38,11455.38,0.0,15000,425,16.06,107,5,143,48,33,89,0,75,0,12,20,0,1,0,0,4,0,75,132,179,239,283,1,7,18,48,86,24,9,4,28,24,0,0,0,0,0,0,52,30,25,36,0,1,6,11,30,0,5,5,15,8
