harvest_schedule,component,objective_value,best_bound,mip_rel_gap,total_vars,nonzero_vars,runtime_sec,constructed_timber_total,constructed_wide_total,maintained_timber_total,maintained_wide_total,upgraded_total,flow_timber_total,flow_wide_total,constructed_timber_t1,constructed_timber_t2,constructed_timber_t3,constructed_timber_t4,constructed_timber_t5,constructed_wide_t1,constructed_wide_t2,constructed_wide_t3,constructed_wide_t4,constructed_wide_t5,existing_timber_t1,existing_timber_t2,existing_timber_t3,existing_timber_t4,existing_timber_t5,existing_wide_t1,existing_wide_t2,existing_wide_t3,existing_wide_t4,existing_wide_t5,flow_timber_t1,flow_timber_t2,flow_timber_t3,flow_timber_t4,flow_timber_t5,flow_wide_t1,flow_wide_t2,flow_wide_t3,flow_wide_t4,flow_wide_t5,maintained_timber_t1,maintained_timber_t2,maintained_timber_t3,maintained_timber_t4,maintained_timber_t5,maintained_wide_t1,maintained_wide_t2,maintained_wide_t3,maintained_wide_t4,maintained_wide_t5,upgraded_t1,upgraded_t2,upgraded_t3,upgraded_t4,upgraded_t5
stake,comp_1,1552.36,1552.36,0.0,4900,83,0.13,19,2,28,10,7,17,0,14,0,4,0,1,2,0,0,0,0,14,24,37,45,54,2,4,7,10,19,4,2,4,3,4,0,0,0,0,0,0,10,8,8,2,0,2,2,3,3,0,0,1,0,6
stake,comp_10,19597.69,19595.85,0.0001,14350,400,437.48,44,20,88,101,24,101,22,38,3,1,1,1,15,3,1,0,1,38,77,110,137,156,15,40,70,106,145,19,20,20,22,20,9,3,3,3,4,0,29,27,20,12,0,15,24,30,32,0,7,5,6,6
stake,comp_14_15_48_merged,58344.65,51614.33,0.1154,50950,1786,3600.28,244,43,617,293,123,424,42,226,1,7,10,0,41,0,0,2,0,226,450,659,852,984,41,96,173,304,459,84,82,90,87,81,7,11,10,7,7,0,210,178,130,99,0,42,53,76,122,0,13,24,53,33
stake,comp_16,16309.13,16307.52,0.0001,14150,399,309.68,74,5,178,21,21,100,0,62,0,7,5,0,1,0,4,0,0,62,113,165,221,273,1,3,10,21,47,20,16,19,23,22,0,0,0,0,0,0,50,44,47,37,0,1,2,7,11,0,1,1,4,15
stake,comp_18,2279.64,2279.64,0.0,1600,85,0.22,18,0,30,4,8,25,0,14,0,3,1,0,0,0,0,0,0,14,25,38,49,56,0,0,0,4,12,5,5,5,5,5,0,0,0,0,0,0,11,10,6,3,0,0,0,0,4,0,0,0,4,4
stake,comp_19_41_merged,7630.53,7630.53,0.0,4350,100,2.35,8,6,13,30,5,30,8,7,0,0,0,1,6,0,0,0,0,7,14,20,23,26,6,13,23,32,41,6,6,6,6,6,3,0,2,3,0,0,6,3,2,2,0,6,7,8,9,0,1,3,1,0
stake,comp_20_25_28_33_merged,25401.89,25401.89,0.0,57650,1327,3551.94,229,19,491,179,138,268,3,184,14,26,4,1,15,1,2,1,0,184,368,568,736,858,15,38,88,184,336,45,49,58,59,57,3,0,0,0,0,0,163,149,118,61,0,15,23,49,92,0,7,25,46,60
stake,comp_21_40_merged,3793.0,3793.0,0.0,12200,219,1.93,43,1,99,11,12,53,0,36,0,7,0,0,0,0,1,0,0,36,64,98,128,154,0,1,4,11,24,11,9,11,11,11,0,0,0,0,0,0,27,26,26,20,0,0,1,3,7,0,1,1,4,6
stake,comp_22,7907.66,7907.66,0.0,13850,230,0.65,29,6,78,36,16,62,3,23,6,0,0,0,6,0,0,0,0,23,52,81,108,123,6,12,20,38,58,10,13,13,13,13,3,0,0,0,0,0,23,27,15,13,0,6,6,6,18,0,0,2,12,2
stake,comp_23,12603.24,12603.24,0.0,15000,504,17.39,80,7,191,61,26,139,0,72,0,4,4,0,4,0,0,3,0,72,140,200,255,297,4,13,29,61,94,27,28,25,32,27,0,0,0,0,0,0,63,49,38,41,0,4,9,16,32,0,5,7,13,1
