variable,value
C_timber_node1node245_t0,0.0
C_timber_node1node245_t1,0.0
C_timber_node1node245_t2,0.0
C_timber_node1node245_t3,0.0
C_timber_node1node245_t4,0.0
C_timber_node1node245_t5,0.0
C_wide_node1node245_t0,0.0
C_wide_node1node245_t1,0.0
C_wide_node1node245_t2,0.0
C_wide_node1node245_t3,0.0
C_wide_node1node245_t4,0.0
C_wide_node1node245_t5,0.0
C_timber_node1node105_t0,0.0
C_timber_node1node105_t1,0.0
C_timber_node1node105_t2,0.0
C_timber_node1node105_t3,0.0
C_timber_node1node105_t4,0.0
C_timber_node1node105_t5,0.0
C_wide_node1node105_t0,0.0
C_wide_node1node105_t1,0.0
C_wide_node1node105_t2,0.0
C_wide_node1node105_t3,0.0
C_wide_node1node105_t4,0.0
C_wide_node1node105_t5,0.0
C_timber_node1node132_t0,0.0
C_timber_node1node132_t1,0.0
C_timber_node1node132_t2,0.0
C_timber_node1node132_t3,0.0
C_timber_node1node132_t4,0.0
C_timber_node1node132_t5,0.0
C_wide_node1node132_t0,0.0
C_wide_node1node132_t1,0.0
C_wide_node1node132_t2,0.0
C_wide_node1node132_t3,0.0
C_wide_node1node132_t4,0.0
C_wide_node1node132_t5,0.0
C_timber_node1node318_t0,0.0
C_timber_node1node318_t1,1.0
C_timber_node1node318_t2,1.0
C_timber_node1node318_t3,1.0
C_timber_node1node318_t4,1.0
C_timber_node1node318_t5,1.0
C_wide_node1node318_t0,0.0
C_wide_node1node318_t1,1.0
C_wide_node1node318_t2,1.0
C_wide_node1node318_t3,1.0
C_wide_node1node318_t4,1.0
C_wide_node1node318_t5,1.0
C_timber_node1node320_t0,0.0
C_timber_node1node320_t1,1.0
C_timber_node1node320_t2,1.0
C_timber_node1node320_t3,1.0
C_timber_node1node320_t4,1.0
C_timber_node1node320_t5,1.0
C_wide_node1node320_t0,0.0
C_wide_node1node320_t1,1.0
C_wide_node1node320_t2,1.0
C_wide_node1node320_t3,1.0
C_wide_node1node320_t4,1.0
C_wide_node1node320_t5,1.0
C_timber_node2node91_t0,0.0
C_timber_node2node91_t1,-0.0
C_timber_node2node91_t2,-0.0
C_timber_node2node91_t3,-0.0
C_timber_node2node91_t4,-0.0
C_timber_node2node91_t5,-0.0
C_wide_node2node91_t0,0.0
C_wide_node2node91_t1,-0.0
C_wide_node2node91_t2,-0.0
C_wide_node2node91_t3,-0.0
C_wide_node2node91_t4,-0.0
C_wide_node2node91_t5,-0.0
C_timber_node2node29_t0,0.0
C_timber_node2node29_t1,0.0
C_timber_node2node29_t2,0.0
C_timber_node2node29_t3,0.0
C_timber_node2node29_t4,0.0
